,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
23210,23211,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-01-20,5370.0,0.4
23211,23212,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-01-02,6256.0,0.1
23212,23213,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-05-28,6159.0,6.8
23213,23214,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-05-31,5918.0,2.4
23214,23215,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-01-06,6401.0,2.4
23215,23216,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-04-06,6493.0,4.0
23216,23217,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-05-06,6581.0,0.8
23217,23218,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-06,6044.0,0.4
23218,23219,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-07-06,6530.0,5.6
23219,23220,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-11-06,5280.0,2.4
23220,23221,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-12-06,5340.0,2.0
23221,23222,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-13,5030.0,2.0
23222,23223,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-14,5693.0,0.24
23223,23224,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-15,5648.0,0.08
23224,23225,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-18,0.0,0.64
23225,23226,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-19,6263.0,1.6
23226,23227,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-20,6388.0,0.72
23227,23228,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-21,5839.0,1.6
23228,23229,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-22,6416.0,2.0
23229,23230,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-25,6275.0,3.2
23230,23231,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-05-07,5780.0,0.4
23231,23232,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-06-07,5762.0,1.76
23232,23233,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-12-07,5892.0,0.64
23233,23234,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-07-16,5461.0,1.12
23234,23235,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-07-23,5518.0,1.2
23235,23236,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-07-24,5424.0,560.0
23236,23237,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-07-25,5386.0,0.72
23237,23238,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-07-26,5524.0,0.1
23238,23239,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-07-27,5661.0,0.67
23239,23240,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-07-30,5029.0,0.16
23240,23241,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-08-13,5795.0,0.03
23241,23242,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-08-23,6221.0,0.6
23242,23243,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-08-24,6638.0,0.16
23243,23244,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-08-27,5136.0,0.1
23244,23245,Groundnut,Tamil Nadu,Cuddalore,Cuddalore,2012-12-31,6009.0,0.05
23245,23246,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-01-20,6300.0,8.0
23246,23247,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-05-07,6333.0,10.4
23247,23248,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-06-07,5812.0,6.4
23248,23249,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-07,6269.0,9.6
23249,23250,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-10-07,5978.0,9.6
23250,23251,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-12-07,6238.0,8.0
23251,23252,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-13,5853.0,3.6
23252,23253,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-16,6334.0,6.4
23253,23254,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-17,6025.0,5.6
23254,23255,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-18,6302.0,8.0
23255,23256,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-23,6331.0,15.6
23256,23257,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-24,6250.0,6.0
23257,23258,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-25,6525.0,15.2
23258,23259,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-26,6612.0,11.2
23259,23260,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-27,6179.0,6.4
23260,23261,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-30,6100.0,6.4
23261,23262,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-31,6647.0,7.2
23262,23263,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-01-08,6716.0,5.6
23263,23264,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-03-08,6618.0,4.8
23264,23265,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-06-08,7000.0,8.0
23265,23266,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-08,6656.0,3.2
23266,23267,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-08,6394.0,4.0
23267,23268,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-13,7111.0,6.4
23268,23269,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-14,6544.0,5.6
23269,23270,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-17,7336.0,4.8
23270,23271,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-21,7349.0,4.8
23271,23272,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-22,6312.0,4.8
23272,23273,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-23,5670.0,4.8
23273,23274,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-24,6952.0,4.8
23274,23275,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-27,6948.0,4.8
23275,23276,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-28,6013.0,1.6
23276,23277,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-30,6432.0,4.0
23277,23278,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-31,6874.0,1.2
23278,23279,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-03-09,7031.0,3.6
23279,23280,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-04-09,6443.0,1.6
23280,23281,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-05-09,6619.0,1.6
23281,23282,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-09,7137.0,6.4
23282,23283,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-10-09,5655.0,0.8
23283,23284,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-12-09,6635.0,0.8
23284,23285,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-13,6611.0,0.8
23285,23286,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-14,6398.0,2.0
23286,23287,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-17,6344.0,1.6
23287,23288,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-18,6361.0,0.16
23288,23289,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-24,5950.0,0.6
23289,23290,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-25,6311.0,0.2
23290,23291,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-26,6063.0,0.2
23291,23292,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-27,6043.0,0.2
23292,23293,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-28,0.0,1.0
23293,23294,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-04-10,4483.0,0.4
23294,23295,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-10-17,6836.0,0.1
23295,23296,Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,2012-10-30,5595.0,0.24
23296,23297,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-10-01,4111.0,0.08
23297,23298,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-09-02,4569.0,0.25
23298,23299,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-05-29,5060.0,0.8
23299,23300,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-05-31,0.0,0.08
23300,23301,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-01-06,4309.0,0.8
23301,23302,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-07-30,7097.0,0.08
23302,23303,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-06-08,5661.0,0.08
23303,23304,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-08-16,5573.0,0.08
23304,23305,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-08-17,5911.0,0.08
23305,23306,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-08-24,6032.0,0.08
23306,23307,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-11-09,4369.0,0.08
23307,23308,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-12-09,4821.0,0.1
23308,23309,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-09-18,5045.0,0.08
23309,23310,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-02-11,5039.0,0.1
23310,23311,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-06-11,4209.0,0.1
23311,23312,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-08-11,4947.0,0.24
23312,23313,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-04-12,4259.0,0.1
23313,23314,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-11-12,4469.0,0.1
23314,23315,Groundnut,Tamil Nadu,Cuddalore,Panruti,2012-12-14,5236.0,0.1
23315,23316,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-04-24,5187.0,80.0
23316,23317,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-05-21,5000.0,0.16
23317,23318,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-05-22,5250.0,0.3
23318,23319,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-10-29,6000.0,0.4
23319,23320,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-01-11,5687.0,0.1
23320,23321,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-06-11,5125.0,0.24
23321,23322,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-07-11,5000.0,0.8
23322,23323,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-09-11,5500.0,0.48
23323,23324,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-11-16,5550.0,0.24
23324,23325,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-11-19,5525.0,0.1
23325,23326,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-11-20,5675.0,0.1
23326,23327,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-11-21,6000.0,0.16
23327,23328,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-11-26,6062.0,0.32
23328,23329,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-11-28,5712.0,0.08
23329,23330,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-11-29,5875.0,0.1
23330,23331,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-03-12,5051.0,0.1
23331,23332,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-04-12,5225.0,0.1
23332,23333,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-05-12,5625.0,0.1
23333,23334,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-07-12,5750.0,0.1
23334,23335,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-10-12,5875.0,0.12
23335,23336,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-11-12,7125.0,0.1
23336,23337,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-12-14,6750.0,0.4
23337,23338,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-12-18,5937.0,0.4
23338,23339,Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,2012-12-19,0.0,0.08
23339,23340,Groundnut,Tamil Nadu,Cuddalore,Tittakudi,2012-01-13,5062.0,4.0
23340,23341,Groundnut,Tamil Nadu,Cuddalore,Tittakudi,2012-01-20,4089.0,0.8
23341,23342,Groundnut,Tamil Nadu,Cuddalore,Tittakudi,2012-04-24,5461.0,1.2
23342,23343,Groundnut,Tamil Nadu,Cuddalore,Tittakudi,2012-05-14,5673.0,0.56
