,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
23645,23646,Groundnut,Tamil Nadu,Salem,Kolathur,2012-05-10,4150.0,1.0
23646,23647,Groundnut,Tamil Nadu,Salem,Kolathur,2012-12-10,4250.0,1.0
23647,23648,Groundnut,Tamil Nadu,Salem,Kolathur,2012-10-15,4250.0,1.0
23648,23649,Groundnut,Tamil Nadu,Salem,Kolathur,2012-10-17,4600.0,1.0
23649,23650,Groundnut,Tamil Nadu,Salem,Kolathur,2012-02-11,4750.0,1.0
23650,23651,Groundnut,Tamil Nadu,Salem,Kolathur,2012-05-11,4750.0,1.0
23651,23652,Groundnut,Tamil Nadu,Salem,Kolathur,2012-09-11,4150.0,1.0
23652,23653,Groundnut,Tamil Nadu,Salem,Kolathur,2012-11-16,4250.0,1.0
23653,23654,Groundnut,Tamil Nadu,Salem,Kolathur,2012-11-23,4350.0,1.0
23654,23655,Groundnut,Tamil Nadu,Salem,Kolathur,2012-11-30,4650.0,1.0
23655,23656,Groundnut,Tamil Nadu,Salem,Kolathur,2012-07-12,4500.0,1.0
23656,23657,Groundnut,Tamil Nadu,Salem,Kolathur,2012-11-12,4600.0,1.0
23657,23658,Groundnut,Tamil Nadu,Salem,Kolathur,2012-12-14,4800.0,1.0
23658,23659,Groundnut,Tamil Nadu,Salem,Kolathur,2012-12-21,4500.0,1.0
23659,23660,Groundnut,Tamil Nadu,Salem,Kolathur,2012-12-28,4700.0,1.0
23660,23661,Groundnut,Tamil Nadu,Salem,Konganapuram,2012-11-23,2050.0,0.1
23661,23662,Groundnut,Tamil Nadu,Salem,Konganapuram,2012-11-27,2000.0,0.1
23662,23663,Groundnut,Tamil Nadu,Salem,Konganapuram,2012-11-28,2000.0,0.1
23663,23664,Groundnut,Tamil Nadu,Salem,Konganapuram,2012-11-29,2000.0,0.1
23664,23665,Groundnut,Tamil Nadu,Salem,Salem,2012-02-16,4625.0,0.1
23665,23666,Groundnut,Tamil Nadu,Salem,Salem,2012-02-17,4625.0,0.1
23666,23667,Groundnut,Tamil Nadu,Salem,Salem,2012-02-20,4625.0,0.1
23667,23668,Groundnut,Tamil Nadu,Salem,Salem,2012-02-22,4625.0,0.1
23668,23669,Groundnut,Tamil Nadu,Salem,Salem,2012-02-23,4625.0,0.1
23669,23670,Groundnut,Tamil Nadu,Salem,Salem,2012-02-24,4625.0,0.1
23670,23671,Groundnut,Tamil Nadu,Salem,Salem,2012-02-27,4625.0,0.1
23671,23672,Groundnut,Tamil Nadu,Salem,Salem,2012-02-28,4625.0,0.1
23672,23673,Groundnut,Tamil Nadu,Salem,Salem,2012-02-29,4625.0,0.1
23673,23674,Groundnut,Tamil Nadu,Salem,Salem,2012-01-03,4625.0,0.1
23674,23675,Groundnut,Tamil Nadu,Salem,Salem,2012-02-03,4625.0,0.1
23675,23676,Groundnut,Tamil Nadu,Salem,Salem,2012-05-03,4625.0,0.1
23676,23677,Groundnut,Tamil Nadu,Salem,Salem,2012-06-03,4625.0,0.1
23677,23678,Groundnut,Tamil Nadu,Salem,Salem,2012-07-03,4625.0,0.1
23678,23679,Groundnut,Tamil Nadu,Salem,Salem,2012-08-03,4625.0,0.1
23679,23680,Groundnut,Tamil Nadu,Salem,Salem,2012-09-03,4625.0,0.1
23680,23681,Groundnut,Tamil Nadu,Salem,Salem,2012-12-03,4625.0,0.1
23681,23682,Groundnut,Tamil Nadu,Salem,Salem,2012-03-13,4625.0,0.1
23682,23683,Groundnut,Tamil Nadu,Salem,Salem,2012-03-14,4625.0,0.1
23683,23684,Groundnut,Tamil Nadu,Salem,Salem,2012-03-15,4625.0,0.1
23684,23685,Groundnut,Tamil Nadu,Salem,Salem,2012-03-16,4625.0,0.1
23685,23686,Groundnut,Tamil Nadu,Salem,Salem,2012-03-19,4625.0,0.1
23686,23687,Groundnut,Tamil Nadu,Salem,Salem,2012-03-20,4625.0,0.1
23687,23688,Groundnut,Tamil Nadu,Salem,Salem,2012-03-21,4650.0,0.1
23688,23689,Groundnut,Tamil Nadu,Salem,Salem,2012-03-22,4650.0,0.1
23689,23690,Groundnut,Tamil Nadu,Salem,Salem,2012-03-26,4650.0,0.1
23690,23691,Groundnut,Tamil Nadu,Salem,Salem,2012-03-27,4650.0,0.1
23691,23692,Groundnut,Tamil Nadu,Salem,Salem,2012-03-28,4650.0,0.1
23692,23693,Groundnut,Tamil Nadu,Salem,Salem,2012-03-29,4650.0,0.1
23693,23694,Groundnut,Tamil Nadu,Salem,Salem,2012-03-30,4650.0,0.1
23694,23695,Groundnut,Tamil Nadu,Salem,Salem,2012-02-04,4650.0,0.1
23695,23696,Groundnut,Tamil Nadu,Salem,Salem,2012-03-04,4650.0,0.1
23696,23697,Groundnut,Tamil Nadu,Salem,Salem,2012-04-04,4650.0,0.1
23697,23698,Groundnut,Tamil Nadu,Salem,Salem,2012-09-04,4650.0,0.1
