,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
28554,28555,Groundnut,Telangana,Nizamabad,Pitlam,2012-05-22,3600.0,10.0
136262,136263,Soyabean,Telangana,Nizamabad,Armoor,2012-09-02,2000.0,16.0
136263,136264,Soyabean,Telangana,Nizamabad,Armoor,2012-10-10,2000.0,10.0
136264,136265,Soyabean,Telangana,Nizamabad,Armoor,2012-11-10,2529.0,42.0
136265,136266,Soyabean,Telangana,Nizamabad,Armoor,2012-12-10,2170.0,53.0
136266,136267,Soyabean,Telangana,Nizamabad,Armoor,2012-10-17,2500.0,220.0
136267,136268,Soyabean,Telangana,Nizamabad,Armoor,2012-10-22,2500.0,27.0
136268,136269,Soyabean,Telangana,Nizamabad,Armoor,2012-10-23,2778.0,9.0
136269,136270,Soyabean,Telangana,Nizamabad,Armoor,2012-10-25,2500.0,10.0
136270,136271,Soyabean,Telangana,Nizamabad,Armoor,2012-08-12,2220.0,9.0
136271,136272,Soyabean,Telangana,Nizamabad,Armoor,2012-12-16,2300.0,0.1
136272,136273,Soyabean,Telangana,Nizamabad,Banswada,2012-03-10,2400.0,0.1
136273,136274,Soyabean,Telangana,Nizamabad,Banswada,2012-06-10,2400.0,0.1
136274,136275,Soyabean,Telangana,Nizamabad,Banswada,2012-10-10,2400.0,0.1
136275,136276,Soyabean,Telangana,Nizamabad,Banswada,2012-11-10,2400.0,0.1
136276,136277,Soyabean,Telangana,Nizamabad,Banswada,2012-10-17,2300.0,0.1
136277,136278,Soyabean,Telangana,Nizamabad,Banswada,2012-10-18,2300.0,0.1
136278,136279,Soyabean,Telangana,Nizamabad,Banswada,2012-10-19,2700.0,0.1
136279,136280,Soyabean,Telangana,Nizamabad,Banswada,2012-10-20,2700.0,0.1
136280,136281,Soyabean,Telangana,Nizamabad,Banswada,2012-10-21,2700.0,0.1
136281,136282,Soyabean,Telangana,Nizamabad,Banswada,2012-10-25,2700.0,0.1
136282,136283,Soyabean,Telangana,Nizamabad,Banswada,2012-10-26,2700.0,0.1
136283,136284,Soyabean,Telangana,Nizamabad,Banswada,2012-10-27,2700.0,0.1
136284,136285,Soyabean,Telangana,Nizamabad,Banswada,2012-10-28,2700.0,0.1
136285,136286,Soyabean,Telangana,Nizamabad,Banswada,2012-10-29,2700.0,0.1
136286,136287,Soyabean,Telangana,Nizamabad,Banswada,2012-10-30,2900.0,0.1
136287,136288,Soyabean,Telangana,Nizamabad,Banswada,2012-10-31,2900.0,0.1
136288,136289,Soyabean,Telangana,Nizamabad,Banswada,2012-01-11,2900.0,0.1
136289,136290,Soyabean,Telangana,Nizamabad,Banswada,2012-02-11,2900.0,0.1
136290,136291,Soyabean,Telangana,Nizamabad,Banswada,2012-05-11,2900.0,0.1
136291,136292,Soyabean,Telangana,Nizamabad,Banswada,2012-06-11,2900.0,0.1
136292,136293,Soyabean,Telangana,Nizamabad,Banswada,2012-07-11,2900.0,0.1
136293,136294,Soyabean,Telangana,Nizamabad,Banswada,2012-09-11,2900.0,0.1
136294,136295,Soyabean,Telangana,Nizamabad,Banswada,2012-11-17,2900.0,0.1
136295,136296,Soyabean,Telangana,Nizamabad,Banswada,2012-11-20,2900.0,0.1
136296,136297,Soyabean,Telangana,Nizamabad,Banswada,2012-11-22,2900.0,0.1
136297,136298,Soyabean,Telangana,Nizamabad,Banswada,2012-11-27,2900.0,0.1
136298,136299,Soyabean,Telangana,Nizamabad,Banswada,2012-11-29,2900.0,0.1
136299,136300,Soyabean,Telangana,Nizamabad,Banswada,2012-11-30,2900.0,0.1
136300,136301,Soyabean,Telangana,Nizamabad,Banswada,2012-11-12,2900.0,0.1
136301,136302,Soyabean,Telangana,Nizamabad,Banswada,2012-12-12,2900.0,0.1
136302,136303,Soyabean,Telangana,Nizamabad,Banswada,2012-12-13,2900.0,0.1
136303,136304,Soyabean,Telangana,Nizamabad,Banswada,2012-12-14,2900.0,0.1
136304,136305,Soyabean,Telangana,Nizamabad,Banswada,2012-12-15,2900.0,0.1
136305,136306,Soyabean,Telangana,Nizamabad,Banswada,2012-12-16,2900.0,0.1
136306,136307,Soyabean,Telangana,Nizamabad,Banswada,2012-12-18,2900.0,0.1
136307,136308,Soyabean,Telangana,Nizamabad,Banswada,2012-12-19,2900.0,0.1
136308,136309,Soyabean,Telangana,Nizamabad,Banswada,2012-12-21,2900.0,0.1
136309,136310,Soyabean,Telangana,Nizamabad,Banswada,2012-12-25,2900.0,0.1
136310,136311,Soyabean,Telangana,Nizamabad,Banswada,2012-12-28,2900.0,0.1
136311,136312,Soyabean,Telangana,Nizamabad,Nizamabad,2012-09-01,2800.0,3.8
136312,136313,Soyabean,Telangana,Nizamabad,Nizamabad,2012-01-17,2350.0,0.5
136313,136314,Soyabean,Telangana,Nizamabad,Nizamabad,2012-01-27,2300.0,3.7
136314,136315,Soyabean,Telangana,Nizamabad,Nizamabad,2012-01-31,2210.0,0.8
136315,136316,Soyabean,Telangana,Nizamabad,Nizamabad,2012-02-02,2325.0,7.3
136316,136317,Soyabean,Telangana,Nizamabad,Nizamabad,2012-02-17,2300.0,0.2
136317,136318,Soyabean,Telangana,Nizamabad,Nizamabad,2012-03-13,2510.0,1.9
136318,136319,Soyabean,Telangana,Nizamabad,Nizamabad,2012-03-17,2400.0,0.6
136319,136320,Soyabean,Telangana,Nizamabad,Nizamabad,2012-05-07,3400.0,0.5
136320,136321,Soyabean,Telangana,Nizamabad,Nizamabad,2012-07-21,3700.0,0.1
136321,136322,Soyabean,Telangana,Nizamabad,Nizamabad,2012-09-22,3550.0,18.7
136322,136323,Soyabean,Telangana,Nizamabad,Nizamabad,2012-09-24,3400.0,17.8
136323,136324,Soyabean,Telangana,Nizamabad,Nizamabad,2012-09-27,3400.0,27.8
136324,136325,Soyabean,Telangana,Nizamabad,Nizamabad,2012-09-28,3300.0,99.6
136325,136326,Soyabean,Telangana,Nizamabad,Nizamabad,2012-03-10,2800.0,792.4
136326,136327,Soyabean,Telangana,Nizamabad,Nizamabad,2012-04-10,2400.0,319.0
136327,136328,Soyabean,Telangana,Nizamabad,Nizamabad,2012-05-10,2500.0,198.8
136328,136329,Soyabean,Telangana,Nizamabad,Nizamabad,2012-06-10,2900.0,200.7
136329,136330,Soyabean,Telangana,Nizamabad,Nizamabad,2012-08-10,2800.0,323.9
136330,136331,Soyabean,Telangana,Nizamabad,Nizamabad,2012-09-10,2750.0,611.5
136331,136332,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-10,2800.0,813.8
136332,136333,Soyabean,Telangana,Nizamabad,Nizamabad,2012-11-10,2800.0,791.8
136333,136334,Soyabean,Telangana,Nizamabad,Nizamabad,2012-12-10,2800.0,977.1
136334,136335,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-13,2750.0,1022.0
136335,136336,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-16,2650.0,1083.5
136336,136337,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-17,2750.0,20.2
136337,136338,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-18,2850.0,938.0
136338,136339,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-19,3000.0,956.1
136339,136340,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-20,3000.0,1040.5
136340,136341,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-26,3000.0,382.1
136341,136342,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-29,3125.0,540.8
136342,136343,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-30,3075.0,305.8
136343,136344,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-31,3050.0,202.3
136344,136345,Soyabean,Telangana,Nizamabad,Nizamabad,2012-01-11,3125.0,140.4
136345,136346,Soyabean,Telangana,Nizamabad,Nizamabad,2012-02-11,3125.0,75.0
136346,136347,Soyabean,Telangana,Nizamabad,Nizamabad,2012-03-11,3125.0,41.4
136347,136348,Soyabean,Telangana,Nizamabad,Nizamabad,2012-04-11,3050.0,78.4
136348,136349,Soyabean,Telangana,Nizamabad,Nizamabad,2012-05-11,3050.0,78.4
136349,136350,Soyabean,Telangana,Nizamabad,Nizamabad,2012-06-11,3125.0,132.2
136350,136351,Soyabean,Telangana,Nizamabad,Nizamabad,2012-07-11,3125.0,88.5
136351,136352,Soyabean,Telangana,Nizamabad,Nizamabad,2012-08-11,3135.0,96.6
136352,136353,Soyabean,Telangana,Nizamabad,Nizamabad,2012-09-11,3121.0,61.4
136353,136354,Soyabean,Telangana,Nizamabad,Nizamabad,2012-10-11,3100.0,28.4
136354,136355,Soyabean,Telangana,Nizamabad,Nizamabad,2012-11-19,3111.0,76.3
136355,136356,Soyabean,Telangana,Nizamabad,Nizamabad,2012-11-20,3120.0,45.6
136356,136357,Soyabean,Telangana,Nizamabad,Nizamabad,2012-11-21,3120.0,45.6
136357,136358,Soyabean,Telangana,Nizamabad,Nizamabad,2012-11-22,3165.0,68.8
136358,136359,Soyabean,Telangana,Nizamabad,Nizamabad,2012-11-27,3140.0,20.7
136359,136360,Soyabean,Telangana,Nizamabad,Nizamabad,2012-11-29,3150.0,56.1
136360,136361,Soyabean,Telangana,Nizamabad,Nizamabad,2012-11-30,3150.0,21.2
136361,136362,Soyabean,Telangana,Nizamabad,Nizamabad,2012-03-12,3060.0,20.3
136362,136363,Soyabean,Telangana,Nizamabad,Nizamabad,2012-04-12,3050.0,32.5
