,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
28595,28596,Groundnut,Telangana,Warangal,Kesamudram,2012-03-21,4507.0,1.9
28596,28597,Groundnut,Telangana,Warangal,Kesamudram,2012-04-04,3503.0,1.6
28597,28598,Groundnut,Telangana,Warangal,Kesamudram,2012-04-19,4191.0,0.8
28598,28599,Groundnut,Telangana,Warangal,Kesamudram,2012-04-23,3990.0,2.1
28599,28600,Groundnut,Telangana,Warangal,Kesamudram,2012-04-28,3669.0,0.3
175428,175429,Groundnut,Telangana,Warangal,Kesamudram,2013-05-16,3577.0,
175429,175430,Groundnut,Telangana,Warangal,Kesamudram,2013-05-18,4000.0,
175430,175431,Groundnut,Telangana,Warangal,Kesamudram,2013-05-19,4000.0,
175431,175432,Groundnut,Telangana,Warangal,Kesamudram,2013-07-06,3270.0,
175432,175433,Groundnut,Telangana,Warangal,Kesamudram,2013-06-17,3300.0,3.7
175433,175434,Groundnut,Telangana,Warangal,Kesamudram,2013-06-18,3027.0,0.7
175434,175435,Groundnut,Telangana,Warangal,Kesamudram,2013-06-20,3010.0,6.0
175435,175436,Groundnut,Telangana,Warangal,Kesamudram,2013-06-25,3010.0,6.1
175436,175437,Groundnut,Telangana,Warangal,Kesamudram,2013-06-26,2599.0,2.2
175437,175438,Groundnut,Telangana,Warangal,Kesamudram,2013-06-29,2730.0,1.5
175438,175439,Groundnut,Telangana,Warangal,Kesamudram,2013-12-07,2490.0,0.2
175439,175440,Groundnut,Telangana,Warangal,Kesamudram,2013-05-08,3100.0,0.3
175440,175441,Groundnut,Telangana,Warangal,Kesamudram,2013-08-16,3775.0,0.6
175441,175442,Groundnut,Telangana,Warangal,Kesamudram,2013-10-10,3450.0,0.2
175442,175443,Groundnut,Telangana,Warangal,Kesamudram,2013-10-19,3000.0,0.1
175443,175444,Groundnut,Telangana,Warangal,Kesamudram,2013-10-23,3000.0,0.1
175444,175445,Groundnut,Telangana,Warangal,Kesamudram,2013-10-31,3403.0,0.2
175445,175446,Groundnut,Telangana,Warangal,Kesamudram,2013-01-11,4702.0,0.1
175446,175447,Groundnut,Telangana,Warangal,Kesamudram,2013-12-20,4451.0,0.6
175447,175448,Groundnut,Telangana,Warangal,Kesamudram,2013-12-23,3630.0,0.6
175448,175449,Groundnut,Telangana,Warangal,Kesamudram,2013-12-26,2901.0,6.8
175449,175450,Groundnut,Telangana,Warangal,Kesamudram,2013-12-27,2570.0,2.9
175450,175451,Groundnut,Telangana,Warangal,Kesamudram,2013-12-30,3100.0,12.6
175451,175452,Groundnut,Telangana,Warangal,Kesamudram,2013-12-31,2530.0,3.8
175452,175453,Groundnut,Telangana,Warangal,Mahabubabad,2013-05-06,3975.0,2.0
175453,175454,Groundnut,Telangana,Warangal,Mahabubabad,2013-06-06,3960.0,3.2
175454,175455,Groundnut,Telangana,Warangal,Mahabubabad,2013-07-06,3400.0,1.6
175455,175456,Groundnut,Telangana,Warangal,Mahabubabad,2013-11-06,3875.0,8.5
175456,175457,Groundnut,Telangana,Warangal,Mahabubabad,2013-06-21,3200.0,1.2
175457,175458,Groundnut,Telangana,Warangal,Mahabubabad,2013-06-22,3200.0,1.2
175458,175459,Groundnut,Telangana,Warangal,Warangal,2013-03-05,4350.0,
175459,175460,Groundnut,Telangana,Warangal,Warangal,2013-07-05,4250.0,
175460,175461,Groundnut,Telangana,Warangal,Warangal,2013-08-05,4200.0,
175461,175462,Groundnut,Telangana,Warangal,Warangal,2013-05-13,4100.0,
175462,175463,Groundnut,Telangana,Warangal,Warangal,2013-05-14,4175.0,
175463,175464,Groundnut,Telangana,Warangal,Warangal,2013-05-15,4200.0,
175464,175465,Groundnut,Telangana,Warangal,Warangal,2013-05-16,4000.0,
175465,175466,Groundnut,Telangana,Warangal,Warangal,2013-05-17,4200.0,
175466,175467,Groundnut,Telangana,Warangal,Warangal,2013-05-20,4200.0,
175467,175468,Groundnut,Telangana,Warangal,Warangal,2013-05-21,4000.0,
175468,175469,Groundnut,Telangana,Warangal,Warangal,2013-05-23,4000.0,
175469,175470,Groundnut,Telangana,Warangal,Warangal,2013-05-24,4000.0,
175470,175471,Groundnut,Telangana,Warangal,Warangal,2013-03-06,3500.0,10.2
175471,175472,Groundnut,Telangana,Warangal,Warangal,2013-06-18,3600.0,0.9
175472,175473,Groundnut,Telangana,Warangal,Warangal,2013-06-19,4000.0,3.3
175473,175474,Groundnut,Telangana,Warangal,Warangal,2013-06-21,3400.0,2.5
175474,175475,Groundnut,Telangana,Warangal,Warangal,2013-06-22,2900.0,1.1
175475,175476,Groundnut,Telangana,Warangal,Warangal,2013-06-24,3700.0,2.6
175476,175477,Groundnut,Telangana,Warangal,Warangal,2013-06-25,3500.0,0.9
175477,175478,Groundnut,Telangana,Warangal,Warangal,2013-06-26,3500.0,3.1
175478,175479,Groundnut,Telangana,Warangal,Warangal,2013-06-27,3600.0,11.2
175479,175480,Groundnut,Telangana,Warangal,Warangal,2013-06-28,3700.0,26.4
175480,175481,Groundnut,Telangana,Warangal,Warangal,2013-06-29,3450.0,11.2
175481,175482,Groundnut,Telangana,Warangal,Warangal,2013-01-07,3500.0,504.6
175482,175483,Groundnut,Telangana,Warangal,Warangal,2013-02-07,3500.0,30.6
175483,175484,Groundnut,Telangana,Warangal,Warangal,2013-03-07,3600.0,11.9
175484,175485,Groundnut,Telangana,Warangal,Warangal,2013-04-07,3750.0,14.6
175485,175486,Groundnut,Telangana,Warangal,Warangal,2013-05-07,3700.0,18.9
175486,175487,Groundnut,Telangana,Warangal,Warangal,2013-06-07,3000.0,5.4
175487,175488,Groundnut,Telangana,Warangal,Warangal,2013-07-07,3500.0,0.0
175488,175489,Groundnut,Telangana,Warangal,Warangal,2013-08-07,4000.0,0.0
175489,175490,Groundnut,Telangana,Warangal,Warangal,2013-09-07,3500.0,16.0
175490,175491,Groundnut,Telangana,Warangal,Warangal,2013-10-07,3600.0,20.1
175491,175492,Groundnut,Telangana,Warangal,Warangal,2013-11-07,3500.0,8.4
175492,175493,Groundnut,Telangana,Warangal,Warangal,2013-12-07,3500.0,3.5
175493,175494,Groundnut,Telangana,Warangal,Warangal,2013-07-13,3525.0,2.2
175494,175495,Groundnut,Telangana,Warangal,Warangal,2013-07-14,3600.0,0.1
175495,175496,Groundnut,Telangana,Warangal,Warangal,2013-07-15,3800.0,16.2
175496,175497,Groundnut,Telangana,Warangal,Warangal,2013-07-16,3700.0,9.7
175497,175498,Groundnut,Telangana,Warangal,Warangal,2013-07-17,3500.0,2.3
175498,175499,Groundnut,Telangana,Warangal,Warangal,2013-07-18,3700.0,8.2
175499,175500,Groundnut,Telangana,Warangal,Warangal,2013-07-20,3500.0,1.1
175500,175501,Groundnut,Telangana,Warangal,Warangal,2013-07-21,3000.0,0.0
175501,175502,Groundnut,Telangana,Warangal,Warangal,2013-07-22,3500.0,4.1
175502,175503,Groundnut,Telangana,Warangal,Warangal,2013-07-23,3600.0,1.8
175503,175504,Groundnut,Telangana,Warangal,Warangal,2013-07-24,3850.0,6.7
175504,175505,Groundnut,Telangana,Warangal,Warangal,2013-07-25,4000.0,4.5
175505,175506,Groundnut,Telangana,Warangal,Warangal,2013-07-26,3700.0,11.2
175506,175507,Groundnut,Telangana,Warangal,Warangal,2013-07-27,3700.0,13.0
175507,175508,Groundnut,Telangana,Warangal,Warangal,2013-07-28,3000.0,0.0
175508,175509,Groundnut,Telangana,Warangal,Warangal,2013-07-29,4300.0,0.0
175509,175510,Groundnut,Telangana,Warangal,Warangal,2013-07-30,3700.0,22.2
175510,175511,Groundnut,Telangana,Warangal,Warangal,2013-07-31,3800.0,2.5
175511,175512,Groundnut,Telangana,Warangal,Warangal,2013-01-08,3200.0,1.1
175512,175513,Groundnut,Telangana,Warangal,Warangal,2013-02-08,3500.0,1.7
175513,175514,Groundnut,Telangana,Warangal,Warangal,2013-03-08,3000.0,3.2
175514,175515,Groundnut,Telangana,Warangal,Warangal,2013-05-08,3600.0,7.2
175515,175516,Groundnut,Telangana,Warangal,Warangal,2013-07-08,3000.0,5.7
175516,175517,Groundnut,Telangana,Warangal,Warangal,2013-08-08,3600.0,3.2
175517,175518,Groundnut,Telangana,Warangal,Warangal,2013-09-08,3500.0,0.0
175518,175519,Groundnut,Telangana,Warangal,Warangal,2013-10-08,3600.0,0.0
175519,175520,Groundnut,Telangana,Warangal,Warangal,2013-11-08,4200.0,0.0
175520,175521,Groundnut,Telangana,Warangal,Warangal,2013-12-08,3900.0,6.1
175521,175522,Groundnut,Telangana,Warangal,Warangal,2013-08-13,3000.0,2.8
175522,175523,Groundnut,Telangana,Warangal,Warangal,2013-08-14,3600.0,4.0
175523,175524,Groundnut,Telangana,Warangal,Warangal,2013-08-16,3100.0,5.8
175524,175525,Groundnut,Telangana,Warangal,Warangal,2013-08-17,3500.0,7.5
175525,175526,Groundnut,Telangana,Warangal,Warangal,2013-08-18,4200.0,0.0
175526,175527,Groundnut,Telangana,Warangal,Warangal,2013-08-19,3500.0,8.9
175527,175528,Groundnut,Telangana,Warangal,Warangal,2013-08-20,3000.0,8.8
175528,175529,Groundnut,Telangana,Warangal,Warangal,2013-08-21,4200.0,0.0
175529,175530,Groundnut,Telangana,Warangal,Warangal,2013-08-22,4055.0,4.5
175530,175531,Groundnut,Telangana,Warangal,Warangal,2013-04-09,2800.0,29.3
175531,175532,Groundnut,Telangana,Warangal,Warangal,2013-09-20,3400.0,26.4
175532,175533,Groundnut,Telangana,Warangal,Warangal,2013-09-23,2500.0,55.6
175533,175534,Groundnut,Telangana,Warangal,Warangal,2013-09-24,2700.0,28.4
175534,175535,Groundnut,Telangana,Warangal,Warangal,2013-09-25,2500.0,9.5
175535,175536,Groundnut,Telangana,Warangal,Warangal,2013-09-26,2700.0,12.8
175536,175537,Groundnut,Telangana,Warangal,Warangal,2013-09-27,3000.0,11.5
175537,175538,Groundnut,Telangana,Warangal,Warangal,2013-09-28,2500.0,7.8
175538,175539,Groundnut,Telangana,Warangal,Warangal,2013-09-30,3000.0,10.4
175539,175540,Groundnut,Telangana,Warangal,Warangal,2013-01-10,3300.0,5.9
175540,175541,Groundnut,Telangana,Warangal,Warangal,2013-03-10,3400.0,23.8
175541,175542,Groundnut,Telangana,Warangal,Warangal,2013-05-10,3500.0,9.3
175542,175543,Groundnut,Telangana,Warangal,Warangal,2013-07-10,3500.0,19.4
175543,175544,Groundnut,Telangana,Warangal,Warangal,2013-08-10,2700.0,6.9
175544,175545,Groundnut,Telangana,Warangal,Warangal,2013-09-10,3650.0,20.9
175545,175546,Groundnut,Telangana,Warangal,Warangal,2013-10-10,3000.0,29.2
175546,175547,Groundnut,Telangana,Warangal,Warangal,2013-10-17,3000.0,10.9
175547,175548,Groundnut,Telangana,Warangal,Warangal,2013-10-18,3000.0,22.7
175548,175549,Groundnut,Telangana,Warangal,Warangal,2013-10-19,3100.0,19.0
175549,175550,Groundnut,Telangana,Warangal,Warangal,2013-10-21,2600.0,39.5
175550,175551,Groundnut,Telangana,Warangal,Warangal,2013-10-22,2600.0,16.6
175551,175552,Groundnut,Telangana,Warangal,Warangal,2013-10-23,3300.0,35.7
175552,175553,Groundnut,Telangana,Warangal,Warangal,2013-10-24,2500.0,4.6
175553,175554,Groundnut,Telangana,Warangal,Warangal,2013-10-25,3200.0,15.4
175554,175555,Groundnut,Telangana,Warangal,Warangal,2013-10-28,3200.0,20.5
175555,175556,Groundnut,Telangana,Warangal,Warangal,2013-10-29,3000.0,29.5
