,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
71983,71984,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-01,2830.0,1.0
71984,71985,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-01,2840.0,1.5
71985,71986,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-04-01,2850.0,1.0
71986,71987,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-05-01,2855.0,0.5
71987,71988,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-06-01,2860.0,1.0
71988,71989,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-07-01,2850.0,1.5
71989,71990,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-08-01,2860.0,0.5
71990,71991,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-09-01,2870.0,1.0
71991,71992,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-11-01,2865.0,1.5
71992,71993,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-12-01,2870.0,1.0
71993,71994,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-13,2875.0,1.5
71994,71995,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-14,2870.0,1.0
71995,71996,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-16,2875.0,1.5
71996,71997,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-18,2880.0,1.0
71997,71998,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-19,2875.0,1.5
71998,71999,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-20,2880.0,1.0
71999,72000,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-21,2875.0,1.0
72000,72001,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-22,2870.0,1.5
72001,72002,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-23,2875.0,1.0
72002,72003,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-25,2880.0,1.5
72003,72004,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-26,2885.0,0.5
72004,72005,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-27,2890.0,1.0
72005,72006,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-28,2895.0,1.5
72006,72007,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-29,2900.0,1.0
72007,72008,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-30,2900.0,2.0
72008,72009,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-02,2890.0,1.5
72009,72010,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-02,2885.0,1.0
72010,72011,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-02,2880.0,1.5
72011,72012,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-04-02,2875.0,1.0
72012,72013,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-05-02,2880.0,0.5
72013,72014,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-06-02,2885.0,1.5
72014,72015,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-11-02,2880.0,1.0
72015,72016,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-12-02,2875.0,0.5
72016,72017,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-13,2885.0,1.0
72017,72018,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-16,2880.0,1.5
72018,72019,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-17,2890.0,1.0
72019,72020,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-18,2885.0,1.5
72020,72021,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-19,2880.0,1.0
72021,72022,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-20,2890.0,1.5
72022,72023,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-22,2880.0,1.0
72023,72024,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-23,2885.0,1.5
72024,72025,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-24,2880.0,1.0
72025,72026,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-25,2910.0,1.5
72026,72027,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-26,2915.0,1.0
72027,72028,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-27,2920.0,1.5
72028,72029,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-29,2930.0,2.0
72029,72030,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-03,2925.0,1.0
72030,72031,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-03,2930.0,1.5
72031,72032,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-03,2925.0,1.0
72032,72033,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-04-03,2920.0,1.0
72033,72034,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-05-03,2930.0,1.5
72034,72035,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-07-03,2925.0,1.0
72035,72036,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-09-03,2925.0,0.5
72036,72037,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-10-03,2920.0,1.0
72037,72038,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-11-03,2915.0,0.5
72038,72039,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-12-03,2920.0,1.0
72039,72040,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-14,2925.0,1.5
72040,72041,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-15,2930.0,0.5
72041,72042,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-16,2935.0,1.0
72042,72043,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-17,2950.0,1.5
72043,72044,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-18,2955.0,0.5
72044,72045,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-19,2960.0,1.0
72045,72046,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-21,2970.0,1.5
72046,72047,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-22,2975.0,1.0
72047,72048,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-23,2970.0,1.5
72048,72049,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-24,2965.0,0.5
72049,72050,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-25,2970.0,1.0
72050,72051,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-26,2975.0,1.0
72051,72052,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-28,2970.0,1.0
72052,72053,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-29,2965.0,1.5
72053,72054,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-30,2970.0,1.0
72054,72055,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-03-31,2975.0,2.0
72055,72056,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-01-04,2970.0,0.5
72056,72057,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-02-04,2980.0,1.5
72057,72058,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-04-04,2975.0,1.0
72058,72059,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-05-04,2970.0,0.5
72059,72060,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-06-04,2965.0,0.5
72060,72061,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-07-04,2960.0,1.5
72061,72062,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-08-04,2955.0,0.5
72062,72063,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-09-04,2950.0,1.0
72063,72064,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-11-04,2940.0,1.5
72064,72065,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-12-04,2945.0,1.0
72065,72066,Mustard,Uttar Pradesh,Chandauli,Chandoli,2012-04-13,2950.0,1.5
