,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
73043,73044,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-01-08,4210.0,1.0
73044,73045,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-02-08,4230.0,1.2
73045,73046,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-03-08,4250.0,0.8
73046,73047,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-04-08,4170.0,1.2
73047,73048,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-06-08,4050.0,2.0
73048,73049,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-07-08,4030.0,2.2
73049,73050,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-08-08,4040.0,2.0
73050,73051,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-09-08,4030.0,1.8
73051,73052,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-08-13,4080.0,1.6
73052,73053,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-08-14,4070.0,0.5
73053,73054,Mustard,Uttar Pradesh,Etawah,Bharthana,2012-08-16,4050.0,2.2
73054,73055,Mustard,Uttar Pradesh,Etawah,Bharthna,2012-10-05,3960.0,3.0
73055,73056,Mustard,Uttar Pradesh,Etawah,Bharthna,2012-01-08,4210.0,0.1
73056,73057,Mustard,Uttar Pradesh,Etawah,Bharthna,2012-02-08,4230.0,1.2
73057,73058,Mustard,Uttar Pradesh,Etawah,Bharthna,2012-04-08,4170.0,1.2
73058,73059,Mustard,Uttar Pradesh,Etawah,Bharthna,2012-06-08,4050.0,2.0
73059,73060,Mustard,Uttar Pradesh,Etawah,Bharthna,2012-07-08,4030.0,2.2
73060,73061,Mustard,Uttar Pradesh,Etawah,Bharthna,2012-08-08,4040.0,2.0
73061,73062,Mustard,Uttar Pradesh,Etawah,Bharthna,2012-09-08,4030.0,1.8
73062,73063,Mustard,Uttar Pradesh,Etawah,Bharthna,2012-08-14,4070.0,0.5
