,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
74647,74648,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-05,3460.0,13.0
74648,74649,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-05,3450.0,15.5
74649,74650,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-09-05,3500.0,13.5
74650,74651,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-10-05,3530.0,12.0
74651,74652,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-11-05,3550.0,11.0
74652,74653,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-12-05,3570.0,10.0
74653,74654,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-13,3590.0,9.0
74654,74655,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-14,3620.0,8.0
74655,74656,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-16,3625.0,7.0
74656,74657,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-17,3620.0,8.0
74657,74658,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-18,3630.0,7.0
74658,74659,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-20,3660.0,5.0
74659,74660,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-23,3625.0,5.0
74660,74661,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-24,3630.0,38.0
74661,74662,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-25,3600.0,5.0
74662,74663,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-26,3460.0,6.0
74663,74664,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-27,3500.0,5.0
74664,74665,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-28,3550.0,4.0
74665,74666,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-30,3580.0,3.0
74666,74667,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-31,3575.0,4.0
74667,74668,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-01-06,3570.0,6.0
74668,74669,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-02-06,3560.0,7.0
74669,74670,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-03-06,3570.0,1.5
74670,74671,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-04-06,3580.0,6.0
74671,74672,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-06,3560.0,8.0
74672,74673,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-06,3580.0,2.0
74673,74674,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-06,3570.0,8.0
74674,74675,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-09-06,3560.0,9.0
74675,74676,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-10-06,3570.0,8.0
74676,74677,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-11-06,3580.0,7.0
74677,74678,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-13,3570.0,9.0
74678,74679,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-14,3590.0,8.0
74679,74680,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-16,3580.0,9.0
74680,74681,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-17,3590.0,8.0
74681,74682,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-18,3580.0,9.5
74682,74683,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-20,3590.0,8.0
74683,74684,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-21,3550.0,9.0
74684,74685,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-24,3540.0,8.0
74685,74686,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-25,3220.0,9.0
74686,74687,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-27,3550.0,8.0
74687,74688,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-28,3540.0,9.0
74688,74689,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-29,3560.0,8.0
74689,74690,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-06-30,3550.0,9.0
74690,74691,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-01-07,3560.0,7.0
74691,74692,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-02-07,3575.0,6.0
74692,74693,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-04-07,3570.0,7.5
74693,74694,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-07,3550.0,8.0
74694,74695,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-09-07,3560.0,2.0
74695,74696,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-11-07,4670.0,1.5
74696,74697,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-12-07,3540.0,1.7
74697,74698,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-13,3550.0,1.0
74698,74699,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-14,3540.0,1.5
74699,74700,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-16,3560.0,1.0
74700,74701,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-18,3560.0,1.5
74701,74702,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-19,3570.0,1.0
74702,74703,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-20,3560.0,2.0
74703,74704,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-21,3620.0,1.8
74704,74705,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-22,3610.0,2.5
74705,74706,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-23,3620.0,2.0
74706,74707,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-25,3610.0,1.0
74707,74708,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-26,3600.0,1.3
74708,74709,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-07-27,3800.0,1.0
74709,74710,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-01-08,3980.0,2.8
74710,74711,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-04-08,4010.0,2.0
74711,74712,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-05-08,4000.0,2.5
74712,74713,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-08,4060.0,1.8
74713,74714,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-09-08,4070.0,1.5
74714,74715,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-10-08,4080.0,1.2
74715,74716,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-11-08,4070.0,2.0
74716,74717,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-12-08,4090.0,1.7
74717,74718,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-13,4080.0,2.2
74718,74719,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-16,4150.0,2.0
74719,74720,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-17,4150.0,2.0
74720,74721,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-18,4170.0,1.5
74721,74722,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-19,4160.0,2.0
74722,74723,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-20,4170.0,1.5
74723,74724,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-22,4180.0,1.0
74724,74725,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-23,4170.0,1.2
74725,74726,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-24,4180.0,1.0
74726,74727,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-25,4170.0,1.3
74727,74728,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-26,4180.0,1.5
74728,74729,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-27,4200.0,1.0
74729,74730,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-29,4220.0,12.0
74730,74731,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-30,4110.0,1.5
74731,74732,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-08-31,4020.0,1.7
74732,74733,Mustard,Uttar Pradesh,Firozabad,Firozabad,2012-01-09,4030.0,1.0
