,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
74823,74824,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-04-19,3300.0,5.0
74824,74825,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-04-23,3300.0,0.5
74825,74826,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-04-28,3300.0,0.7
74826,74827,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-11-10,3840.0,2.0
74827,74828,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-10-16,3860.0,2.5
74828,74829,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-10-20,3850.0,2.0
74829,74830,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-10-23,3950.0,1.5
74830,74831,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-10-26,3960.0,2.0
74831,74832,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-10-29,3940.0,2.5
74832,74833,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-03-11,3860.0,1.5
74833,74834,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-06-11,3820.0,2.0
74834,74835,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-10-11,3840.0,1.0
74835,74836,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-12-11,3810.0,2.5
74836,74837,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-11-15,3760.0,2.0
74837,74838,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-11-20,3760.0,0.8
74838,74839,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-11-23,3720.0,1.0
74839,74840,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-11-29,3680.0,0.5
74840,74841,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-01-12,3690.0,0.5
74841,74842,Mustard,Uttar Pradesh,Gautam Budh Nagar,Dadri,2012-07-12,3680.0,0.4
