,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
75245,75246,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-01,2870.0,2.7
75246,75247,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-03-01,2875.0,2.0
75247,75248,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-04-01,2850.0,3.0
75248,75249,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-05-01,2840.0,4.5
75249,75250,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-06-01,2850.0,3.5
75250,75251,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-07-01,2850.0,4.0
75251,75252,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-09-01,2850.0,2.5
75252,75253,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-10-01,2850.0,3.0
75253,75254,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-11-01,2850.0,3.2
75254,75255,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-12-01,2880.0,2.5
75255,75256,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-13,2880.0,2.8
75256,75257,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-14,2880.0,2.9
75257,75258,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-16,2880.0,3.0
75258,75259,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-17,2885.0,2.0
75259,75260,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-18,2885.0,2.2
75260,75261,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-19,2885.0,2.4
75261,75262,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-20,2890.0,2.0
75262,75263,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-21,2890.0,2.5
75263,75264,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-23,2890.0,2.7
75264,75265,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-24,2890.0,3.0
75265,75266,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-25,2890.0,2.0
75266,75267,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-27,2900.0,3.5
75267,75268,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-28,2900.0,2.5
75268,75269,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-30,2900.0,2.7
75269,75270,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-31,2900.0,3.0
75270,75271,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-01-02,2900.0,3.2
75271,75272,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-02,2885.0,4.0
75272,75273,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-03-02,2900.0,3.0
75273,75274,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-04-02,2880.0,3.1
75274,75275,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-06-02,2880.0,3.5
75275,75276,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-07-02,2885.0,3.0
75276,75277,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-08-02,2885.0,2.5
75277,75278,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-09-02,2885.0,3.0
75278,75279,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-10-02,2885.0,3.2
75279,75280,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-13,2885.0,3.3
75280,75281,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-14,2880.0,3.4
75281,75282,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-15,2880.0,3.5
75282,75283,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-16,2880.0,3.6
75283,75284,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-17,2880.0,3.7
75284,75285,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-18,2880.0,3.8
75285,75286,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-20,2880.0,2.1
75286,75287,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-21,2880.0,2.2
75287,75288,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-22,2880.0,2.3
75288,75289,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-23,2880.0,2.4
75289,75290,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-24,2875.0,2.5
75290,75291,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-25,2900.0,1.0
75291,75292,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-27,2900.0,1.5
75292,75293,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-28,2900.0,1.3
75293,75294,Mustard,Uttar Pradesh,Ghazipur,Gazipur,2012-02-29,2900.0,1.4
