,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
385945,385946,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2014-03-28,3110.0,23.0
385946,385947,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2014-05-26,3150.0,9.0
385947,385948,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2014-06-25,3170.0,9.0
385948,385949,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2014-08-29,3160.0,1.8
385949,385950,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2014-10-31,3230.0,2.1
385950,385951,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2014-11-29,3180.0,2.0
385951,385952,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2014-12-29,3340.0,2.0
385952,385953,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2014-10-30,3120.0,11.0
385953,385954,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2014-11-29,3170.0,15.0
385954,385955,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2014-12-31,3260.0,17.0
543518,543519,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2015-01-31,3450.0,1.5
543519,543520,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2015-02-28,3450.0,2.0
543520,543521,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2015-04-29,3125.0,2.1
543521,543522,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2015-05-30,3500.0,2.5
543522,543523,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2015-06-27,3700.0,1.0
543523,543524,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2015-07-31,3600.0,1.8
543524,543525,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2015-08-31,3700.0,1.0
543525,543526,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2015-09-28,3750.0,1.4
543526,543527,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2015-10-31,4050.0,1.0
543527,543528,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2015-11-28,4400.0,2.1
543528,543529,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2015-01-31,3300.0,17.0
543529,543530,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2015-02-28,3050.0,14.5
543530,543531,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2015-03-31,3100.0,21.0
543531,543532,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2015-04-29,3145.0,7.5
543532,543533,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2015-01-06,3650.0,11.0
543533,543534,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2015-01-07,3800.0,23.0
543534,543535,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2015-08-28,3800.0,21.0
543535,543536,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2015-09-29,3800.0,22.0
543536,543537,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2015-10-29,4100.0,25.0
543537,543538,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,2015-11-28,4410.0,13.0
704393,704394,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2016-01-30,4150.0,18.0
704394,704395,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2016-02-27,3900.0,20.0
704395,704396,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2016-03-28,3480.0,18.0
704396,704397,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2016-04-30,3625.0,12.0
704397,704398,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2016-05-28,4000.0,8.0
704398,704399,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2016-06-17,4230.0,8.0
704399,704400,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2016-06-25,4200.0,7.0
704400,704401,Mustard,Uttar Pradesh,Jyotiba Phule Nagar,Amroha,2016-07-15,4170.0,11.0
