,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
29573,29574,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-15,6200.0,5.0
29574,29575,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-17,6220.0,9.5
29575,29576,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-18,6190.0,12.0
29576,29577,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-19,6150.0,16.0
29577,29578,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-20,6130.0,21.0
29578,29579,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-22,6100.0,28.0
29579,29580,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-23,6080.0,30.0
29580,29581,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-24,6050.0,26.5
29581,29582,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-25,6020.0,31.5
29582,29583,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-26,6000.0,35.0
29583,29584,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-27,5980.0,28.0
29584,29585,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-29,5960.0,34.0
29585,29586,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-31,5940.0,29.0
29586,29587,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-01-11,5850.0,33.0
29587,29588,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-02-11,5820.0,11.5
29588,29589,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-03-11,5800.0,12.0
29589,29590,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-06-11,5750.0,12.0
29590,29591,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-08-11,5700.0,21.0
29591,29592,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-10-11,5700.0,20.0
29592,29593,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-12-11,5700.0,30.0
29593,29594,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-11-13,5680.0,18.0
29594,29595,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-11-16,5680.0,13.0
29595,29596,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-11-17,5670.0,25.0
29596,29597,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-11-19,5640.0,30.0
29597,29598,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-11-20,5630.0,26.5
29598,29599,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-11-21,5600.0,24.0
29599,29600,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-11-23,5580.0,40.0
29600,29601,Groundnut,Uttar Pradesh,Meerut,Meerut,2012-11-26,5575.0,32.0
