,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
83553,83554,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-02-01,2750.0,4.0
83554,83555,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-01,2750.0,4.0
83555,83556,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-12-01,2675.0,4.0
83556,83557,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-13,2650.0,5.0
83557,83558,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-17,2750.0,5.0
83558,83559,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-18,2800.0,5.0
83559,83560,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-19,2750.0,5.0
83560,83561,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-20,2675.0,5.0
83561,83562,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-22,2800.0,5.0
83562,83563,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-23,2675.0,5.0
83563,83564,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-24,2675.0,5.0
83564,83565,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-25,2675.0,6.0
83565,83566,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-29,2675.0,4.5
83566,83567,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-02,2650.0,5.0
83567,83568,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-02,2725.0,4.0
83568,83569,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-02,2750.0,5.0
83569,83570,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-12-02,2750.0,3.5
83570,83571,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-02-13,2725.0,3.8
83571,83572,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-02-14,2725.0,4.5
83572,83573,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-02-15,2725.0,5.0
83573,83574,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-02-16,2725.0,5.0
83574,83575,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-02-21,2725.0,3.5
83575,83576,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-02-23,2700.0,4.0
83576,83577,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-03,2650.0,5.0
83577,83578,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-03,2650.0,4.0
83578,83579,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-03-16,2650.0,3.5
83579,83580,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-03-21,2650.0,3.5
83580,83581,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-02-04,2650.0,4.0
83581,83582,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-03-04,2650.0,3.5
83582,83583,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-04,2650.0,3.0
83583,83584,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-13,2775.0,8.0
83584,83585,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-16,2700.0,4.0
83585,83586,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-17,2775.0,3.0
83586,83587,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-18,2775.0,3.5
83587,83588,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-20,2750.0,4.0
83588,83589,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-22,2750.0,3.5
83589,83590,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-03-05,3000.0,2.0
83590,83591,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-05,3000.0,3.5
83591,83592,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-05-15,3100.0,3.0
83592,83593,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-06,3000.0,2.0
83593,83594,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-06-06,3150.0,3.0
83594,83595,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-07-06,3150.0,2.5
83595,83596,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-06,3150.0,3.0
83596,83597,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-06,3150.0,2.5
83597,83598,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-06-13,3150.0,3.0
83598,83599,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-06-14,3150.0,3.0
83599,83600,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-06-15,3150.0,3.0
83600,83601,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-06-17,3250.0,2.5
83601,83602,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-06-18,3250.0,3.0
83602,83603,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-06-20,3250.0,3.0
83603,83604,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-06-29,3250.0,3.5
83604,83605,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-03-07,3350.0,2.5
83605,83606,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-06-07,3350.0,2.5
83606,83607,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-07,3350.0,2.8
83607,83608,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-07,3350.0,2.8
83608,83609,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-12-07,3550.0,3.0
83609,83610,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-07-16,3500.0,4.0
83610,83611,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-07-17,3500.0,3.5
83611,83612,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-07-18,3500.0,3.5
83612,83613,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-07-23,3550.0,3.0
83613,83614,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-03-08,3650.0,3.0
83614,83615,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-05-08,3650.0,2.5
83615,83616,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-07-08,3650.0,2.5
83616,83617,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-08,3875.0,3.5
83617,83618,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-08,3975.0,3.5
83618,83619,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-08-14,3975.0,2.0
83619,83620,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-08-15,3975.0,2.2
83620,83621,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-08-16,3975.0,2.0
83621,83622,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-08-17,4000.0,3.0
83622,83623,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-08-22,3650.0,3.0
83623,83624,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-08-30,3750.0,3.0
83624,83625,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-03-09,3800.0,2.0
83625,83626,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-05-09,3800.0,2.5
83626,83627,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-06-09,3850.0,3.0
83627,83628,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-12-09,3900.0,4.0
83628,83629,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-14,3800.0,3.5
83629,83630,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-18,3750.0,2.8
83630,83631,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-21,3750.0,2.5
83631,83632,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-23,3800.0,3.0
83632,83633,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-24,3700.0,3.0
83633,83634,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-25,3800.0,4.0
83634,83635,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-26,3800.0,3.5
83635,83636,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-27,3800.0,3.8
83636,83637,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-28,3850.0,3.5
83637,83638,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-10,3850.0,4.5
83638,83639,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-10,3850.0,4.0
83639,83640,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-05-10,3850.0,3.0
83640,83641,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-10,3800.0,3.0
83641,83642,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-10,3750.0,3.5
83642,83643,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-10,3725.0,4.0
83643,83644,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-12-10,3750.0,4.5
83644,83645,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-14,3800.0,4.0
83645,83646,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-15,3800.0,4.0
83646,83647,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-17,3700.0,3.2
83647,83648,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-19,3700.0,3.2
83648,83649,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-22,3800.0,3.0
83649,83650,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-25,3800.0,2.0
83650,83651,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-26,3750.0,2.5
83651,83652,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-30,3900.0,2.5
83652,83653,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-05-11,3850.0,2.0
83653,83654,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-11,3900.0,6.0
83654,83655,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-14,3950.0,4.0
83655,83656,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-15,3950.0,3.0
83656,83657,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-16,3950.0,2.5
83657,83658,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-19,3900.0,3.0
83658,83659,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-20,3950.0,4.0
83659,83660,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-21,3950.0,3.5
83660,83661,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-22,3950.0,3.0
83661,83662,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-23,3975.0,3.5
83662,83663,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-25,3975.0,4.0
83663,83664,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-26,3950.0,4.2
83664,83665,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-27,3950.0,2.0
83665,83666,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-29,3900.0,2.5
235567,235568,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-01,3850.0,3.0
235568,235569,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-02-01,3825.0,3.0
235569,235570,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-04-01,3850.0,4.0
235570,235571,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-06-01,3825.0,2.3
235571,235572,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-07-01,3850.0,3.5
235572,235573,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-08-01,3850.0,4.0
235573,235574,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-09-01,3825.0,2.5
235574,235575,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-10-01,3850.0,3.5
235575,235576,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-11-01,3825.0,3.0
235576,235577,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-13,3800.0,2.5
235577,235578,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-14,3800.0,3.0
235578,235579,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-15,3800.0,3.5
235579,235580,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-16,3800.0,3.0
235580,235581,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-17,3800.0,2.8
235581,235582,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-18,3800.0,4.0
235582,235583,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-20,3825.0,4.5
235583,235584,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-21,3800.0,3.0
235584,235585,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-22,3800.0,4.0
235585,235586,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-23,3800.0,3.5
235586,235587,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-24,3800.0,4.0
235587,235588,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-25,3800.0,2.5
235588,235589,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-27,3800.0,3.8
235589,235590,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-28,3800.0,3.0
235590,235591,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-29,3800.0,3.5
235591,235592,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-30,3800.0,4.0
235592,235593,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-01-02,3800.0,3.5
235593,235594,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-04-02,3800.0,3.0
235594,235595,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-05-02,3800.0,2.5
235595,235596,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-06-02,3810.0,4.0
235596,235597,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-07-02,3800.0,3.5
235597,235598,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-08-02,3800.0,3.0
235598,235599,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-11-02,3800.0,2.5
235599,235600,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-12-02,3810.0,3.0
235600,235601,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-02-13,3800.0,3.5
235601,235602,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-02-14,3800.0,3.0
235602,235603,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-02-18,3800.0,3.0
235603,235604,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-02-19,3810.0,4.0
235604,235605,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-02-20,3800.0,4.5
235605,235606,Mustard,Uttar Pradesh,Pratapgarh,Pratapgarh,2013-02-21,3810.0,4.0
