,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
85474,85475,Mustard,Uttar Pradesh,Sonbhadra,Dudhi,2012-08-28,3240.0,9.0
85475,85476,Mustard,Uttar Pradesh,Sonbhadra,Dudhi,2012-09-25,3300.0,5.0
85476,85477,Mustard,Uttar Pradesh,Sonbhadra,Dudhi,2012-09-28,3310.0,2.0
85477,85478,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-08-27,3250.0,2.5
85478,85479,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-09-24,3320.0,3.0
85479,85480,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-15,3450.0,0.2
85480,85481,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-16,3460.0,0.15
85481,85482,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-17,3450.0,0.25
85482,85483,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-18,3450.0,0.25
85483,85484,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-19,3450.0,0.3
85484,85485,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-20,3500.0,0.2
85485,85486,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-21,3500.0,0.22
85486,85487,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-22,3500.0,0.35
85487,85488,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-23,3500.0,0.3
85488,85489,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-25,3500.0,0.25
85489,85490,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-26,3500.0,0.3
85490,85491,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-27,3500.0,0.25
85491,85492,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-28,3500.0,0.2
85492,85493,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-29,3500.0,0.28
85493,85494,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-30,3500.0,0.26
85494,85495,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-01-11,3500.0,0.22
85495,85496,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-02-11,3500.0,0.25
85496,85497,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-03-11,3515.0,0.2
85497,85498,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-04-11,3515.0,0.15
85498,85499,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-05-11,3525.0,0.28
85499,85500,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-06-11,3525.0,0.25
85500,85501,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-07-11,3525.0,0.22
85501,85502,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-08-11,3525.0,0.22
85502,85503,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-09-11,3525.0,0.24
85503,85504,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-10-11,3530.0,0.24
85504,85505,Mustard,Uttar Pradesh,Sonbhadra,Robertsganj,2012-11-11,3530.0,0.38
