,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
29738,29739,Groundnut,Uttrakhand,Haridwar,Lakshar,2012-10-26,0.0,19.0
29739,29740,Groundnut,Uttrakhand,Haridwar,Roorkee,2012-10-18,0.0,7.74
29740,29741,Groundnut,Uttrakhand,Haridwar,Roorkee,2012-11-17,0.0,0.3
29741,29742,Groundnut,Uttrakhand,Haridwar,Roorkee,2012-12-15,0.0,5.0
29742,29743,Groundnut,Uttrakhand,Haridwar,Roorkee,2012-12-18,0.0,15.0
86497,86498,Mustard,Uttrakhand,Haridwar,Lakshar,2012-03-21,0.0,7.5
86498,86499,Mustard,Uttrakhand,Haridwar,Lakshar,2012-03-22,0.0,7.5
176412,176413,Groundnut,Uttrakhand,Haridwar,Lakshar,2013-09-19,0.0,11.85
176413,176414,Groundnut,Uttrakhand,Haridwar,Lakshar,2013-07-11,0.0,27.6
176414,176415,Groundnut,Uttrakhand,Haridwar,Lakshar,2013-08-11,0.0,21.3
176415,176416,Groundnut,Uttrakhand,Haridwar,Lakshar,2013-02-12,0.0,25.6
176416,176417,Groundnut,Uttrakhand,Haridwar,Lakshar,2013-09-12,0.0,10.9
176417,176418,Groundnut,Uttrakhand,Haridwar,Lakshar,2013-12-18,0.0,9.8
176418,176419,Groundnut,Uttrakhand,Haridwar,Roorkee,2013-03-02,0.0,10.3
176419,176420,Groundnut,Uttrakhand,Haridwar,Roorkee,2013-02-17,0.0,1.7
176420,176421,Groundnut,Uttrakhand,Haridwar,Roorkee,2013-03-26,0.0,0.2
176421,176422,Groundnut,Uttrakhand,Haridwar,Roorkee,2013-10-27,0.0,8.0
176422,176423,Groundnut,Uttrakhand,Haridwar,Roorkee,2013-07-12,3900.0,0.7
176423,176424,Groundnut,Uttrakhand,Haridwar,Roorkee,2013-12-21,3500.0,9.4
239393,239394,Mustard,Uttrakhand,Haridwar,Lakshar,2013-02-07,0.0,0.6
239394,239395,Mustard,Uttrakhand,Haridwar,Lakshar,2013-07-29,0.0,3.2
329741,329742,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-09-01,0.0,4.9
329742,329743,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-10-01,0.0,5.0
329743,329744,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-09-22,4000.0,12.0
329744,329745,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-10-17,4050.0,10.5
329745,329746,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-10-27,4150.0,11.4
329746,329747,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-12-11,4050.0,26.0
329747,329748,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-11-16,4050.0,31.6
329748,329749,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-11-19,4050.0,11.3
329749,329750,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-11-28,4050.0,8.7
329750,329751,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-11-29,4050.0,11.7
329751,329752,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-10-12,4050.0,11.3
329752,329753,Groundnut,Uttrakhand,Haridwar,Lakshar,2014-12-16,4050.0,11.3
