,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
29760,29761,Groundnut,Uttrakhand,UdhamSinghNagar,Kicchha,2012-01-31,3289.0,5.4
29761,29762,Groundnut,Uttrakhand,UdhamSinghNagar,Kicchha,2012-02-21,3690.0,2.3
29762,29763,Groundnut,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-11-30,4562.0,37.13
29763,29764,Groundnut,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-12-28,4330.0,9.0
86499,86500,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2012-08-14,2940.0,28.77
86500,86501,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2012-08-23,2950.0,27.26
86501,86502,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2012-09-13,2944.0,31.23
136503,136504,Soyabean,Uttrakhand,UdhamSinghNagar,Kicchha,2012-02-21,2100.0,459.3
136504,136505,Soyabean,Uttrakhand,UdhamSinghNagar,Kicchha,2012-06-29,3361.0,94.7
136505,136506,Soyabean,Uttrakhand,UdhamSinghNagar,Kicchha,2012-09-14,3003.0,249.9
136506,136507,Soyabean,Uttrakhand,UdhamSinghNagar,Kicchha,2012-09-22,3000.0,136.0
136507,136508,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-10-01,3121.0,162.0
136508,136509,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-11-01,2114.0,111.6
136509,136510,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-12-01,2120.0,184.2
136510,136511,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-01-13,2122.0,147.6
136511,136512,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-05-25,3350.0,1265.23
136512,136513,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-05-26,3350.0,500.0
136513,136514,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-05-27,1318.0,300.0
136514,136515,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-04-12,2966.0,120.81
136515,136516,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-05-12,2969.0,98.24
136516,136517,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-06-12,2971.0,142.77
136517,136518,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-07-12,2985.0,76.92
136518,136519,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-08-12,2909.0,41.7
136519,136520,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-12-29,3250.0,15.2
136520,136521,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2012-12-30,3180.0,217.5
239403,239404,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-05-01,2450.0,16.62
239404,239405,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-11-01,2379.0,20.96
239405,239406,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-01-13,2500.0,21.0
239406,239407,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-01-17,2500.0,21.92
239407,239408,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-01-20,2500.0,45.52
239408,239409,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-01-22,2721.32,24.24
239409,239410,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-01-23,2756.0,41.0
239410,239411,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-01-26,2972.0,54.88
239411,239412,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-01-27,2537.0,55.15
239412,239413,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-01-28,2680.13,26.72
239413,239414,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-01-31,1280.0,83.5
239414,239415,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-04-02,2762.0,57.18
239415,239416,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-06-02,2500.0,28.0
239416,239417,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-07-02,2600.0,30.18
239417,239418,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-08-02,2703.0,5.68
239418,239419,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-10-02,2350.0,28.05
239419,239420,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-02-18,2700.0,20.24
239420,239421,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-02-22,2350.0,31.4
239421,239422,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-02-25,2350.0,31.62
239422,239423,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-02-26,2700.0,28.0
239423,239424,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-02-28,2700.0,36.6
239424,239425,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-04-03,2900.0,26.6
239425,239426,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-06-03,2900.0,26.6
239426,239427,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-09-03,3200.0,24.16
239427,239428,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-03-15,3100.0,28.0
239428,239429,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-03-18,2350.0,30.6
239429,239430,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-03-19,2350.0,31.02
239430,239431,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-03-23,2350.0,30.0
239431,239432,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-03-24,2350.0,30.6
239432,239433,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-10-04,3150.0,33.84
239433,239434,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-04-13,3150.0,31.1
239434,239435,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-04-17,2350.0,30.4
239435,239436,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-04-21,3100.0,59.85
239436,239437,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-04-22,3150.0,30.0
239437,239438,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-02-05,2350.0,58.1
239438,239439,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-04-05,2350.0,29.8
239439,239440,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-07-05,3125.0,20.55
239440,239441,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-05-13,2350.0,28.0
239441,239442,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-06-13,2500.0,29.7
239442,239443,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-12-08,2950.0,27.32
239443,239444,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-09-29,3200.0,29.41
239444,239445,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-10-30,3516.0,19.43
239445,239446,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-10-31,3516.0,19.43
239446,239447,Mustard,Uttrakhand,UdhamSinghNagar,Bazpur,2013-02-11,3500.0,27.14
239447,239448,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-07-02,2655.0,2.5
239448,239449,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-11-02,2628.0,2.0
239449,239450,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-02-18,2638.0,2.2
239450,239451,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-02-21,2665.0,1.0
239451,239452,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-02-25,2668.0,1.5
239452,239453,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-02-28,2680.0,1.5
239453,239454,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-07-03,2675.0,1.6
239454,239455,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-11-03,2700.0,2.3
239455,239456,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-03-18,2690.0,2.4
239456,239457,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-03-28,2700.0,1.8
239457,239458,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-04-13,2690.0,1.2
239458,239459,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-04-14,3935.0,31.2
239459,239460,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-04-22,2675.0,2.5
239460,239461,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-04-30,2663.0,2.6
239461,239462,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-05-13,2650.0,1.1
239462,239463,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-05-17,2660.0,1.4
239463,239464,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-05-21,2665.0,0.8
239464,239465,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-05-26,2670.0,2.0
239465,239466,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-05-30,2670.0,0.7
239466,239467,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-06-18,2660.0,1.3
239467,239468,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-06-21,2658.0,2.2
239468,239469,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-06-28,2640.0,1.5
239469,239470,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-06-30,2700.0,1.1
239470,239471,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-07-15,2690.0,0.8
239471,239472,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-07-22,2700.0,1.0
239472,239473,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-07-24,2710.0,1.0
239473,239474,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-07-27,2705.0,1.2
239474,239475,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-07-28,2710.0,1.04
239475,239476,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-07-30,2705.0,0.9
239476,239477,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-08-18,2710.0,0.9
239477,239478,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-08-22,2720.0,1.0
239478,239479,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-08-25,2715.0,1.2
239479,239480,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-08-29,2720.0,1.0
239480,239481,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-09-24,2800.0,0.8
239481,239482,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-09-26,2805.0,0.7
239482,239483,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-09-30,2813.0,1.4
239483,239484,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-10-20,2830.0,1.8
239484,239485,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-10-22,2850.0,1.1
239485,239486,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-10-29,2855.0,1.5
239486,239487,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-11-16,2750.0,1.0
239487,239488,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-11-23,2870.0,0.6
239488,239489,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-11-26,2880.0,0.8
239489,239490,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-11-28,2900.0,0.6
239490,239491,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-12-16,2950.0,0.9
239491,239492,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-12-19,3000.0,2.0
239492,239493,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-12-24,2991.0,1.4
239493,239494,Mustard,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-12-31,2997.0,1.9
290643,290644,Soyabean,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-03-15,3240.0,27.5
290644,290645,Soyabean,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-03-16,3240.0,27.0
290645,290646,Soyabean,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-03-17,3240.0,55.0
290646,290647,Soyabean,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-03-18,3240.0,55.0
290647,290648,Soyabean,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-03-19,3240.0,56.0
290648,290649,Soyabean,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-03-20,3240.0,54.0
290649,290650,Soyabean,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-03-21,3240.0,16.0
290650,290651,Soyabean,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-04-09,3677.0,26.6
290651,290652,Soyabean,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-09-15,3677.0,15.5
290652,290653,Soyabean,Uttrakhand,UdhamSinghNagar,Gadarpur,2013-12-14,3810.0,22.0
290653,290654,Soyabean,Uttrakhand,UdhamSinghNagar,Kicchha,2013-01-20,3364.0,28.3
290654,290655,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-01-01,3175.0,105.6
290655,290656,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-04-01,3239.0,203.7
290656,290657,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-05-01,3238.0,201.0
290657,290658,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-02-18,3258.0,43.8
290658,290659,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-02-19,3258.0,14.1
290659,290660,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-02-21,3260.0,44.1
290660,290661,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-05-18,3765.0,183.9
290661,290662,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-05-19,3765.0,186.0
290662,290663,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-05-20,3800.0,279.6
290663,290664,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-05-22,3800.0,123.3
290664,290665,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-05-27,3800.0,69.96
290665,290666,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-05-29,3800.0,120.12
290666,290667,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-05-31,3800.0,501.0
290667,290668,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-06-17,3750.0,538.21
290668,290669,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-06-23,3800.0,543.85
290669,290670,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-06-26,3800.0,19.15
290670,290671,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-01-07,3800.0,267.12
290671,290672,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-07-07,3800.0,262.2
290672,290673,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-10-07,3815.0,209.71
290673,290674,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-11-07,3815.0,209.71
290674,290675,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-07-16,3685.0,129.0
290675,290676,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-07-17,3685.0,126.3
290676,290677,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-07-18,3685.0,127.5
290677,290678,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-07-19,3685.0,123.9
290678,290679,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-01-08,3674.0,516.25
290679,290680,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-08-18,3450.0,16.56
290680,290681,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-12-09,3500.0,502.2
290681,290682,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-09-13,3470.0,250.2
290682,290683,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-10-20,3380.0,129.0
290683,290684,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-10-22,3375.0,320.7
290684,290685,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-10-23,3375.0,320.7
290685,290686,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-10-26,3375.0,267.0
290686,290687,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-10-27,2500.0,1759.05
290687,290688,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-11-14,3320.0,109.8
290688,290689,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-11-15,3310.0,109.5
290689,290690,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-11-16,3320.0,113.7
290690,290691,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-11-18,3318.0,113.1
290691,290692,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-11-22,3700.0,165.9
290692,290693,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-02-12,3668.0,235.5
290693,290694,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-06-12,3665.0,152.01
290694,290695,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-07-12,3665.0,142.2
290695,290696,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-11-12,3665.0,219.9
290696,290697,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-12-19,3665.0,281.0
290697,290698,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-12-20,3665.0,244.0
290698,290699,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-12-26,3785.0,159.9
290699,290700,Soyabean,Uttrakhand,UdhamSinghNagar,Sitarganj,2013-12-30,3785.0,49.5
329821,329822,Groundnut,Uttrakhand,UdhamSinghNagar,Rudrapur,2014-09-01,3600.0,8.0
329822,329823,Groundnut,Uttrakhand,UdhamSinghNagar,Rudrapur,2014-01-25,3750.0,7.5
329823,329824,Groundnut,Uttrakhand,UdhamSinghNagar,Rudrapur,2014-01-29,4046.0,25.0
329824,329825,Groundnut,Uttrakhand,UdhamSinghNagar,Rudrapur,2014-03-02,3900.0,8.0
