,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
89146,89147,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-09-01,3500.0,5.0
89147,89148,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-10-01,3500.0,4.0
89148,89149,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-12-01,3475.0,6.0
89149,89150,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-01-13,3465.0,5.0
89150,89151,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-01-14,3460.0,4.0
89151,89152,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-01-15,3460.0,7.0
89152,89153,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-01-17,3475.0,4.0
89153,89154,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-01-18,3460.0,5.0
89154,89155,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-01-19,3450.0,5.0
89155,89156,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-01-20,3450.0,3.0
89156,89157,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-09-02,3550.0,20.0
89157,89158,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-10-02,3550.0,10.0
89158,89159,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-12-02,3500.0,15.0
89159,89160,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-13,3525.0,10.0
89160,89161,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-15,3500.0,5.0
89161,89162,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-20,3400.0,15.0
89162,89163,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-21,3450.0,10.0
89163,89164,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-22,3475.0,10.0
89164,89165,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-23,3500.0,30.0
89165,89166,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-24,3500.0,15.0
89166,89167,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-25,3500.0,10.0
89167,89168,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-26,3500.0,20.0
89168,89169,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-27,3500.0,15.0
89169,89170,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-29,3500.0,10.0
89170,89171,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-01-03,3450.0,20.0
89171,89172,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-03,3400.0,25.0
89172,89173,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-03,3350.0,20.0
89173,89174,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-04-03,3300.0,30.0
89174,89175,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-05-03,3300.0,15.0
89175,89176,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-06-03,3300.0,10.0
89176,89177,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-07-03,3300.0,15.0
89177,89178,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-08-03,3300.0,20.0
89178,89179,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-09-03,3300.0,20.0
89179,89180,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-10-03,3400.0,15.0
89180,89181,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-11-03,3400.0,20.0
89181,89182,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-12-03,3400.0,10.0
89182,89183,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-13,3500.0,5.0
89183,89184,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-14,3500.0,5.0
89184,89185,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-15,3500.0,25.0
89185,89186,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-16,3600.0,20.0
89186,89187,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-17,3600.0,15.0
89187,89188,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-18,3700.0,20.0
89188,89189,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-19,3700.0,20.0
89189,89190,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-20,3700.0,10.0
89190,89191,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-21,3800.0,10.0
89191,89192,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-22,3800.0,20.0
89192,89193,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-23,3800.0,10.0
89193,89194,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-24,3900.0,5.0
89194,89195,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-25,4000.0,25.0
89195,89196,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-26,4000.0,20.0
89196,89197,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-27,3950.0,10.0
89197,89198,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-28,3900.0,10.0
89198,89199,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-29,3850.0,25.0
89199,89200,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-30,3850.0,15.0
89200,89201,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-31,3850.0,10.0
89201,89202,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-01-04,3850.0,15.0
89202,89203,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-02-04,3850.0,10.0
89203,89204,Mustard,West Bengal,Dakshin Dinajpur,Balurghat,2012-03-04,3825.0,8.0
