,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
7008,7009,Groundnut,Chattisgarh,Durg,Bemetara,2012-10-20,3000.0,1.0
7009,7010,Groundnut,Chattisgarh,Durg,Bemetara,2012-10-11,4000.0,1.0
91202,91203,Safflower,Chattisgarh,Durg,Bemetara,2012-11-04,2800.0,32.22
91203,91204,Safflower,Chattisgarh,Durg,Bemetara,2012-04-15,2800.0,15.93
91204,91205,Safflower,Chattisgarh,Durg,Bemetara,2012-04-18,2800.0,16.34
91205,91206,Safflower,Chattisgarh,Durg,Bemetara,2012-04-20,2800.0,20.93
91206,91207,Safflower,Chattisgarh,Durg,Bemetara,2012-04-22,2850.0,15.97
91207,91208,Safflower,Chattisgarh,Durg,Bemetara,2012-04-24,2850.0,31.95
91208,91209,Safflower,Chattisgarh,Durg,Bemetara,2012-04-28,2850.0,56.64
91209,91210,Safflower,Chattisgarh,Durg,Bemetara,2012-04-30,2850.0,20.25
91210,91211,Safflower,Chattisgarh,Durg,Bemetara,2012-07-05,3000.0,15.97
91211,91212,Safflower,Chattisgarh,Durg,Bemetara,2012-12-05,3000.0,15.35
91212,91213,Safflower,Chattisgarh,Durg,Bemetara,2012-05-19,2965.0,31.95
91213,91214,Safflower,Chattisgarh,Durg,Bemetara,2012-05-20,3055.0,19.57
91214,91215,Safflower,Chattisgarh,Durg,Bemetara,2012-05-23,3000.0,3.0
91215,91216,Safflower,Chattisgarh,Durg,Bemetara,2012-05-24,3000.0,7.0
91216,91217,Safflower,Chattisgarh,Durg,Bemetara,2012-05-26,3000.0,23.5
91217,91218,Safflower,Chattisgarh,Durg,Bemetara,2012-05-29,3000.0,4.0
91218,91219,Safflower,Chattisgarh,Durg,Bemetara,2012-05-31,3050.0,12.6
91219,91220,Safflower,Chattisgarh,Durg,Bemetara,2012-06-23,3050.0,3.6
93222,93223,Soyabean,Chattisgarh,Durg,Bemetara,2012-05-01,2200.0,13.0
