,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
7136,7137,Groundnut,Chattisgarh,Korba,Katghora,2012-03-16,1990.0,0.9
7137,7138,Groundnut,Chattisgarh,Korba,Katghora,2012-10-25,1995.0,1.1
7138,7139,Groundnut,Chattisgarh,Korba,Katghora,2012-07-11,1990.0,0.6
30016,30017,Mustard,Chattisgarh,Korba,Katghora,2012-01-30,2495.0,0.4
30017,30018,Mustard,Chattisgarh,Korba,Katghora,2012-02-21,2495.0,1.0
30018,30019,Mustard,Chattisgarh,Korba,Katghora,2012-02-29,2495.0,0.5
30019,30020,Mustard,Chattisgarh,Korba,Katghora,2012-05-03,2495.0,0.7
30020,30021,Mustard,Chattisgarh,Korba,Katghora,2012-03-23,2495.0,0.5
30021,30022,Mustard,Chattisgarh,Korba,Katghora,2012-03-31,2495.0,1.0
151054,151055,Groundnut,Chattisgarh,Korba,Katghora,2013-10-15,4000.0,0.4
151055,151056,Groundnut,Chattisgarh,Korba,Katghora,2013-10-21,4000.0,0.4
151056,151057,Groundnut,Chattisgarh,Korba,Katghora,2013-11-17,4000.0,0.4
303473,303474,Groundnut,Chattisgarh,Korba,Katghora,2014-09-30,3000.0,1.0
303474,303475,Groundnut,Chattisgarh,Korba,Katghora,2014-04-10,4000.0,0.5
303475,303476,Groundnut,Chattisgarh,Korba,Katghora,2014-10-19,4000.0,0.8
303476,303477,Groundnut,Chattisgarh,Korba,Katghora,2014-10-21,4000.0,0.4
303477,303478,Groundnut,Chattisgarh,Korba,Katghora,2014-02-11,4000.0,0.3
303478,303479,Groundnut,Chattisgarh,Korba,Katghora,2014-11-17,4000.0,0.4
330505,330506,Mustard,Chattisgarh,Korba,Katghora,2014-04-03,2150.0,0.17
330506,330507,Mustard,Chattisgarh,Korba,Katghora,2014-06-18,3000.0,0.5
330507,330508,Mustard,Chattisgarh,Korba,Katghora,2014-12-13,4000.0,0.3
652391,652392,Mustard,Chattisgarh,Korba,Katghora,2016-09-24,3000.0,0.52
