,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
7147,7148,Groundnut,Chattisgarh,Mahasamund,Basana,2012-01-01,2500.0,1.4
7148,7149,Groundnut,Chattisgarh,Mahasamund,Basana,2012-04-01,2500.0,1.0
7149,7150,Groundnut,Chattisgarh,Mahasamund,Basana,2012-06-01,2500.0,0.4
7150,7151,Groundnut,Chattisgarh,Mahasamund,Basana,2012-10-01,2500.0,0.4
7151,7152,Groundnut,Chattisgarh,Mahasamund,Basana,2012-01-20,2500.0,1.1
7152,7153,Groundnut,Chattisgarh,Mahasamund,Basana,2012-01-29,2250.0,9.0
7153,7154,Groundnut,Chattisgarh,Mahasamund,Basana,2012-01-30,3000.0,3.0
7154,7155,Groundnut,Chattisgarh,Mahasamund,Basana,2012-02-24,3000.0,0.9
7155,7156,Groundnut,Chattisgarh,Mahasamund,Basana,2012-02-27,2000.0,2.4
7156,7157,Groundnut,Chattisgarh,Mahasamund,Basana,2012-11-03,2001.0,12.2
7157,7158,Groundnut,Chattisgarh,Mahasamund,Basana,2012-12-03,3050.0,6.0
7158,7159,Groundnut,Chattisgarh,Mahasamund,Basana,2012-03-15,2600.0,5.2
7159,7160,Groundnut,Chattisgarh,Mahasamund,Basana,2012-03-29,2600.0,3.5
7160,7161,Groundnut,Chattisgarh,Mahasamund,Basana,2012-03-30,2100.0,3.8
7161,7162,Groundnut,Chattisgarh,Mahasamund,Basana,2012-03-04,2500.0,1.0
7162,7163,Groundnut,Chattisgarh,Mahasamund,Basana,2012-04-27,2500.0,1.0
7163,7164,Groundnut,Chattisgarh,Mahasamund,Basana,2012-04-30,2050.0,8.4
7164,7165,Groundnut,Chattisgarh,Mahasamund,Basana,2012-11-05,2600.0,0.5
7165,7166,Groundnut,Chattisgarh,Mahasamund,Basana,2012-05-23,2300.0,11.6
7166,7167,Groundnut,Chattisgarh,Mahasamund,Basana,2012-05-25,2500.0,1.0
7167,7168,Groundnut,Chattisgarh,Mahasamund,Basana,2012-05-31,2000.0,10.1
7168,7169,Groundnut,Chattisgarh,Mahasamund,Basana,2012-04-06,2350.0,2.0
7169,7170,Groundnut,Chattisgarh,Mahasamund,Basana,2012-10-06,2300.0,2.0
7170,7171,Groundnut,Chattisgarh,Mahasamund,Basana,2012-11-06,2300.0,4.4
7171,7172,Groundnut,Chattisgarh,Mahasamund,Basana,2012-06-15,2500.0,3.0
7172,7173,Groundnut,Chattisgarh,Mahasamund,Basana,2012-06-27,2250.0,4.7
7173,7174,Groundnut,Chattisgarh,Mahasamund,Basana,2012-06-29,2150.0,24.1
7174,7175,Groundnut,Chattisgarh,Mahasamund,Basana,2012-06-07,2300.0,2.1
7175,7176,Groundnut,Chattisgarh,Mahasamund,Basana,2012-07-25,2550.0,1.5
7176,7177,Groundnut,Chattisgarh,Mahasamund,Basana,2012-07-27,2750.0,1.8
7177,7178,Groundnut,Chattisgarh,Mahasamund,Basana,2012-07-31,2100.0,13.3
7178,7179,Groundnut,Chattisgarh,Mahasamund,Basana,2012-10-29,2800.0,5.2
7179,7180,Groundnut,Chattisgarh,Mahasamund,Basana,2012-10-31,2800.0,5.1
7180,7181,Groundnut,Chattisgarh,Mahasamund,Basana,2012-01-11,2500.0,1.2
7181,7182,Groundnut,Chattisgarh,Mahasamund,Basana,2012-04-11,2500.0,0.8
7182,7183,Groundnut,Chattisgarh,Mahasamund,Basana,2012-11-21,2600.0,8.2
7183,7184,Groundnut,Chattisgarh,Mahasamund,Basana,2012-11-22,3500.0,2.0
7184,7185,Groundnut,Chattisgarh,Mahasamund,Basana,2012-11-26,3000.0,2.5
7185,7186,Groundnut,Chattisgarh,Mahasamund,Basana,2012-11-30,2800.0,4.3
7186,7187,Groundnut,Chattisgarh,Mahasamund,Basana,2012-12-16,3500.0,4.0
7187,7188,Groundnut,Chattisgarh,Mahasamund,Basana,2012-12-31,2800.0,4.8
7188,7189,Groundnut,Chattisgarh,Mahasamund,Pithoura,2012-11-21,2200.0,1.8
151063,151064,Groundnut,Chattisgarh,Mahasamund,Bagbahra,2013-07-31,4000.0,2.5
151064,151065,Groundnut,Chattisgarh,Mahasamund,Bagbahra,2013-09-30,4000.0,5.2
151065,151066,Groundnut,Chattisgarh,Mahasamund,Basana,2013-02-21,2800.0,3.2
151066,151067,Groundnut,Chattisgarh,Mahasamund,Basana,2013-02-26,2800.0,2.0
151067,151068,Groundnut,Chattisgarh,Mahasamund,Basana,2013-02-28,2800.0,2.0
151068,151069,Groundnut,Chattisgarh,Mahasamund,Basana,2013-01-03,2800.0,1.0
151069,151070,Groundnut,Chattisgarh,Mahasamund,Basana,2013-08-03,2500.0,1.2
151070,151071,Groundnut,Chattisgarh,Mahasamund,Basana,2013-03-14,2500.0,5.0
151071,151072,Groundnut,Chattisgarh,Mahasamund,Basana,2013-03-15,2500.0,3.0
151072,151073,Groundnut,Chattisgarh,Mahasamund,Basana,2013-03-20,2500.0,4.0
151073,151074,Groundnut,Chattisgarh,Mahasamund,Basana,2013-09-04,2500.0,5.0
151074,151075,Groundnut,Chattisgarh,Mahasamund,Basana,2013-05-31,3000.0,9.5
151075,151076,Groundnut,Chattisgarh,Mahasamund,Basana,2013-03-06,3000.0,2.0
151076,151077,Groundnut,Chattisgarh,Mahasamund,Basana,2013-04-06,2500.0,1.6
151077,151078,Groundnut,Chattisgarh,Mahasamund,Basana,2013-06-06,2500.0,1.6
151078,151079,Groundnut,Chattisgarh,Mahasamund,Basana,2013-07-06,2600.0,1.6
151079,151080,Groundnut,Chattisgarh,Mahasamund,Basana,2013-09-06,2600.0,3.2
151080,151081,Groundnut,Chattisgarh,Mahasamund,Basana,2013-06-13,2500.0,1.3
