,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
7189,7190,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-01-31,1700.0,1.0
7190,7191,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-02-29,1780.0,5.0
7191,7192,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-03-31,1700.0,51.5
7192,7193,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-04-30,2000.0,1.0
7193,7194,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-08-06,1700.0,1.2
7194,7195,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-06-30,1800.0,1.0
7195,7196,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-10-07,1800.0,3.2
7196,7197,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-08-31,2300.0,4.6
7197,7198,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-09-30,1800.0,1.0
7198,7199,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-10-29,2500.0,1.0
7199,7200,Groundnut,Chattisgarh,Surguja,Ambikapur,2012-11-30,2000.0,3.0
7200,7201,Groundnut,Chattisgarh,Surguja,Kusmee,2012-02-28,2000.0,4.4
7201,7202,Groundnut,Chattisgarh,Surguja,Pratappur,2012-01-13,2000.0,0.48
7202,7203,Groundnut,Chattisgarh,Surguja,Pratappur,2012-01-28,2000.0,0.55
7203,7204,Groundnut,Chattisgarh,Surguja,Pratappur,2012-01-31,2000.0,0.12
7204,7205,Groundnut,Chattisgarh,Surguja,Pratappur,2012-08-02,2000.0,0.72
7205,7206,Groundnut,Chattisgarh,Surguja,Pratappur,2012-02-15,2000.0,0.72
7206,7207,Groundnut,Chattisgarh,Surguja,Pratappur,2012-02-21,2000.0,0.36
7207,7208,Groundnut,Chattisgarh,Surguja,Pratappur,2012-02-29,2000.0,0.72
7208,7209,Groundnut,Chattisgarh,Surguja,Pratappur,2012-03-03,2000.0,0.6
7209,7210,Groundnut,Chattisgarh,Surguja,Pratappur,2012-12-03,2000.0,13.9
7210,7211,Groundnut,Chattisgarh,Surguja,Pratappur,2012-03-21,2000.0,9.6
7211,7212,Groundnut,Chattisgarh,Surguja,Pratappur,2012-03-29,2000.0,8.4
7212,7213,Groundnut,Chattisgarh,Surguja,Pratappur,2012-10-04,2000.0,4.8
7213,7214,Groundnut,Chattisgarh,Surguja,Pratappur,2012-04-18,2000.0,6.0
7214,7215,Groundnut,Chattisgarh,Surguja,Pratappur,2012-04-23,2000.0,4.8
7215,7216,Groundnut,Chattisgarh,Surguja,Pratappur,2012-04-30,2000.0,6.0
7216,7217,Groundnut,Chattisgarh,Surguja,Pratappur,2012-11-05,2000.0,2.4
7217,7218,Groundnut,Chattisgarh,Surguja,Pratappur,2012-05-15,2000.0,3.6
7218,7219,Groundnut,Chattisgarh,Surguja,Pratappur,2012-05-31,2000.0,3.6
7219,7220,Groundnut,Chattisgarh,Surguja,Pratappur,2012-06-13,2000.0,1.2
7220,7221,Groundnut,Chattisgarh,Surguja,Pratappur,2012-06-22,2000.0,1.2
7221,7222,Groundnut,Chattisgarh,Surguja,Pratappur,2012-07-31,2000.0,1.0
7222,7223,Groundnut,Chattisgarh,Surguja,Pratappur,2012-08-31,2000.0,16.2
7223,7224,Groundnut,Chattisgarh,Surguja,Pratappur,2012-09-17,2000.0,3.6
7224,7225,Groundnut,Chattisgarh,Surguja,Pratappur,2012-10-22,2000.0,4.8
7225,7226,Groundnut,Chattisgarh,Surguja,Pratappur,2012-10-31,2000.0,3.0
7226,7227,Groundnut,Chattisgarh,Surguja,Pratappur,2012-11-19,2000.0,5.4
7227,7228,Groundnut,Chattisgarh,Surguja,Pratappur,2012-11-29,2500.0,12.8
7228,7229,Groundnut,Chattisgarh,Surguja,Pratappur,2012-12-17,2500.0,28.8
7229,7230,Groundnut,Chattisgarh,Surguja,Pratappur,2012-12-31,2500.0,17.5
7230,7231,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-01-23,2000.0,1.2
7231,7232,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-01-24,2000.0,1.2
7232,7233,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-01-31,2500.0,2.4
7233,7234,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-02-27,2000.0,1.2
7234,7235,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-02-29,2500.0,3.6
7235,7236,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-03-21,2000.0,1.0
7236,7237,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-03-28,2000.0,1.0
7237,7238,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-03-31,2500.0,2.4
7238,7239,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-04-30,2000.0,1.0
7239,7240,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-07-05,2000.0,1.0
7240,7241,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-06-13,2000.0,1.0
7241,7242,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-11-30,2500.0,5.9
7242,7243,Groundnut,Chattisgarh,Surguja,Ramanujganj,2012-12-31,2500.0,5.1
7243,7244,Groundnut,Chattisgarh,Surguja,Sitapur,2012-01-17,2000.0,20.0
7244,7245,Groundnut,Chattisgarh,Surguja,Sitapur,2012-01-31,2000.0,70.0
7245,7246,Groundnut,Chattisgarh,Surguja,Sitapur,2012-02-14,2000.0,20.0
7246,7247,Groundnut,Chattisgarh,Surguja,Sitapur,2012-02-21,2000.0,10.0
7247,7248,Groundnut,Chattisgarh,Surguja,Sitapur,2012-02-29,2000.0,20.0
7248,7249,Groundnut,Chattisgarh,Surguja,Sitapur,2012-03-17,2000.0,50.0
7249,7250,Groundnut,Chattisgarh,Surguja,Sitapur,2012-03-24,2000.0,50.0
7250,7251,Groundnut,Chattisgarh,Surguja,Sitapur,2012-03-29,2000.0,8.4
7251,7252,Groundnut,Chattisgarh,Surguja,Sitapur,2012-03-31,2000.0,255.0
7252,7253,Groundnut,Chattisgarh,Surguja,Sitapur,2012-05-22,2000.0,10.0
7253,7254,Groundnut,Chattisgarh,Surguja,Sitapur,2012-05-31,2000.0,15.0
7254,7255,Groundnut,Chattisgarh,Surguja,Sitapur,2012-07-06,2000.0,1.5
7255,7256,Groundnut,Chattisgarh,Surguja,Sitapur,2012-06-28,2000.0,2.0
7256,7257,Groundnut,Chattisgarh,Surguja,Sitapur,2012-07-19,2000.0,3.5
7257,7258,Groundnut,Chattisgarh,Surguja,Sitapur,2012-07-23,2000.0,0.5
7258,7259,Groundnut,Chattisgarh,Surguja,Sitapur,2012-07-25,2000.0,0.5
7259,7260,Groundnut,Chattisgarh,Surguja,Sitapur,2012-07-27,2000.0,1.0
7260,7261,Groundnut,Chattisgarh,Surguja,Sitapur,2012-07-31,2000.0,0.5
7261,7262,Groundnut,Chattisgarh,Surguja,Sitapur,2012-10-17,2000.0,1.0
7262,7263,Groundnut,Chattisgarh,Surguja,Sitapur,2012-10-19,2000.0,2.3
7263,7264,Groundnut,Chattisgarh,Surguja,Sitapur,2012-08-11,2500.0,0.8
7264,7265,Groundnut,Chattisgarh,Surguja,Sitapur,2012-10-11,2500.0,6.5
7265,7266,Groundnut,Chattisgarh,Surguja,Sitapur,2012-11-17,2500.0,7.2
7266,7267,Groundnut,Chattisgarh,Surguja,Sitapur,2012-11-20,2500.0,0.6
7267,7268,Groundnut,Chattisgarh,Surguja,Sitapur,2012-11-21,2500.0,3.0
7268,7269,Groundnut,Chattisgarh,Surguja,Sitapur,2012-11-23,2500.0,0.1
7269,7270,Groundnut,Chattisgarh,Surguja,Sitapur,2012-11-26,2500.0,5.9
7270,7271,Groundnut,Chattisgarh,Surguja,Sitapur,2012-11-29,2500.0,1.0
7271,7272,Groundnut,Chattisgarh,Surguja,Sitapur,2012-11-30,2500.0,6.0
7272,7273,Groundnut,Chattisgarh,Surguja,Sitapur,2012-04-12,2500.0,3.3
7273,7274,Groundnut,Chattisgarh,Surguja,Sitapur,2012-06-12,2500.0,3.0
7274,7275,Groundnut,Chattisgarh,Surguja,Sitapur,2012-08-12,2500.0,3.5
7275,7276,Groundnut,Chattisgarh,Surguja,Sitapur,2012-12-14,2500.0,3.0
7276,7277,Groundnut,Chattisgarh,Surguja,Sitapur,2012-12-31,2500.0,1.5
7277,7278,Groundnut,Chattisgarh,Surguja,Surajpur,2012-01-16,2000.0,1.0
7278,7279,Groundnut,Chattisgarh,Surguja,Surajpur,2012-01-17,2000.0,0.5
7279,7280,Groundnut,Chattisgarh,Surguja,Surajpur,2012-01-25,2000.0,0.5
7280,7281,Groundnut,Chattisgarh,Surguja,Surajpur,2012-01-30,2000.0,0.5
