,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
14324,14325,Groundnut,Karnataka,Bellary,Bellary,2012-02-01,4059.0,12.0
14325,14326,Groundnut,Karnataka,Bellary,Bellary,2012-06-01,3914.0,16.0
14326,14327,Groundnut,Karnataka,Bellary,Bellary,2012-09-01,4050.0,7.0
14327,14328,Groundnut,Karnataka,Bellary,Bellary,2012-11-01,3979.0,4.0
14328,14329,Groundnut,Karnataka,Bellary,Bellary,2012-01-13,3739.0,2.0
14329,14330,Groundnut,Karnataka,Bellary,Bellary,2012-01-16,4086.0,1.0
14330,14331,Groundnut,Karnataka,Bellary,Bellary,2012-01-18,3766.0,2.0
14331,14332,Groundnut,Karnataka,Bellary,Bellary,2012-01-20,3926.0,2.0
14332,14333,Groundnut,Karnataka,Bellary,Bellary,2012-01-23,3869.0,1.0
14333,14334,Groundnut,Karnataka,Bellary,Bellary,2012-01-25,3730.0,1.0
14334,14335,Groundnut,Karnataka,Bellary,Bellary,2012-01-27,3910.0,1.0
14335,14336,Groundnut,Karnataka,Bellary,Bellary,2012-01-30,3859.0,3.0
14336,14337,Groundnut,Karnataka,Bellary,Bellary,2012-01-02,3548.0,0.0
14337,14338,Groundnut,Karnataka,Bellary,Bellary,2012-06-02,4029.0,0.0
14338,14339,Groundnut,Karnataka,Bellary,Bellary,2012-08-02,3736.0,0.0
14339,14340,Groundnut,Karnataka,Bellary,Bellary,2012-10-02,4469.0,0.0
14340,14341,Groundnut,Karnataka,Bellary,Bellary,2012-02-13,3756.0,0.0
14341,14342,Groundnut,Karnataka,Bellary,Bellary,2012-02-17,3556.0,0.0
14342,14343,Groundnut,Karnataka,Bellary,Bellary,2012-02-22,4651.0,0.0
14343,14344,Groundnut,Karnataka,Bellary,Bellary,2012-02-24,4556.0,0.0
14344,14345,Groundnut,Karnataka,Bellary,Bellary,2012-02-27,4526.0,0.0
14345,14346,Groundnut,Karnataka,Bellary,Bellary,2012-02-29,4731.0,0.0
14346,14347,Groundnut,Karnataka,Bellary,Bellary,2012-02-03,4851.0,3.0
14347,14348,Groundnut,Karnataka,Bellary,Bellary,2012-05-03,4966.0,1.0
14348,14349,Groundnut,Karnataka,Bellary,Bellary,2012-07-03,4811.0,2.0
14349,14350,Groundnut,Karnataka,Bellary,Bellary,2012-09-03,4706.0,2.0
14350,14351,Groundnut,Karnataka,Bellary,Bellary,2012-12-03,4922.0,2.0
14351,14352,Groundnut,Karnataka,Bellary,Bellary,2012-03-14,4511.0,3.0
14352,14353,Groundnut,Karnataka,Bellary,Bellary,2012-03-16,4559.0,3.0
14353,14354,Groundnut,Karnataka,Bellary,Bellary,2012-03-19,2787.0,2.0
14354,14355,Groundnut,Karnataka,Bellary,Bellary,2012-03-21,4771.0,4.0
14355,14356,Groundnut,Karnataka,Bellary,Bellary,2012-03-26,4881.0,4.0
14356,14357,Groundnut,Karnataka,Bellary,Bellary,2012-03-28,4751.0,3.0
14357,14358,Groundnut,Karnataka,Bellary,Bellary,2012-03-30,4739.0,2.0
14358,14359,Groundnut,Karnataka,Bellary,Bellary,2012-02-04,4726.0,7.0
14359,14360,Groundnut,Karnataka,Bellary,Bellary,2012-09-04,4711.0,15.0
14360,14361,Groundnut,Karnataka,Bellary,Bellary,2012-11-04,4426.0,3.0
14361,14362,Groundnut,Karnataka,Bellary,Bellary,2012-04-13,4411.0,3.0
14362,14363,Groundnut,Karnataka,Bellary,Bellary,2012-04-16,4690.0,6.0
14363,14364,Groundnut,Karnataka,Bellary,Bellary,2012-04-18,4620.0,2.0
14364,14365,Groundnut,Karnataka,Bellary,Bellary,2012-04-20,4556.0,3.0
14365,14366,Groundnut,Karnataka,Bellary,Bellary,2012-04-23,4520.0,8.0
