,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
14681,14682,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-11-01,3600.0,0.0
14682,14683,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-12-01,3351.0,0.0
14683,14684,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-12-03,3750.0,0.0
14684,14685,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-03-15,3000.0,0.0
14685,14686,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-09-04,4251.0,0.0
14686,14687,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-03-05,3651.0,0.0
14687,14688,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-10-05,4101.0,0.0
14688,14689,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-12-05,4101.0,0.0
14689,14690,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-14,4100.0,0.0
14690,14691,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-15,4150.0,0.0
14691,14692,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-17,3100.0,0.0
14692,14693,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-18,4250.0,0.0
14693,14694,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-19,4301.0,0.0
14694,14695,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-21,4000.0,0.0
14695,14696,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-22,4200.0,0.0
14696,14697,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-24,4250.0,0.0
14697,14698,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-25,3600.0,0.0
14698,14699,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-26,4200.0,0.0
14699,14700,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-28,4100.0,0.0
14700,14701,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-05-29,4100.0,0.0
14701,14702,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-01-06,4050.0,0.0
14702,14703,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-06-06,3700.0,0.0
14703,14704,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-07-06,3600.0,0.0
14704,14705,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-08-06,3770.0,0.0
14705,14706,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-09-06,3810.0,0.0
14706,14707,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-11-06,3500.0,0.0
14707,14708,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-12-06,4000.0,0.0
14708,14709,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-06-14,3900.0,0.0
14709,14710,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-06-18,4050.0,0.0
14710,14711,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-06-20,3860.0,0.0
14711,14712,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-06-21,4000.0,0.0
14712,14713,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-06-22,4050.0,0.0
14713,14714,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-06-27,4151.0,0.0
14714,14715,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-06-29,4305.0,0.0
14715,14716,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-02-07,4100.0,0.0
14716,14717,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-07-07,4300.0,0.0
14717,14718,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-09-07,4200.0,0.0
14718,14719,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-07-16,3700.0,0.0
14719,14720,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-07-20,4900.0,0.0
14720,14721,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-07-21,3700.0,0.0
14721,14722,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-07-26,4701.0,0.0
14722,14723,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-07-27,3500.0,0.0
14723,14724,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-03-08,4300.0,0.0
14724,14725,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-10-08,4200.0,0.0
14725,14726,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-11-08,4850.0,0.0
14726,14727,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-08-28,4251.0,0.0
14727,14728,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-08-29,2800.0,0.0
14728,14729,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-01-09,4200.0,0.0
14729,14730,Groundnut,Karnataka,Bidar,Basava Kalayana,2012-03-09,4300.0,0.0
