,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
14984,14985,Groundnut,Karnataka,Chamrajnagar,Chamaraj Nagar,2012-12-17,1800.0,4.0
14985,14986,Groundnut,Karnataka,Chamrajnagar,Gundlupet,2012-05-10,2125.0,4.0
14986,14987,Groundnut,Karnataka,Chamrajnagar,Gundlupet,2012-11-16,1800.0,4.0
14987,14988,Groundnut,Karnataka,Chamrajnagar,Gundlupet,2012-11-23,2000.0,19.0
140380,140381,Sunflower,Karnataka,Chamrajnagar,Chamaraj Nagar,2012-05-10,3600.0,6.0
140381,140382,Sunflower,Karnataka,Chamrajnagar,Chamaraj Nagar,2012-10-17,3500.0,5.0
140382,140383,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-09-08,3800.0,10.0
140383,140384,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-10-08,3600.0,22.0
140384,140385,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-11-08,3800.0,23.0
140385,140386,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-12-08,3600.0,20.0
140386,140387,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-08-16,3600.0,70.0
140387,140388,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-08-17,3200.0,70.0
140388,140389,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-08-19,3500.0,63.0
140389,140390,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-08-20,3700.0,53.0
140390,140391,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-08-21,4000.0,13.0
140391,140392,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-08-22,3600.0,29.0
140392,140393,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-08-23,3700.0,67.0
140393,140394,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-08-24,4000.0,101.0
140394,140395,Sunflower,Karnataka,Chamrajnagar,Gundlupet,2012-08-25,3700.0,91.0
