,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
16931,16932,Groundnut,Karnataka,Haveri,Hanagal,2012-11-24,3200.0,2.0
16932,16933,Groundnut,Karnataka,Haveri,Haveri,2012-06-20,3129.0,167.0
16933,16934,Groundnut,Karnataka,Haveri,Haveri,2012-10-17,5689.0,5.0
16934,16935,Groundnut,Karnataka,Haveri,Haveri,2012-10-20,5509.0,3.0
16935,16936,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-15,3019.0,2.0
16936,16937,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-16,2089.0,1.0
16937,16938,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-19,2819.0,8.0
16938,16939,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-20,3669.0,3.0
16939,16940,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-21,3674.0,0.0
16940,16941,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-22,2419.0,3.0
16941,16942,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-23,2200.0,48.0
16942,16943,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-26,3289.0,0.0
16943,16944,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-27,2285.0,1.0
16944,16945,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-28,3164.0,1.0
16945,16946,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-29,2859.0,2.0
16946,16947,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-30,2900.0,12.0
16947,16948,Groundnut,Karnataka,Haveri,Ranebennur,2012-02-04,2889.0,23.0
16948,16949,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-04,2899.0,7.0
16949,16950,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-04,2943.0,23.0
16950,16951,Groundnut,Karnataka,Haveri,Ranebennur,2012-09-04,3134.0,30.0
16951,16952,Groundnut,Karnataka,Haveri,Ranebennur,2012-10-04,2479.0,6.0
16952,16953,Groundnut,Karnataka,Haveri,Ranebennur,2012-11-04,3059.0,7.0
16953,16954,Groundnut,Karnataka,Haveri,Ranebennur,2012-12-04,3140.0,12.0
16954,16955,Groundnut,Karnataka,Haveri,Ranebennur,2012-04-13,2749.0,10.0
16955,16956,Groundnut,Karnataka,Haveri,Ranebennur,2012-04-17,2623.0,2.0
16956,16957,Groundnut,Karnataka,Haveri,Ranebennur,2012-04-18,3119.0,19.0
16957,16958,Groundnut,Karnataka,Haveri,Ranebennur,2012-04-19,3050.0,7.0
16958,16959,Groundnut,Karnataka,Haveri,Ranebennur,2012-04-20,2369.0,7.0
16959,16960,Groundnut,Karnataka,Haveri,Ranebennur,2012-04-23,2939.0,34.0
16960,16961,Groundnut,Karnataka,Haveri,Ranebennur,2012-04-26,2579.0,21.0
16961,16962,Groundnut,Karnataka,Haveri,Ranebennur,2012-04-27,2329.0,7.0
16962,16963,Groundnut,Karnataka,Haveri,Ranebennur,2012-04-30,2965.0,27.0
16963,16964,Groundnut,Karnataka,Haveri,Ranebennur,2012-02-05,2844.0,3.0
16964,16965,Groundnut,Karnataka,Haveri,Ranebennur,2012-03-05,2770.0,36.0
16965,16966,Groundnut,Karnataka,Haveri,Ranebennur,2012-04-05,2819.0,20.0
16966,16967,Groundnut,Karnataka,Haveri,Ranebennur,2012-07-05,3709.0,84.0
16967,16968,Groundnut,Karnataka,Haveri,Ranebennur,2012-08-05,2744.0,2.0
16968,16969,Groundnut,Karnataka,Haveri,Ranebennur,2012-09-05,2843.0,7.0
16969,16970,Groundnut,Karnataka,Haveri,Ranebennur,2012-10-05,2887.0,73.0
16970,16971,Groundnut,Karnataka,Haveri,Ranebennur,2012-11-05,2944.0,9.0
16971,16972,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-14,3950.0,58.0
16972,16973,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-15,2934.0,2.0
16973,16974,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-16,3219.0,7.0
16974,16975,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-17,2959.0,36.0
16975,16976,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-18,2659.0,10.0
16976,16977,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-21,2719.0,56.0
16977,16978,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-22,2486.0,0.0
16978,16979,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-23,2354.0,7.0
16979,16980,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-24,3114.0,23.0
16980,16981,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-25,2574.0,5.0
16981,16982,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-30,2350.0,1.0
16982,16983,Groundnut,Karnataka,Haveri,Ranebennur,2012-05-31,2919.0,1.0
16983,16984,Groundnut,Karnataka,Haveri,Ranebennur,2012-01-06,2809.0,4.0
16984,16985,Groundnut,Karnataka,Haveri,Ranebennur,2012-06-06,2800.0,0.0
16985,16986,Groundnut,Karnataka,Haveri,Ranebennur,2012-07-06,2864.0,3.0
16986,16987,Groundnut,Karnataka,Haveri,Ranebennur,2012-06-14,3106.0,1.0
16987,16988,Groundnut,Karnataka,Haveri,Ranebennur,2012-06-15,2956.0,0.0
16988,16989,Groundnut,Karnataka,Haveri,Ranebennur,2012-06-18,3650.0,0.0
16989,16990,Groundnut,Karnataka,Haveri,Ranebennur,2012-06-21,3390.0,0.0
16990,16991,Groundnut,Karnataka,Haveri,Ranebennur,2012-06-28,3129.0,0.0
16991,16992,Groundnut,Karnataka,Haveri,Ranebennur,2012-02-07,3169.0,0.0
