,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
17685,17686,Groundnut,Karnataka,Raichur,Lingasugur,2012-02-28,4500.0,0.0
17686,17687,Groundnut,Karnataka,Raichur,Lingasugur,2012-02-29,3900.0,1.0
17687,17688,Groundnut,Karnataka,Raichur,Lingasugur,2012-01-03,4724.0,8.0
17688,17689,Groundnut,Karnataka,Raichur,Lingasugur,2012-02-03,4526.0,8.0
17689,17690,Groundnut,Karnataka,Raichur,Lingasugur,2012-03-03,4526.0,8.0
17690,17691,Groundnut,Karnataka,Raichur,Lingasugur,2012-06-03,4648.0,22.0
17691,17692,Groundnut,Karnataka,Raichur,Lingasugur,2012-07-03,4500.0,9.0
17692,17693,Groundnut,Karnataka,Raichur,Lingasugur,2012-08-03,4500.0,18.0
17693,17694,Groundnut,Karnataka,Raichur,Lingasugur,2012-03-15,4500.0,45.0
17694,17695,Groundnut,Karnataka,Raichur,Lingasugur,2012-03-16,4545.0,74.0
17695,17696,Groundnut,Karnataka,Raichur,Lingasugur,2012-03-24,4304.0,59.0
17696,17697,Groundnut,Karnataka,Raichur,Lingasugur,2012-03-26,4324.0,162.0
17697,17698,Groundnut,Karnataka,Raichur,Lingasugur,2012-03-27,4660.0,122.0
17698,17699,Groundnut,Karnataka,Raichur,Raichur,2012-02-01,3207.0,8.0
17699,17700,Groundnut,Karnataka,Raichur,Raichur,2012-03-01,3069.0,6.0
17700,17701,Groundnut,Karnataka,Raichur,Raichur,2012-04-01,3419.0,7.0
17701,17702,Groundnut,Karnataka,Raichur,Raichur,2012-05-01,3309.0,7.0
17702,17703,Groundnut,Karnataka,Raichur,Raichur,2012-06-01,3469.0,2.0
17703,17704,Groundnut,Karnataka,Raichur,Raichur,2012-07-01,3549.0,5.0
17704,17705,Groundnut,Karnataka,Raichur,Raichur,2012-09-01,3544.0,14.0
17705,17706,Groundnut,Karnataka,Raichur,Raichur,2012-11-01,3038.0,7.0
17706,17707,Groundnut,Karnataka,Raichur,Raichur,2012-12-01,3439.0,14.0
17707,17708,Groundnut,Karnataka,Raichur,Raichur,2012-01-13,3190.0,17.0
17708,17709,Groundnut,Karnataka,Raichur,Raichur,2012-01-17,3319.0,26.0
17709,17710,Groundnut,Karnataka,Raichur,Raichur,2012-01-18,3620.0,13.0
17710,17711,Groundnut,Karnataka,Raichur,Raichur,2012-01-19,3654.0,33.0
17711,17712,Groundnut,Karnataka,Raichur,Raichur,2012-01-20,4219.0,37.0
17712,17713,Groundnut,Karnataka,Raichur,Raichur,2012-01-21,3726.0,43.0
17713,17714,Groundnut,Karnataka,Raichur,Raichur,2012-01-25,3970.0,111.0
17714,17715,Groundnut,Karnataka,Raichur,Raichur,2012-01-27,3895.0,147.0
17715,17716,Groundnut,Karnataka,Raichur,Raichur,2012-01-28,3569.0,129.0
17716,17717,Groundnut,Karnataka,Raichur,Raichur,2012-01-30,3349.0,172.0
17717,17718,Groundnut,Karnataka,Raichur,Raichur,2012-01-31,3669.0,143.0
17718,17719,Groundnut,Karnataka,Raichur,Raichur,2012-01-02,3269.0,135.0
17719,17720,Groundnut,Karnataka,Raichur,Raichur,2012-02-02,3325.0,157.0
17720,17721,Groundnut,Karnataka,Raichur,Raichur,2012-03-02,3902.0,157.0
17721,17722,Groundnut,Karnataka,Raichur,Raichur,2012-04-02,3316.0,247.0
17722,17723,Groundnut,Karnataka,Raichur,Raichur,2012-06-02,3629.0,311.0
17723,17724,Groundnut,Karnataka,Raichur,Raichur,2012-07-02,3379.0,275.0
17724,17725,Groundnut,Karnataka,Raichur,Raichur,2012-08-02,4062.0,324.0
17725,17726,Groundnut,Karnataka,Raichur,Raichur,2012-09-02,3705.0,326.0
17726,17727,Groundnut,Karnataka,Raichur,Raichur,2012-10-02,3505.0,314.0
17727,17728,Groundnut,Karnataka,Raichur,Raichur,2012-11-02,3539.0,383.0
17728,17729,Groundnut,Karnataka,Raichur,Raichur,2012-02-13,3305.0,523.0
17729,17730,Groundnut,Karnataka,Raichur,Raichur,2012-02-14,3664.0,423.0
17730,17731,Groundnut,Karnataka,Raichur,Raichur,2012-02-15,3931.0,263.0
17731,17732,Groundnut,Karnataka,Raichur,Raichur,2012-02-16,3955.0,424.0
17732,17733,Groundnut,Karnataka,Raichur,Raichur,2012-02-17,3822.0,431.0
17733,17734,Groundnut,Karnataka,Raichur,Raichur,2012-02-18,3786.0,648.0
17734,17735,Groundnut,Karnataka,Raichur,Raichur,2012-02-22,3779.0,365.0
17735,17736,Groundnut,Karnataka,Raichur,Raichur,2012-02-23,4231.0,778.0
17736,17737,Groundnut,Karnataka,Raichur,Raichur,2012-02-24,4379.0,582.0
17737,17738,Groundnut,Karnataka,Raichur,Raichur,2012-02-25,4459.0,626.0
17738,17739,Groundnut,Karnataka,Raichur,Raichur,2012-02-27,3649.0,530.0
17739,17740,Groundnut,Karnataka,Raichur,Raichur,2012-02-28,4650.0,405.0
17740,17741,Groundnut,Karnataka,Raichur,Raichur,2012-02-29,4456.0,393.0
17741,17742,Groundnut,Karnataka,Raichur,Raichur,2012-01-03,4786.0,398.0
17742,17743,Groundnut,Karnataka,Raichur,Raichur,2012-02-03,4368.0,369.0
17743,17744,Groundnut,Karnataka,Raichur,Raichur,2012-03-03,4505.0,481.0
17744,17745,Groundnut,Karnataka,Raichur,Raichur,2012-05-03,4589.0,561.0
17745,17746,Groundnut,Karnataka,Raichur,Raichur,2012-06-03,4639.0,386.0
17746,17747,Groundnut,Karnataka,Raichur,Raichur,2012-09-03,3939.0,143.0
17747,17748,Groundnut,Karnataka,Raichur,Raichur,2012-10-03,4625.0,233.0
17748,17749,Groundnut,Karnataka,Raichur,Raichur,2012-12-03,4349.0,454.0
17749,17750,Groundnut,Karnataka,Raichur,Raichur,2012-03-13,4586.0,493.0
17750,17751,Groundnut,Karnataka,Raichur,Raichur,2012-03-14,4627.0,321.0
17751,17752,Groundnut,Karnataka,Raichur,Raichur,2012-03-15,4789.0,309.0
17752,17753,Groundnut,Karnataka,Raichur,Raichur,2012-03-16,4789.0,238.0
17753,17754,Groundnut,Karnataka,Raichur,Raichur,2012-03-17,4637.0,221.0
17754,17755,Groundnut,Karnataka,Raichur,Raichur,2012-03-19,4522.0,245.0
17755,17756,Groundnut,Karnataka,Raichur,Raichur,2012-03-20,4599.0,334.0
17756,17757,Groundnut,Karnataka,Raichur,Raichur,2012-03-21,4545.0,291.0
17757,17758,Groundnut,Karnataka,Raichur,Raichur,2012-03-24,4399.0,33.0
17758,17759,Groundnut,Karnataka,Raichur,Raichur,2012-03-26,4490.0,203.0
17759,17760,Groundnut,Karnataka,Raichur,Raichur,2012-03-27,4585.0,360.0
17760,17761,Groundnut,Karnataka,Raichur,Raichur,2012-03-28,4709.0,273.0
17761,17762,Groundnut,Karnataka,Raichur,Raichur,2012-03-29,4329.0,244.0
17762,17763,Groundnut,Karnataka,Raichur,Raichur,2012-03-30,4489.0,230.0
17763,17764,Groundnut,Karnataka,Raichur,Raichur,2012-02-04,4560.0,340.0
17764,17765,Groundnut,Karnataka,Raichur,Raichur,2012-03-04,4338.0,184.0
17765,17766,Groundnut,Karnataka,Raichur,Raichur,2012-05-04,4539.0,348.0
17766,17767,Groundnut,Karnataka,Raichur,Raichur,2012-09-04,4560.0,321.0
17767,17768,Groundnut,Karnataka,Raichur,Raichur,2012-10-04,4484.0,273.0
17768,17769,Groundnut,Karnataka,Raichur,Raichur,2012-11-04,4305.0,247.0
17769,17770,Groundnut,Karnataka,Raichur,Raichur,2012-12-04,4386.0,176.0
17770,17771,Groundnut,Karnataka,Raichur,Raichur,2012-04-13,4219.0,186.0
17771,17772,Groundnut,Karnataka,Raichur,Raichur,2012-04-16,4286.0,144.0
17772,17773,Groundnut,Karnataka,Raichur,Raichur,2012-04-17,4189.0,127.0
17773,17774,Groundnut,Karnataka,Raichur,Raichur,2012-04-18,4269.0,73.0
17774,17775,Groundnut,Karnataka,Raichur,Raichur,2012-04-19,4087.0,63.0
17775,17776,Groundnut,Karnataka,Raichur,Raichur,2012-04-20,4029.0,80.0
17776,17777,Groundnut,Karnataka,Raichur,Raichur,2012-04-23,4249.0,104.0
17777,17778,Groundnut,Karnataka,Raichur,Raichur,2012-04-25,4250.0,30.0
17778,17779,Groundnut,Karnataka,Raichur,Raichur,2012-04-26,4189.0,28.0
17779,17780,Groundnut,Karnataka,Raichur,Raichur,2012-04-27,4148.0,35.0
17780,17781,Groundnut,Karnataka,Raichur,Raichur,2012-04-28,4218.0,17.0
17781,17782,Groundnut,Karnataka,Raichur,Raichur,2012-04-30,4189.0,69.0
17782,17783,Groundnut,Karnataka,Raichur,Raichur,2012-02-05,4266.0,32.0
17783,17784,Groundnut,Karnataka,Raichur,Raichur,2012-03-05,3939.0,30.0
17784,17785,Groundnut,Karnataka,Raichur,Raichur,2012-04-05,4316.0,13.0
17785,17786,Groundnut,Karnataka,Raichur,Raichur,2012-05-05,4369.0,21.0
17786,17787,Groundnut,Karnataka,Raichur,Raichur,2012-07-05,4406.0,12.0
17787,17788,Groundnut,Karnataka,Raichur,Raichur,2012-08-05,4343.0,16.0
17788,17789,Groundnut,Karnataka,Raichur,Raichur,2012-09-05,4232.0,11.0
17789,17790,Groundnut,Karnataka,Raichur,Raichur,2012-10-05,4569.0,11.0
17790,17791,Groundnut,Karnataka,Raichur,Raichur,2012-11-05,4216.0,8.0
17791,17792,Groundnut,Karnataka,Raichur,Raichur,2012-12-05,4401.0,10.0
17792,17793,Groundnut,Karnataka,Raichur,Raichur,2012-05-14,3990.0,6.0
17793,17794,Groundnut,Karnataka,Raichur,Raichur,2012-05-15,4469.0,5.0
17794,17795,Groundnut,Karnataka,Raichur,Raichur,2012-05-16,4588.0,2.0
17795,17796,Groundnut,Karnataka,Raichur,Raichur,2012-05-17,4639.0,4.0
17796,17797,Groundnut,Karnataka,Raichur,Raichur,2012-05-18,4365.0,11.0
17797,17798,Groundnut,Karnataka,Raichur,Raichur,2012-05-19,4203.0,3.0
17798,17799,Groundnut,Karnataka,Raichur,Raichur,2012-05-21,4169.0,1.0
17799,17800,Groundnut,Karnataka,Raichur,Raichur,2012-05-22,4111.0,2.0
17800,17801,Groundnut,Karnataka,Raichur,Raichur,2012-05-23,4122.0,3.0
17801,17802,Groundnut,Karnataka,Raichur,Raichur,2012-05-24,4199.0,2.0
17802,17803,Groundnut,Karnataka,Raichur,Raichur,2012-05-25,4519.0,2.0
17803,17804,Groundnut,Karnataka,Raichur,Raichur,2012-05-26,4138.0,5.0
17804,17805,Groundnut,Karnataka,Raichur,Raichur,2012-05-28,3674.0,5.0
17805,17806,Groundnut,Karnataka,Raichur,Raichur,2012-05-30,4429.0,1.0
17806,17807,Groundnut,Karnataka,Raichur,Raichur,2012-01-06,3259.0,2.0
17807,17808,Groundnut,Karnataka,Raichur,Raichur,2012-02-06,4090.0,5.0
17808,17809,Groundnut,Karnataka,Raichur,Raichur,2012-06-06,3528.0,4.0
17809,17810,Groundnut,Karnataka,Raichur,Raichur,2012-07-06,4169.0,0.0
17810,17811,Groundnut,Karnataka,Raichur,Raichur,2012-08-06,4203.0,5.0
17811,17812,Groundnut,Karnataka,Raichur,Raichur,2012-09-06,3729.0,1.0
17812,17813,Groundnut,Karnataka,Raichur,Raichur,2012-11-06,3716.0,8.0
17813,17814,Groundnut,Karnataka,Raichur,Raichur,2012-12-06,3478.0,3.0
17814,17815,Groundnut,Karnataka,Raichur,Raichur,2012-06-13,3780.0,4.0
17815,17816,Groundnut,Karnataka,Raichur,Raichur,2012-06-14,3520.0,3.0
17816,17817,Groundnut,Karnataka,Raichur,Raichur,2012-06-15,3920.0,3.0
17817,17818,Groundnut,Karnataka,Raichur,Raichur,2012-06-16,3760.0,3.0
17818,17819,Groundnut,Karnataka,Raichur,Raichur,2012-06-22,2789.0,27.0
17819,17820,Groundnut,Karnataka,Raichur,Raichur,2012-06-23,2689.0,4.0
17820,17821,Groundnut,Karnataka,Raichur,Raichur,2012-06-25,2943.0,16.0
17821,17822,Groundnut,Karnataka,Raichur,Raichur,2012-06-26,2569.0,9.0
17822,17823,Groundnut,Karnataka,Raichur,Raichur,2012-06-27,2999.0,7.0
17823,17824,Groundnut,Karnataka,Raichur,Raichur,2012-06-28,2943.0,6.0
17824,17825,Groundnut,Karnataka,Raichur,Raichur,2012-06-29,3152.0,9.0
17825,17826,Groundnut,Karnataka,Raichur,Raichur,2012-06-30,2969.0,5.0
