,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
37531,37532,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-01,3350.0,0.0
37532,37533,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-01,3450.0,0.0
37533,37534,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-03-01,1100.0,0.0
37534,37535,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-04-01,3450.0,0.0
37535,37536,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-05-01,3350.0,0.0
37536,37537,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-06-01,3350.0,0.0
37537,37538,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-07-01,3450.0,0.0
37538,37539,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-08-01,3350.0,0.0
37539,37540,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-09-01,3350.0,0.0
37540,37541,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-10-01,3350.0,0.0
37541,37542,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-11-01,3400.0,0.0
37542,37543,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-12-01,3350.0,0.0
37543,37544,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-13,3450.0,0.0
37544,37545,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-14,3350.0,0.0
37545,37546,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-15,3350.0,0.0
37546,37547,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-16,3450.0,0.0
37547,37548,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-17,3350.0,0.0
37548,37549,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-18,3450.0,0.0
37549,37550,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-19,3350.0,0.0
37550,37551,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-21,3450.0,0.0
37551,37552,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-22,3350.0,0.0
37552,37553,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-23,3450.0,0.0
37553,37554,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-24,3450.0,0.0
37554,37555,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-25,3350.0,0.0
37555,37556,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-26,1100.0,0.0
37556,37557,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-27,3350.0,0.0
37557,37558,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-28,3450.0,0.0
37558,37559,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-29,3350.0,0.0
37559,37560,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-30,3350.0,0.0
37560,37561,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-31,3350.0,0.0
37561,37562,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-02,3350.0,0.0
37562,37563,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-02,3350.0,0.0
37563,37564,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-03-02,3350.0,0.0
37564,37565,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-04-02,3350.0,0.0
37565,37566,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-06-02,3350.0,0.0
37566,37567,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-07-02,3450.0,0.0
37567,37568,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-08-02,3350.0,0.0
37568,37569,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-09-02,3350.0,0.0
37569,37570,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-10-02,3350.0,0.0
37570,37571,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-11-02,3350.0,0.0
37571,37572,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-12-02,3200.0,0.0
37572,37573,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-13,3350.0,0.0
37573,37574,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-14,3400.0,0.0
37574,37575,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-15,3500.0,0.0
37575,37576,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-16,3450.0,0.0
37576,37577,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-17,3450.0,0.0
37577,37578,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-18,3450.0,0.0
37578,37579,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-19,3450.0,0.0
37579,37580,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-20,3450.0,0.0
37580,37581,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-21,3450.0,0.0
37581,37582,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-22,3350.0,0.0
37582,37583,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-23,3450.0,0.0
37583,37584,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-24,3450.0,0.0
37584,37585,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-25,3450.0,0.0
37585,37586,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-26,3450.0,0.0
37586,37587,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-27,3350.0,0.0
37587,37588,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-28,3400.0,0.0
37588,37589,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-29,3450.0,0.0
37589,37590,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-01-03,3450.0,0.0
37590,37591,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-02-03,1150.0,0.0
37591,37592,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-03-03,3350.0,0.0
37592,37593,Bengal Gram(Gram),Andhra Pradesh,Cuddapah,Jammalamadugu,2012-04-03,3550.0,0.0
