,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
576641,576642,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2015-11-12,10700.0,0.0
576642,576643,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2015-12-28,10500.0,0.0
576643,576644,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2015-12-29,10500.0,0.0
576644,576645,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2015-12-30,10500.0,0.0
576645,576646,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2015-12-31,10500.0,0.0
812785,812786,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-01-01,10500.0,0.0
812786,812787,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-02-01,10500.0,0.0
812787,812788,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-03-01,10500.0,0.0
812788,812789,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-04-01,10500.0,0.0
812789,812790,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-05-01,10500.0,0.0
812790,812791,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-06-01,10500.0,0.0
812791,812792,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-07-01,9500.0,0.0
812792,812793,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-08-01,9000.0,0.0
812793,812794,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-09-01,9000.0,0.0
812794,812795,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-10-01,9000.0,0.0
812795,812796,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-11-01,9000.0,0.0
812796,812797,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-01-13,9800.0,0.0
812797,812798,Black Gram (Urd Beans),Andhra Pradesh,East Godavari,Rajahmundry,2016-01-14,9800.0,0.0
