,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
38882,38883,Bengal Gram(Gram),Andhra Pradesh,Krishna,Malleswaram,2012-10-09,3900.0,0.1
38883,38884,Bengal Gram(Gram),Andhra Pradesh,Krishna,Movva Hqs,2012-03-13,3500.0,0.1
90159,90160,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-01,4100.0,0.1
90160,90161,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-02-01,4100.0,0.1
90161,90162,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-03-01,4000.0,0.1
90162,90163,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-04-01,4000.0,0.1
90163,90164,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-05-01,4000.0,0.1
90164,90165,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-06-01,4000.0,0.1
90165,90166,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-07-01,3900.0,0.1
90166,90167,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-08-01,3900.0,0.1
90167,90168,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-09-01,3900.0,0.1
90168,90169,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-10-01,3900.0,0.1
90169,90170,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-11-01,3900.0,0.1
90170,90171,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-12-01,3900.0,0.1
90171,90172,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-13,3900.0,0.1
90172,90173,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-14,3900.0,0.1
90173,90174,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-15,3900.0,0.1
90174,90175,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-16,3900.0,0.1
90175,90176,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-17,3900.0,0.1
90176,90177,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-18,3800.0,0.1
90177,90178,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-19,3900.0,0.1
90178,90179,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-20,3700.0,0.1
90179,90180,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-21,3700.0,0.1
90180,90181,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-22,3700.0,0.1
90181,90182,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-23,3700.0,0.1
90182,90183,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-24,3800.0,0.1
90183,90184,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-25,3800.0,0.1
90184,90185,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-26,3700.0,0.1
90185,90186,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-27,3800.0,0.1
90186,90187,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-28,3800.0,0.1
90187,90188,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-29,3800.0,0.1
90188,90189,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-30,3800.0,0.1
90189,90190,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-31,3800.0,0.1
90190,90191,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-01-02,3800.0,0.1
90191,90192,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-02-02,3600.0,0.1
90192,90193,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-03-02,3600.0,0.1
90193,90194,Black Gram (Urd Beans),Andhra Pradesh,Krishna,Divi,2012-04-02,3600.0,0.1
