,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
0,1,Arhar (Tur/Red Gram),Andhra Pradesh,Kurnool,Alur,2012-03-18,2506.0,0.1
38884,38885,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-19,3120.0,3.5
38885,38886,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-20,3120.0,3.5
38886,38887,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-21,3000.0,2.5
38887,38888,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-22,3000.0,0.0
38888,38889,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-24,3150.0,0.7
38889,38890,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-25,3150.0,1.8
38890,38891,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-27,3249.0,1.9
38891,38892,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-28,3250.0,3.3
38892,38893,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-30,3300.0,2.3
38893,38894,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-31,3350.0,6.6
38894,38895,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-01-02,3300.0,2.2
38895,38896,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-02-02,3400.0,2.3
38896,38897,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-03-02,3400.0,4.4
38897,38898,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-04-02,3490.0,1.9
38898,38899,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-06-02,3400.0,7.3
38899,38900,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-08-02,3470.0,4.5
38900,38901,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-09-02,3450.0,3.4
38901,38902,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-10-02,3400.0,2.5
38902,38903,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-11-02,3380.0,0.8
38903,38904,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-02-13,3450.0,1.1
38904,38905,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-02-14,3480.0,7.5
38905,38906,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-02-15,3390.0,2.7
38906,38907,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-02-16,3400.0,1.4
38907,38908,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-02-17,3400.0,3.0
38908,38909,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-02-18,3450.0,1.1
38909,38910,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-02-22,3480.0,2.2
38910,38911,Bengal Gram(Gram),Andhra Pradesh,Kurnool,Adoni,2012-02-23,3520.0,4.6
