,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
92894,92895,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-13,3350.0,0.0
92895,92896,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-14,3350.0,0.0
92896,92897,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-15,3350.0,0.0
92897,92898,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-17,3350.0,0.0
92898,92899,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-18,3350.0,0.0
92899,92900,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-21,3350.0,0.0
92900,92901,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-22,3100.0,0.0
92901,92902,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-24,3100.0,0.0
92902,92903,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-25,3100.0,0.0
92903,92904,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-26,3100.0,0.0
92904,92905,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-27,3100.0,0.0
92905,92906,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-29,3100.0,0.0
92906,92907,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-01-10,3100.0,0.0
92907,92908,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-04-10,3100.0,0.0
92908,92909,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-05-10,3100.0,0.0
92909,92910,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-10-10,3100.0,0.0
92910,92911,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-10,3100.0,0.0
92911,92912,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-10-15,3100.0,0.0
92912,92913,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-10-16,3800.0,0.0
92913,92914,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-10-17,3050.0,0.0
92914,92915,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-10-18,3050.0,0.0
92915,92916,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-10-20,3050.0,0.0
92916,92917,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-10-23,3050.0,0.0
92917,92918,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-10-25,3050.0,0.0
92918,92919,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-10-26,3050.0,0.0
92919,92920,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-05-11,3050.0,0.0
92920,92921,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-06-11,3200.0,0.0
92921,92922,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-07-11,3200.0,0.0
92922,92923,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-09-11,3200.0,0.0
92923,92924,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-12-11,3200.0,0.0
92924,92925,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-14,3200.0,0.0
92925,92926,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-17,3200.0,0.0
92926,92927,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-19,3200.0,0.0
92927,92928,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-20,3100.0,0.0
92928,92929,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-21,3100.0,0.0
92929,92930,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-22,3100.0,0.0
92930,92931,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-23,3100.0,0.0
92931,92932,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-24,3100.0,0.0
92932,92933,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-26,3100.0,0.0
92933,92934,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-27,3100.0,0.0
92934,92935,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-28,3100.0,0.0
92935,92936,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-29,3100.0,0.0
92936,92937,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-11-30,3100.0,0.0
92937,92938,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-01-12,3100.0,0.0
92938,92939,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-03-12,3100.0,0.0
92939,92940,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Chipurupalli,2012-12-29,4100.0,0.0
92940,92941,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-09-02,2800.0,0.2
92941,92942,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-13,2600.0,0.8
92942,92943,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-14,2350.0,1.7
92943,92944,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-16,2650.0,1.5
92944,92945,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-17,3250.0,2.1
92945,92946,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-18,3100.0,2.5
92946,92947,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-19,3250.0,0.7
92947,92948,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-20,3250.0,3.1
92948,92949,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-22,3250.0,0.5
92949,92950,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-24,3250.0,1.9
92950,92951,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-25,3250.0,2.7
92951,92952,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-26,3150.0,2.5
92952,92953,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-27,3250.0,6.9
92953,92954,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-02-03,3250.0,1.2
92954,92955,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-03-03,3250.0,0.4
92955,92956,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-04-03,3250.0,1.6
92956,92957,Black Gram (Urd Beans),Andhra Pradesh,Vijayanagaram,Gajapathinagaram,2012-05-03,3250.0,16.4
