,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
1,2,Arhar (Tur/Red Gram),Andhra Pradesh,Visakhapatnam,Chintapally,2012-05-28,6300.0,0.0
256436,256437,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2013-12-27,4650.0,14.4
353454,353455,Bengal Gram(Gram),Andhra Pradesh,Visakhapatnam,Chintapally,2014-05-02,4400.0,16.0
404795,404796,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-03-01,4100.0,18.0
404796,404797,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-04-01,3950.0,8.0
404797,404798,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-05-01,3900.0,12.0
404798,404799,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-08-01,4300.0,12.0
404799,404800,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-10-01,3900.0,12.0
404800,404801,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-12-01,3950.0,16.0
404801,404802,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-14,4300.0,16.0
404802,404803,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-16,4100.0,12.0
404803,404804,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-18,4100.0,12.0
404804,404805,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-19,3950.0,12.0
404805,404806,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-20,4100.0,12.0
404806,404807,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-22,4100.0,12.0
404807,404808,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-23,7950.0,12.0
404808,404809,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-26,9500.0,12.0
404809,404810,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-27,9000.0,12.0
404810,404811,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-28,4550.0,12.0
404811,404812,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-29,4500.0,12.0
404812,404813,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-30,4450.0,8.0
404813,404814,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-31,4400.0,12.0
404814,404815,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-01-02,4450.0,13.0
404815,404816,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-07-02,4400.0,0.0
404816,404817,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-02-14,4900.0,7.0
404817,404818,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-02-16,4900.0,0.0
404818,404819,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-12-21,4900.0,7.7
404819,404820,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-12-24,4850.0,7.7
404820,404821,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-12-25,4900.0,7.7
404821,404822,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-12-30,4900.0,0.0
404822,404823,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2014-12-31,4900.0,7.7
520125,520126,Bengal Gram(Gram),Andhra Pradesh,Visakhapatnam,Visakhapatnam,2015-11-12,2675.0,4.5
580989,580990,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2015-02-01,4850.0,0.0
580990,580991,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2015-08-01,4900.0,7.7
580991,580992,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2015-09-01,4900.0,7.7
580992,580993,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2015-10-01,4900.0,7.7
580993,580994,Black Gram (Urd Beans),Andhra Pradesh,Visakhapatnam,Chintapally,2015-01-13,4900.0,7.7
