,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
471466,471467,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-12-06,4300.0,2.0
471467,471468,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-06-13,4325.0,1.0
471468,471469,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-06-15,4300.0,2.0
471469,471470,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-06-16,4325.0,1.0
471470,471471,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-06-17,4325.0,1.0
471471,471472,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-06-18,4350.0,1.5
471472,471473,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-06-19,4350.0,1.0
471473,471474,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-06-20,4350.0,1.5
471474,471475,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-06-29,4350.0,1.0
471475,471476,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-06-30,4350.0,1.5
471476,471477,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-03-07,4350.0,1.0
471477,471478,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-04-07,4350.0,0.0
471478,471479,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-06-07,4350.0,0.0
471479,471480,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-07-07,4400.0,0.5
471480,471481,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-08-07,4425.0,1.0
471481,471482,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-09-07,4400.0,0.5
471482,471483,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-07-14,4350.0,1.0
471483,471484,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-07-15,4450.0,0.5
471484,471485,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-07-16,4475.0,1.0
471485,471486,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-07-17,4450.0,0.5
471486,471487,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-07-20,4500.0,0.0
471487,471488,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-07-21,4500.0,0.0
471488,471489,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-07-22,4550.0,1.0
471489,471490,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-07-23,4500.0,1.0
471490,471491,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-07-24,4550.0,0.5
471491,471492,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-09-16,4775.0,2.0
471492,471493,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-09-17,4800.0,2.0
471493,471494,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-09-19,4850.0,2.0
471494,471495,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-09-23,4800.0,1.5
471495,471496,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-09-24,4750.0,1.5
471496,471497,Arhar (Tur/Red Gram),Bihar,Aurangabad,Aurangabad,2015-09-26,4775.0,2.0
