,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
619061,619062,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-11-06,5345.0,0.0
619062,619063,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-12-06,5150.0,0.0
619063,619064,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-13,5100.0,0.0
619064,619065,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-14,6100.0,0.0
619065,619066,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-15,5500.0,0.0
619066,619067,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-16,5050.0,0.0
619067,619068,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-17,5390.0,0.0
619068,619069,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-18,5100.0,0.0
619069,619070,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-19,5050.0,0.0
619070,619071,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-20,5270.0,0.0
619071,619072,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-21,5335.0,0.0
619072,619073,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-22,5390.0,0.0
619073,619074,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-23,5320.0,0.0
619074,619075,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-24,5450.0,0.0
619075,619076,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-25,6190.0,0.0
619076,619077,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-26,6440.0,0.0
619077,619078,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-27,6585.0,0.0
619078,619079,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-28,6535.0,0.0
619079,619080,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-29,5445.0,0.0
619080,619081,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-30,5825.0,0.0
619081,619082,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-01-07,6005.0,0.0
619082,619083,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-02-07,6925.0,0.0
619083,619084,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-03-07,7240.0,0.0
619084,619085,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-04-07,6695.0,0.0
619085,619086,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-07,6610.0,0.0
619086,619087,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-07,7295.0,0.0
619087,619088,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-07,7350.0,0.0
619088,619089,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-07,7310.0,0.0
619089,619090,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-10-07,7480.0,0.0
619090,619091,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-11-07,7475.0,0.0
619091,619092,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-12-07,7490.0,0.0
619092,619093,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-13,7355.0,0.0
619093,619094,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-14,7300.0,0.0
619094,619095,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-15,7480.0,0.0
619095,619096,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-16,7385.0,0.0
619096,619097,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-17,7390.0,0.0
619097,619098,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-22,7525.0,0.0
619098,619099,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-23,7460.0,0.0
619099,619100,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-25,7485.0,0.0
619100,619101,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-26,7570.0,0.0
619101,619102,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-27,7620.0,0.0
619102,619103,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-28,7520.0,0.0
619103,619104,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-29,7485.0,0.0
619104,619105,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-30,7635.0,0.0
619105,619106,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-31,7660.0,0.0
619106,619107,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-01-08,7580.0,0.0
619107,619108,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-02-08,7545.0,0.0
619108,619109,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-03-08,7645.0,0.0
619109,619110,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-04-08,7580.0,0.0
619110,619111,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-05-08,7660.0,0.0
619111,619112,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-08,7595.0,0.0
619112,619113,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-08,7510.0,0.0
619113,619114,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-08,7555.0,0.0
619114,619115,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-08,7715.0,0.0
619115,619116,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-10-08,7670.0,0.0
619116,619117,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-11-08,7670.0,0.0
619117,619118,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-12-08,7670.0,0.0
619118,619119,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-13,7780.0,0.0
619119,619120,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-17,7790.0,0.0
619120,619121,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-18,7600.0,0.0
619121,619122,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-19,7690.0,0.0
619122,619123,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-20,7870.0,0.0
619123,619124,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-21,7700.0,0.0
619124,619125,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-22,7665.0,0.0
619125,619126,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-24,7765.0,0.0
619126,619127,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-25,7650.0,0.0
619127,619128,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-26,7745.0,0.0
619128,619129,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-27,7400.0,0.0
619129,619130,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-28,7545.0,0.0
619130,619131,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-31,7525.0,0.0
619131,619132,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-01-09,7680.0,0.0
619132,619133,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-02-09,7645.0,0.0
619133,619134,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-03-09,7690.0,0.0
619134,619135,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-04-09,7670.0,0.0
619135,619136,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-05-09,7690.0,0.0
619136,619137,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-09,7665.0,0.0
619137,619138,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-09,7680.0,0.0
619138,619139,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-09,7720.0,0.0
619139,619140,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-09,7665.0,0.0
619140,619141,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-10-09,7690.0,0.0
619141,619142,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-11-09,7725.0,0.0
619142,619143,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-12-09,7720.0,0.0
619143,619144,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-13,7715.0,0.0
619144,619145,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-14,7730.0,0.0
619145,619146,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-15,7745.0,0.0
619146,619147,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-16,7740.0,0.0
619147,619148,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-17,7740.0,0.0
619148,619149,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-18,7740.0,0.0
619149,619150,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-19,7730.0,0.0
619150,619151,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-20,7740.0,0.0
619151,619152,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-21,7735.0,0.0
619152,619153,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-22,7735.0,0.0
619153,619154,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-23,7725.0,0.0
619154,619155,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-27,7740.0,0.0
619155,619156,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-03-10,7730.0,0.0
619156,619157,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-04-10,7785.0,0.0
619157,619158,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-05-10,7775.0,0.0
619158,619159,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-06-10,7750.0,0.0
619159,619160,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-07-10,7780.0,0.0
619160,619161,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-08-10,7740.0,0.0
619161,619162,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-09-10,7745.0,0.0
619162,619163,Green Gram (Moong),Bihar,Muzaffarpur,Muzaffarpur,2015-10-10,7765.0,0.0
