,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
471708,471709,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-04-02,7350.0,0.0
471709,471710,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-05-02,7450.0,0.0
471710,471711,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-06-02,7350.0,0.0
471711,471712,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-07-02,7385.0,0.0
471712,471713,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-09-02,7450.0,0.0
471713,471714,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-10-02,7450.0,0.0
471714,471715,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-11-02,7525.0,0.0
471715,471716,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-12-02,7450.0,0.0
471716,471717,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-02-19,7850.0,0.0
471717,471718,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-02-21,7900.0,0.0
471718,471719,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-02-23,8050.0,0.0
471719,471720,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-02-25,7900.0,0.0
471720,471721,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-02-26,7900.0,0.0
471721,471722,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-02-27,7900.0,0.0
471722,471723,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-02-28,7900.0,0.0
471723,471724,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-07-03,8100.0,0.0
471724,471725,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-09-03,7900.0,0.0
471725,471726,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-03-23,8100.0,0.0
471726,471727,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-08-05,8100.0,0.0
471727,471728,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-09-05,8200.0,0.0
471728,471729,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-11-05,9900.0,0.0
471729,471730,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-12-05,9900.0,0.0
471730,471731,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-05-13,9650.0,0.0
471731,471732,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-05-15,9675.0,0.0
471732,471733,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-05-21,9650.0,0.0
471733,471734,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-05-22,9650.0,0.0
471734,471735,Arhar (Tur/Red Gram),Bihar,Saharsa,Saharsa,2015-05-23,9250.0,0.0
