,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
471772,471773,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-06-13,10250.0,0.0
471773,471774,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-06-15,9000.0,0.0
471774,471775,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-06-18,9000.0,0.0
471775,471776,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-06-19,9500.0,0.0
471776,471777,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-06-22,10000.0,0.0
471777,471778,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-06-23,9700.0,0.0
471778,471779,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-06-24,8000.0,0.0
471779,471780,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-06-25,9800.0,0.0
471780,471781,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-02-07,9000.0,0.0
471781,471782,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-03-07,9000.0,0.0
471782,471783,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-06-07,9000.0,0.0
471783,471784,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-08-07,9000.0,0.0
471784,471785,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-09-07,10000.0,0.0
471785,471786,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-11-07,10000.0,0.0
471786,471787,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-07-14,10000.0,0.0
471787,471788,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-07-16,10000.0,0.0
471788,471789,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-07-17,9000.0,0.0
471789,471790,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-07-20,9000.0,0.0
471790,471791,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-07-21,9000.0,0.0
471791,471792,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-07-22,9000.0,0.0
471792,471793,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-07-23,9000.0,0.0
471793,471794,Arhar (Tur/Red Gram),Bihar,Samastipur,Samastipur,2015-07-24,8000.0,0.0
619251,619252,Green Gram (Moong),Bihar,Samastipur,Samastipur,2015-06-18,10700.0,0.0
619252,619253,Green Gram (Moong),Bihar,Samastipur,Samastipur,2015-06-19,10525.0,0.0
619253,619254,Green Gram (Moong),Bihar,Samastipur,Samastipur,2015-06-24,9800.0,0.0
619254,619255,Green Gram (Moong),Bihar,Samastipur,Samastipur,2015-06-07,10500.0,0.0
619255,619256,Green Gram (Moong),Bihar,Samastipur,Samastipur,2015-08-07,10500.0,0.0
619256,619257,Green Gram (Moong),Bihar,Samastipur,Samastipur,2015-09-07,9800.0,0.0
619257,619258,Green Gram (Moong),Bihar,Samastipur,Samastipur,2015-11-07,9600.0,0.0
619258,619259,Green Gram (Moong),Bihar,Samastipur,Samastipur,2015-07-14,9600.0,0.0
619259,619260,Green Gram (Moong),Bihar,Samastipur,Samastipur,2015-07-16,10500.0,0.0
