,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
978,979,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Baramkela,2012-06-10,3200.0,1.0
126491,126492,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2012-03-20,5940.0,6.0
126492,126493,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2012-03-21,3215.0,2.3
126493,126494,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2012-03-26,3200.0,2.0
126494,126495,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2012-02-04,5980.0,0.4
167112,167113,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Sarangarh,2013-01-30,4500.0,30.0
322973,322974,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Kharsiya,2014-08-26,4900.0,0.4
322974,322975,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Kharsiya,2014-09-28,4900.0,0.4
322975,322976,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Kharsiya,2014-12-29,4800.0,0.4
322976,322977,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Raigarh,2014-08-26,2500.0,10.0
430887,430888,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2014-08-28,4000.0,0.5
430888,430889,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2014-09-17,3500.0,2.0
430889,430890,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2014-11-26,4700.0,5.0
472401,472402,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Kharsiya,2015-11-01,4800.0,0.4
472402,472403,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Raigarh,2015-03-19,3500.0,2.7
581299,581300,Black Gram (Urd Beans),Chattisgarh,Raigarh,Kharsiya,2015-02-12,6000.0,0.66
619295,619296,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2015-05-25,7500.0,0.2
619296,619297,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2015-09-13,4000.0,2.0
619297,619298,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2015-11-19,4000.0,0.5
684585,684586,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Gharghoda,2016-03-29,4300.0,1.0
684586,684587,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Gharghoda,2016-03-30,4000.0,5.0
684587,684588,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Raigarh,2016-03-29,3500.0,1.0
684588,684589,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Raigarh,2016-03-30,3500.0,1.7
684589,684590,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Raigarh,2016-02-08,2600.0,70.0
745097,745098,Bengal Gram(Gram),Chattisgarh,Raigarh,Raigarh,2016-03-15,4000.0,4.3
745098,745099,Bengal Gram(Gram),Chattisgarh,Raigarh,Raigarh,2016-11-16,4000.0,6.5
823403,823404,Black Gram (Urd Beans),Chattisgarh,Raigarh,Kharsiya,2016-02-27,5800.0,0.6
823404,823405,Black Gram (Urd Beans),Chattisgarh,Raigarh,Kharsiya,2016-04-30,6600.0,1.2
823405,823406,Black Gram (Urd Beans),Chattisgarh,Raigarh,Kharsiya,2016-10-24,6400.0,0.9
867845,867846,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2016-03-30,3500.0,1.5
867846,867847,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2016-04-28,6332.0,0.8
867847,867848,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2016-08-30,3200.0,14.0
867848,867849,Green Gram (Moong),Chattisgarh,Raigarh,Raigarh,2016-11-16,4300.0,5.0
940293,940294,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Raigarh,2017-06-26,2300.0,3.5
940294,940295,Arhar (Tur/Red Gram),Chattisgarh,Raigarh,Raigarh,2017-07-20,2500.0,2.0
997500,997501,Bengal Gram(Gram),Chattisgarh,Raigarh,Raigarh,2017-07-13,4500.0,2.4
997501,997502,Bengal Gram(Gram),Chattisgarh,Raigarh,Raigarh,2017-07-14,4500.0,4.0
1071856,1071857,Black Gram (Urd Beans),Chattisgarh,Raigarh,Kharsiya,2017-02-28,4500.0,1.2
1071857,1071858,Black Gram (Urd Beans),Chattisgarh,Raigarh,Kharsiya,2017-05-30,3900.0,2.5
1071858,1071859,Black Gram (Urd Beans),Chattisgarh,Raigarh,Kharsiya,2017-08-07,4000.0,1.0
1071859,1071860,Black Gram (Urd Beans),Chattisgarh,Raigarh,Kharsiya,2017-08-29,3300.0,2.1
1071860,1071861,Black Gram (Urd Beans),Chattisgarh,Raigarh,Raigarh,2017-07-13,5000.0,2.2
1071861,1071862,Black Gram (Urd Beans),Chattisgarh,Raigarh,Raigarh,2017-07-14,5000.0,3.8
