,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
473247,473248,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-10-03,4825.0,0.2
473248,473249,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-11-03,5990.0,0.7
473249,473250,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-12-03,4800.0,0.7
473250,473251,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-03-17,5625.0,0.21
473251,473252,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-03-18,5250.0,0.33
473252,473253,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-03-19,5400.0,0.57
473253,473254,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-03-20,5560.0,1.63
473254,473255,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-03-23,4500.0,0.14
473255,473256,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-03-25,4960.0,0.9
473256,473257,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-03-30,3294.0,1.46
473257,473258,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-03-31,5625.0,0.8
473258,473259,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-09-04,5370.0,1.6
473259,473260,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-04-13,4350.0,0.06
473260,473261,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-05-14,5500.0,0.12
473261,473262,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-06-15,5025.0,0.1
473262,473263,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-10-15,10000.0,0.1
473263,473264,Arhar (Tur/Red Gram),Gujarat,Anand,Tarapur,2015-10-26,8265.0,0.1
619934,619935,Green Gram (Moong),Gujarat,Anand,Tarapur,2015-03-18,5500.0,0.4
619935,619936,Green Gram (Moong),Gujarat,Anand,Tarapur,2015-05-25,6600.0,0.1
619936,619937,Green Gram (Moong),Gujarat,Anand,Tarapur,2015-05-26,6980.0,0.1
619937,619938,Green Gram (Moong),Gujarat,Anand,Tarapur,2015-05-27,7200.0,0.3
619938,619939,Green Gram (Moong),Gujarat,Anand,Tarapur,2015-05-28,5975.0,0.35
619939,619940,Green Gram (Moong),Gujarat,Anand,Tarapur,2015-05-29,7140.0,1.7
619940,619941,Green Gram (Moong),Gujarat,Anand,Tarapur,2015-01-06,6925.0,0.1
619941,619942,Green Gram (Moong),Gujarat,Anand,Tarapur,2015-02-06,6925.0,0.45
619942,619943,Green Gram (Moong),Gujarat,Anand,Tarapur,2015-03-06,6750.0,0.1
619943,619944,Green Gram (Moong),Gujarat,Anand,Tarapur,2015-04-06,6655.0,1.9
