,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
94063,94064,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-11-22,3250.0,1.0
94064,94065,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-11-23,3400.0,0.5
94065,94066,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-11-24,3250.0,1.0
94066,94067,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-11-26,3500.0,0.3
94067,94068,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-11-27,3250.0,1.5
94068,94069,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-11-29,3500.0,1.5
94069,94070,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-11-30,3500.0,1.0
94070,94071,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-01-12,3500.0,1.0
94071,94072,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-03-12,3500.0,1.0
94072,94073,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-04-12,3500.0,2.0
94073,94074,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-05-12,3500.0,1.5
94074,94075,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-06-12,3375.0,1.5
94075,94076,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-07-12,3375.0,1.0
94076,94077,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-08-12,3450.0,1.0
94077,94078,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-10-12,3350.0,0.5
94078,94079,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-11-12,3375.0,1.0
94079,94080,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-12,3500.0,1.0
94080,94081,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-13,3200.0,0.5
94081,94082,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-14,3050.0,0.5
94082,94083,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-15,3125.0,0.5
94083,94084,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-18,3000.0,0.5
94084,94085,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-19,3250.0,0.5
94085,94086,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-20,3125.0,0.5
94086,94087,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-21,3350.0,0.5
94087,94088,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-22,3250.0,0.5
94088,94089,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-24,3250.0,0.5
94089,94090,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-26,3200.0,0.3
94090,94091,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-27,3200.0,0.5
94091,94092,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-28,3250.0,0.5
94092,94093,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-29,3350.0,0.1
94093,94094,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2012-12-31,3250.0,0.2
127655,127656,Green Gram (Moong),Gujarat,Gandhinagar,Kalol,2012-11-29,5500.0,0.1
127656,127657,Green Gram (Moong),Gujarat,Gandhinagar,Kalol,2012-07-12,5500.0,0.1
127657,127658,Green Gram (Moong),Gujarat,Gandhinagar,Kalol,2012-12-12,5100.0,0.5
127658,127659,Green Gram (Moong),Gujarat,Gandhinagar,Kalol,2012-12-14,5000.0,0.1
127659,127660,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2012-02-01,2325.0,0.5
127660,127661,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2012-09-07,4005.0,0.1
127661,127662,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2012-07-26,3755.0,0.2
127662,127663,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2012-11-20,3255.0,0.1
257639,257640,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2013-01-01,3350.0,0.5
257640,257641,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2013-02-01,3150.0,0.2
257641,257642,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2013-03-01,3250.0,0.3
257642,257643,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2013-04-01,3250.0,0.5
257643,257644,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2013-05-01,2980.0,0.3
257644,257645,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2013-07-01,3250.0,0.5
257645,257646,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2013-11-01,3250.0,0.3
257646,257647,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2013-01-16,3150.0,0.1
257647,257648,Black Gram (Urd Beans),Gujarat,Gandhinagar,Kalol,2013-01-17,3005.0,0.1
257648,257649,Black Gram (Urd Beans),Gujarat,Gandhinagar,Mansa,2013-03-12,3580.0,0.6
257649,257650,Black Gram (Urd Beans),Gujarat,Gandhinagar,Mansa,2013-12-13,3205.0,0.1
257650,257651,Black Gram (Urd Beans),Gujarat,Gandhinagar,Mansa,2013-12-21,3330.0,0.1
286430,286431,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-11-01,4810.0,0.2
286431,286432,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-05-31,5705.0,0.2
286432,286433,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-11-06,4950.0,0.4
286433,286434,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-06-14,4500.0,0.4
286434,286435,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-01-08,4805.0,0.1
286435,286436,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-07-10,4250.0,0.1
286436,286437,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-11-23,4975.0,0.2
286437,286438,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-11-25,5505.0,0.1
286438,286439,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-11-29,7710.0,0.1
286439,286440,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-05-12,6000.0,0.1
286440,286441,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2013-12-19,5305.0,0.3
405991,405992,Black Gram (Urd Beans),Gujarat,Gandhinagar,Mansa,2014-07-11,4685.0,2.0
405992,405993,Black Gram (Urd Beans),Gujarat,Gandhinagar,Mansa,2014-11-15,4255.0,1.0
432382,432383,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2014-06-21,4305.0,0.5
432383,432384,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2014-09-07,6500.0,0.1
432384,432385,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2014-07-22,5255.0,0.1
432385,432386,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2014-10-29,4355.0,1.0
432386,432387,Green Gram (Moong),Gujarat,Gandhinagar,Mansa,2014-10-30,5175.0,1.0
