,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
2912,2913,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-01-31,2055.0,0.3
2913,2914,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-04-02,3900.0,0.2
2914,2915,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-11-02,3750.0,0.7
2915,2916,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-15,3500.0,0.2
2916,2917,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-16,3800.0,0.5
2917,2918,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-18,3150.0,0.4
2918,2919,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-21,3450.0,4.0
2919,2920,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-22,3550.0,0.3
2920,2921,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-23,3625.0,0.8
2921,2922,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-24,3500.0,1.0
2922,2923,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-25,3500.0,0.2
2923,2924,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-28,3550.0,0.5
2924,2925,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-29,3450.0,2.0
2925,2926,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-03-16,3400.0,5.6
2926,2927,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-03-17,3350.0,1.2
2927,2928,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-04-04,3250.0,2.6
2928,2929,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-05-04,3300.0,2.0
2929,2930,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-06-04,3300.0,1.4
2930,2931,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-08-04,3350.0,1.1
2931,2932,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-04-15,3300.0,1.2
2932,2933,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-04-18,3200.0,1.4
2933,2934,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-04-26,3215.0,0.7
2934,2935,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-04-29,2930.0,0.1
2935,2936,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-04-05,3000.0,1.2
2936,2937,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-09-05,3200.0,1.0
2937,2938,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-10-05,3100.0,0.7
2938,2939,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-12-05,3400.0,1.0
2939,2940,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-05-15,3200.0,0.3
2940,2941,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-05-18,3535.0,0.4
2941,2942,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-05-23,3000.0,2.1
2942,2943,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-05-24,3200.0,1.7
2943,2944,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-05-26,3500.0,1.8
2944,2945,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-05-27,3400.0,0.6
2945,2946,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-02-06,3355.0,0.2
2946,2947,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-03-06,3450.0,1.7
2947,2948,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-05-06,3500.0,1.0
2948,2949,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-07-06,3480.0,0.2
2949,2950,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-12-06,3200.0,1.2
2950,2951,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-06-13,3380.0,0.3
2951,2952,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-06-17,3500.0,3.0
2952,2953,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-06-29,4000.0,0.5
2953,2954,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-06-30,4300.0,0.6
2954,2955,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-04-07,4000.0,0.2
2955,2956,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-06-07,4200.0,0.2
2956,2957,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-07-14,4000.0,0.2
2957,2958,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-07-27,4000.0,0.2
2958,2959,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-07-28,4500.0,0.1
2959,2960,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-07-31,4100.0,0.3
2960,2961,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-01-08,4085.0,0.5
2961,2962,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-03-08,4200.0,0.4
2962,2963,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-04-08,4000.0,0.7
2963,2964,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-08-22,4260.0,0.1
2964,2965,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-08-26,4500.0,0.1
2965,2966,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-08-28,4250.0,0.1
2966,2967,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-08-29,4000.0,0.2
2967,2968,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-04-09,3700.0,0.1
2968,2969,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-08-09,3250.0,0.2
2969,2970,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-06-10,3480.0,0.1
2970,2971,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-12-10,3000.0,0.5
2971,2972,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-10-13,3840.0,0.1
2972,2973,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-10-30,3510.0,0.5
2973,2974,Arhar (Tur/Red Gram),Gujarat,Mehsana,Kadi,2012-03-11,3600.0,0.2
2974,2975,Arhar (Tur/Red Gram),Gujarat,Mehsana,Vijapur,2012-01-21,3505.0,0.1
