,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
95103,95104,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-02-01,3550.0,22.8
95104,95105,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-03-01,3600.0,15.4
95105,95106,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-04-01,3550.0,22.5
95106,95107,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-05-01,3600.0,15.8
95107,95108,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-06-01,3650.0,18.1
95108,95109,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-07-01,3600.0,19.7
95109,95110,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-09-01,3600.0,14.8
95110,95111,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-10-01,3300.0,19.3
95111,95112,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-11-01,3525.0,5.5
95112,95113,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-12-01,3550.0,9.7
95113,95114,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-13,3550.0,7.7
95114,95115,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-16,3300.0,12.0
95115,95116,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-17,3350.0,8.2
95116,95117,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-18,3400.0,7.3
95117,95118,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-19,3200.0,4.7
95118,95119,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-20,3200.0,4.2
95119,95120,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-21,3500.0,12.1
95120,95121,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-23,3200.0,5.1
95121,95122,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-24,3400.0,8.5
95122,95123,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-25,3350.0,3.5
95123,95124,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-27,3300.0,2.7
95124,95125,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-30,3250.0,4.9
95125,95126,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-31,2900.0,3.0
95126,95127,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-01-02,3000.0,10.0
95127,95128,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-02-02,3000.0,1.7
95128,95129,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-03-02,2900.0,3.2
95129,95130,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-04-02,2850.0,4.6
95130,95131,Black Gram (Urd Beans),Gujarat,Patan,Patan,2012-06-02,3350.0,1.0
