,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
5197,5198,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-10-01,5800.0,2.0
5198,5199,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-03-20,6100.0,5.0
5199,5200,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-03-21,6100.0,21.0
5200,5201,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-04-20,6100.0,4.0
5201,5202,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-09-05,5800.0,10.0
5202,5203,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-05-18,6100.0,34.35
5203,5204,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-10-06,6100.0,16.0
5204,5205,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-06-23,5500.0,2.1
5205,5206,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-01-07,5500.0,0.7
5206,5207,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-07-20,5500.0,27.0
5207,5208,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-07-31,6300.0,20.0
5208,5209,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-07-08,1200.0,20.0
5209,5210,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-01-10,7100.0,3.0
5210,5211,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-05-10,6600.0,6.0
5211,5212,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-10-13,6500.0,3.5
5212,5213,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-10-17,6500.0,8.0
5213,5214,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-10-22,6200.0,5.5
5214,5215,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-07-11,6100.0,6.0
5215,5216,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-11-11,6100.0,8.0
5216,5217,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-11-24,6100.0,0.5
5217,5218,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-07-12,6100.0,2.0
5218,5219,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-09-12,6100.0,4.0
5219,5220,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-12-14,6100.0,2.0
5220,5221,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-12-15,6100.0,2.0
5221,5222,Arhar (Tur/Red Gram),Jharkhand,Dhanbad,Dhanbad,2012-12-16,6100.0,2.6
