,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
5337,5338,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2012-01-18,7000.0,5.0
5338,5339,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2012-08-02,6500.0,5.0
5339,5340,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2012-02-23,6500.0,5.0
5340,5341,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2012-09-03,7500.0,5.0
5341,5342,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2012-11-05,7500.0,5.0
5342,5343,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2012-05-30,6500.0,5.0
170815,170816,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-01-27,6400.0,6.0
170816,170817,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-04-02,6400.0,8.0
170817,170818,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-02-17,6400.0,8.0
170818,170819,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-09-03,6400.0,5.0
170819,170820,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-03-29,6400.0,5.0
170820,170821,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-03-05,6400.0,5.0
170821,170822,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-10-05,6400.0,5.0
170822,170823,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-05-31,6400.0,2.4
170823,170824,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-01-06,6400.0,2.4
170824,170825,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-07-17,6700.0,5.2
170825,170826,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-07-19,7000.0,5.3
170826,170827,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-07-22,7000.0,2.5
170827,170828,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-07-23,7000.0,5.4
170828,170829,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-07-26,7000.0,4.8
170829,170830,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-07-30,6600.0,4.5
170830,170831,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-05-08,6600.0,4.5
170831,170832,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-08-08,6500.0,5.6
170832,170833,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-10-08,6400.0,5.4
170833,170834,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-12-08,6600.0,5.6
170834,170835,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-08-16,6800.0,4.2
170835,170836,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-08-22,6500.0,3.4
170836,170837,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-08-24,6800.0,3.6
170837,170838,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-08-29,6500.0,6.3
170838,170839,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-02-09,6500.0,2.6
170839,170840,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-05-09,6500.0,3.6
170840,170841,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-08-09,6500.0,2.3
170841,170842,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-09-14,6500.0,5.2
170842,170843,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-09-17,6500.0,5.3
170843,170844,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-09-18,6500.0,5.6
170844,170845,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-01-10,6500.0,5.3
170845,170846,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-04-10,6500.0,5.1
170846,170847,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-05-10,6500.0,2.3
170847,170848,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-08-10,6500.0,2.3
170848,170849,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-10-14,6500.0,5.3
170849,170850,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-10-15,6500.0,6.3
170850,170851,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-10-18,6500.0,5.3
170851,170852,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-10-21,6500.0,2.3
170852,170853,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-10-25,6500.0,5.3
170853,170854,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-10-28,6500.0,5.3
170854,170855,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-10-29,6500.0,3.2
170855,170856,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-02-11,6500.0,4.5
170856,170857,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-04-11,6500.0,5.1
170857,170858,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-07-11,6500.0,3.2
170858,170859,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-11-15,6500.0,3.2
170859,170860,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-11-22,6500.0,5.6
170860,170861,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-11-23,6500.0,2.5
170861,170862,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-11-28,6500.0,5.3
170862,170863,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-03-12,6500.0,3.2
170863,170864,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-05-12,6500.0,5.3
170864,170865,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-10-12,6500.0,4.5
170865,170866,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-12-12,6500.0,3.2
170866,170867,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-12-17,6500.0,4.2
170867,170868,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-12-20,6500.0,4.3
170868,170869,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-12-28,6500.0,6.5
170869,170870,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-12-30,6500.0,5.3
170870,170871,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2013-12-31,6500.0,3.4
327198,327199,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-07-01,6500.0,5.3
327199,327200,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-01-13,6500.0,4.5
327200,327201,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-01-23,6500.0,5.2
327201,327202,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-01-26,6500.0,4.5
327202,327203,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-01-28,6500.0,5.2
327203,327204,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-01-29,6500.0,6.3
327204,327205,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-01-30,6500.0,4.2
327205,327206,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-01-31,6500.0,4.5
327206,327207,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-03-02,6500.0,5.2
327207,327208,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-07-02,6500.0,6.3
327208,327209,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-09-02,6500.0,6.3
327209,327210,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-12-02,6300.0,5.4
327210,327211,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-02-13,6300.0,3.4
327211,327212,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-02-18,6500.0,6.3
327212,327213,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-02-20,6500.0,4.2
327213,327214,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-02-26,6500.0,6.5
327214,327215,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-01-03,6500.0,5.6
327215,327216,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-03-03,6500.0,5.2
327216,327217,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-07-03,6500.0,8.3
327217,327218,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-08-03,6500.0,4.5
327218,327219,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-09-03,6500.0,4.2
327219,327220,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-11-03,6500.0,6.3
327220,327221,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-03-19,6500.0,4.5
327221,327222,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-03-22,6300.0,5.8
327222,327223,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-03-23,6500.0,3.5
327223,327224,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-03-26,6500.0,5.8
327224,327225,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-03-28,6400.0,5.4
327225,327226,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-03-29,6500.0,5.8
327226,327227,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-02-04,6500.0,4.2
327227,327228,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-04-04,6500.0,5.8
327228,327229,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-04,6500.0,4.2
327229,327230,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-07-04,6300.0,5.2
327230,327231,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-04-14,6500.0,4.5
327231,327232,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-04-16,6500.0,5.2
327232,327233,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-04-21,6500.0,6.5
327233,327234,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-04-25,6500.0,5.8
327234,327235,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-04-26,6500.0,4.2
327235,327236,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-04-27,6500.0,5.8
327236,327237,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-02-05,6500.0,5.8
327237,327238,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-03-05,6400.0,4.2
327238,327239,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-04-05,6500.0,5.3
327239,327240,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-05,6500.0,5.4
327240,327241,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-06-05,6500.0,4.8
327241,327242,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-07-05,6500.0,6.3
327242,327243,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-13,6500.0,4.9
327243,327244,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-14,6500.0,8.5
327244,327245,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-16,6500.0,8.5
327245,327246,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-20,6500.0,4.5
327246,327247,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-22,6500.0,8.5
327247,327248,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-26,6500.0,5.8
327248,327249,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-27,6500.0,8.5
327249,327250,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-29,6500.0,8.5
327250,327251,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-06-15,6500.0,6.8
327251,327252,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-06-16,6500.0,6.5
327252,327253,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-06-17,6500.0,4.2
327253,327254,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-06-18,6500.0,5.6
327254,327255,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-06-20,6500.0,8.2
327255,327256,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-06-24,6500.0,5.2
327256,327257,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-06-27,6500.0,4.2
327257,327258,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-06-28,6500.0,8.5
327258,327259,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-01-07,6500.0,5.2
327259,327260,Arhar (Tur/Red Gram),Jharkhand,Giridih,Giridih,2014-05-07,6500.0,4.2
