,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
327338,327339,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-11-01,4325.0,1.7
327339,327340,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-13,4325.0,1.9
327340,327341,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-14,4325.0,1.7
327341,327342,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-15,4330.0,2.2
327342,327343,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-16,4330.0,1.7
327343,327344,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-17,4330.0,1.5
327344,327345,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-18,4330.0,2.2
327345,327346,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-20,4330.0,2.4
327346,327347,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-21,4330.0,1.8
327347,327348,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-22,4335.0,2.5
327348,327349,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-23,4340.0,1.7
327349,327350,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-24,4340.0,2.2
327350,327351,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-25,4340.0,1.9
327351,327352,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-27,4340.0,1.5
327352,327353,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-28,4350.0,1.0
327353,327354,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-29,4350.0,0.9
327354,327355,Arhar (Tur/Red Gram),Jharkhand,Godda,Godda,2014-01-30,4350.0,1.2
