,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
5391,5392,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-02-13,5800.0,15.0
5392,5393,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-03-14,6000.0,12.0
5393,5394,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-03-18,5600.0,15.0
5394,5395,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-03-20,5800.0,14.0
5395,5396,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-03-21,5600.0,16.0
5396,5397,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-03-22,5400.0,14.0
5397,5398,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-03-23,5800.0,15.0
5398,5399,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-03-24,5800.0,12.0
5399,5400,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-16,5800.0,10.0
5400,5401,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-17,5800.0,12.0
5401,5402,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-18,4000.0,13.0
5402,5403,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-19,5700.0,14.0
5403,5404,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-20,5600.0,12.0
5404,5405,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-21,5800.0,15.0
5405,5406,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-23,5800.0,12.0
5406,5407,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-24,5800.0,15.0
5407,5408,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-26,5800.0,13.0
5408,5409,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-27,5500.0,10.0
5409,5410,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-28,5500.0,14.0
5410,5411,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-03-05,5600.0,8.0
5411,5412,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-04-05,5800.0,13.0
5412,5413,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-05-05,5800.0,13.0
5413,5414,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-06-05,5800.0,10.0
5414,5415,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-07-05,5800.0,12.0
5415,5416,Arhar (Tur/Red Gram),Jharkhand,Hazaribagh,Hazaribagh,2012-08-05,5800.0,10.0
