,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
5572,5573,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-08-01,6200.0,2.0
5573,5574,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-10-01,6000.0,1.0
5574,5575,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-01-24,6000.0,2.0
5575,5576,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-02,5700.0,2.0
5576,5577,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-02-13,5800.0,2.0
5577,5578,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-03,6200.0,2.0
5578,5579,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-10-03,6300.0,2.0
5579,5580,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-15,6400.0,1.0
5580,5581,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-16,6300.0,1.0
5581,5582,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-19,6300.0,2.0
5582,5583,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-20,6300.0,2.0
5583,5584,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-21,6300.0,4.0
5584,5585,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-01-04,6000.0,2.0
5585,5586,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-08-04,5900.0,2.0
5586,5587,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-04-14,6300.0,3.0
5587,5588,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-04-25,6200.0,2.0
5588,5589,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-02-05,6200.0,2.0
5589,5590,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-05,6200.0,1.0
5590,5591,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-05-05,6300.0,5.0
5591,5592,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-06-05,6300.0,2.0
5592,5593,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-07-05,6200.0,2.0
5593,5594,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-05-13,6200.0,3.0
5594,5595,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-05-14,6300.0,2.0
5595,5596,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-05-15,6000.0,2.0
5596,5597,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-01-06,6300.0,2.0
5597,5598,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-06,6300.0,2.0
5598,5599,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-04-06,6300.0,2.0
5599,5600,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-06-06,6200.0,3.0
5600,5601,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-09-06,6200.0,2.0
5601,5602,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-11-06,6300.0,4.0
5602,5603,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-06-13,6300.0,4.0
5603,5604,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-06-19,6200.0,1.0
5604,5605,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-06-21,6300.0,3.0
5605,5606,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-02-07,6600.0,2.0
5606,5607,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-04-07,6400.0,1.5
5607,5608,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-07-13,7000.0,4.0
5608,5609,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-07-14,7000.0,4.0
5609,5610,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-07-17,7000.0,3.0
5610,5611,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-07-20,6800.0,2.0
5611,5612,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-02-08,6700.0,2.0
5612,5613,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-05-08,7000.0,2.0
5613,5614,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-07-08,7300.0,1.5
5614,5615,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-12-08,7700.0,1.0
5615,5616,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-08-15,7000.0,2.0
5616,5617,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-08-17,7200.0,2.0
5617,5618,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-08-19,7300.0,1.0
5618,5619,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-08-20,7300.0,2.0
5619,5620,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-08-21,7400.0,4.0
5620,5621,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-08-22,7600.0,3.0
5621,5622,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-09,7000.0,3.0
5622,5623,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-09-13,7000.0,2.0
5623,5624,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-09-19,7000.0,3.0
5624,5625,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-09-20,7000.0,3.0
5625,5626,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-03-10,6800.0,2.0
5626,5627,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-11-10,6900.0,3.0
5627,5628,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-10-17,6900.0,4.0
5628,5629,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-01-11,7300.0,2.0
5629,5630,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-04-12,7200.0,3.0
5630,5631,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-07-12,7000.0,2.0
5631,5632,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-12-13,7200.0,3.0
5632,5633,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-12-15,7200.0,3.0
5633,5634,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-12-17,7300.0,3.0
5634,5635,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-12-24,7300.0,2.0
5635,5636,Arhar (Tur/Red Gram),Jharkhand,Koderma,Koderma,2012-12-25,7300.0,2.0
46125,46126,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-08-01,3800.0,2.0
46126,46127,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-10-01,4600.0,2.0
46127,46128,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-12-01,3600.0,2.0
46128,46129,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-01-25,4400.0,2.0
46129,46130,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-06-02,4700.0,3.0
46130,46131,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-02-14,4400.0,2.0
46131,46132,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-04-03,4300.0,3.0
46132,46133,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-04-15,4700.0,4.0
46133,46134,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-04-19,4600.0,2.0
46134,46135,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-02-05,4800.0,3.0
46135,46136,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-03-05,5000.0,2.0
46136,46137,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-05-05,5000.0,3.0
46137,46138,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-05-14,5100.0,3.0
46138,46139,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-05-15,5000.0,3.0
46139,46140,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-05-17,5000.0,4.0
46140,46141,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-02-07,5600.0,2.0
46141,46142,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-03-07,5600.0,2.0
46142,46143,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-12-07,6600.0,3.0
46143,46144,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-07-14,6800.0,3.0
46144,46145,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-07-15,6900.0,4.0
46145,46146,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-07-17,7000.0,4.0
46146,46147,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-07-18,6700.0,4.0
46147,46148,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-07-20,6600.0,2.0
46148,46149,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-02-08,6800.0,2.0
46149,46150,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-03-08,6800.0,2.0
46150,46151,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-05-08,6800.0,2.0
46151,46152,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-07-08,7300.0,1.0
46152,46153,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-10-08,10000.0,1.0
46153,46154,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-12-08,6400.0,2.0
46154,46155,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-08-13,6800.0,2.0
46155,46156,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-08-14,6800.0,2.0
46156,46157,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-08-19,7000.0,2.0
46157,46158,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-08-20,7000.0,2.0
46158,46159,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-08-22,7000.0,2.0
46159,46160,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-03-09,6600.0,3.0
46160,46161,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-12-09,6300.0,2.0
46161,46162,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-09-13,6400.0,2.0
46162,46163,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-09-17,6600.0,2.0
46163,46164,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-09-19,6600.0,4.0
46164,46165,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-09-20,6500.0,4.0
46165,46166,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-09-21,6500.0,3.0
46166,46167,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-01-10,6500.0,3.0
46167,46168,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-06-10,6500.0,4.0
46168,46169,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-08-10,6600.0,4.0
46169,46170,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-10-10,6800.0,4.0
46170,46171,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-11-10,6600.0,3.0
46171,46172,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-10-13,6800.0,2.0
46172,46173,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-10-17,6600.0,4.0
46173,46174,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-10-20,6600.0,2.0
46174,46175,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-01-11,6600.0,3.0
46175,46176,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-06-11,6800.0,5.0
46176,46177,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-08-11,6800.0,4.0
46177,46178,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-02-12,6800.0,2.0
46178,46179,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-04-12,6800.0,3.0
46179,46180,Bengal Gram(Gram),Jharkhand,Koderma,Koderma,2012-12-13,6800.0,4.0
