,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
171178,171179,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2013-05-31,4850.0,15.0
171179,171180,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2013-06-22,5500.0,15.0
205714,205715,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2013-05-25,3400.0,1.0
327888,327889,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-01-10,6800.0,0.0
327889,327890,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-04-10,6900.0,0.0
327890,327891,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-06-10,6900.0,0.0
327891,327892,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-07-10,6900.0,0.0
327892,327893,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-08-10,6900.0,0.0
327893,327894,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-09-10,6900.0,0.0
327894,327895,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-10,6950.0,0.0
327895,327896,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-10,6940.0,0.0
327896,327897,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-13,6900.0,0.0
327897,327898,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-14,6910.0,0.0
327898,327899,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-15,6970.0,0.0
327899,327900,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-16,6900.0,0.0
327900,327901,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-17,6900.0,0.0
327901,327902,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-18,6920.0,0.0
327902,327903,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-20,6900.0,0.0
327903,327904,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-21,6910.0,0.0
327904,327905,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-22,6910.0,0.0
327905,327906,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-23,6900.0,0.0
327906,327907,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-24,6880.0,0.0
327907,327908,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-25,6970.0,0.0
327908,327909,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-27,6910.0,0.0
327909,327910,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-28,6960.0,0.0
327910,327911,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-29,6930.0,0.0
327911,327912,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-30,6920.0,0.0
327912,327913,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-31,6940.0,0.0
327913,327914,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-01-11,6900.0,0.0
327914,327915,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-03-11,6930.0,0.0
327915,327916,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-04-11,6920.0,0.0
327916,327917,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-05-11,6910.0,0.0
327917,327918,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-06-11,6920.0,0.0
327918,327919,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-07-11,6910.0,0.0
327919,327920,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-08-11,6910.0,0.0
327920,327921,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-11,6950.0,0.0
327921,327922,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-11,6960.0,0.0
327922,327923,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-11,6970.0,0.0
327923,327924,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-13,6970.0,0.0
327924,327925,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-14,6910.0,0.0
327925,327926,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-15,6940.0,0.0
327926,327927,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-17,6920.0,0.0
327927,327928,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-18,6920.0,0.0
327928,327929,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-19,6910.0,0.0
327929,327930,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-20,6920.0,0.0
327930,327931,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-21,6910.0,0.0
327931,327932,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-22,6920.0,0.0
327932,327933,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-24,6930.0,0.0
327933,327934,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-25,6940.0,0.0
327934,327935,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-26,6950.0,0.0
327935,327936,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-27,6950.0,0.0
327936,327937,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-28,6960.0,0.0
327937,327938,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-29,6930.0,0.0
327938,327939,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-01-12,6910.0,0.0
327939,327940,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-02-12,6920.0,0.0
327940,327941,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-03-12,6930.0,0.0
327941,327942,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-04-12,6940.0,0.0
327942,327943,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-05-12,6950.0,0.0
327943,327944,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-06-12,6960.0,0.0
327944,327945,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-08-12,6930.0,0.0
327945,327946,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-09-12,6910.0,0.0
327946,327947,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-10-12,6920.0,0.0
327947,327948,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-11-12,6930.0,0.0
327948,327949,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-12,6910.0,0.0
327949,327950,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-13,6910.0,0.0
327950,327951,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-15,6920.0,0.0
327951,327952,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-16,6940.0,0.0
327952,327953,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-17,6920.0,0.0
327953,327954,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-18,6930.0,0.0
327954,327955,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-19,6940.0,0.0
327955,327956,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-20,6980.0,0.0
327956,327957,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-22,6970.0,0.0
327957,327958,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-23,6920.0,0.0
327958,327959,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-24,6910.0,0.0
327959,327960,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-25,6920.0,0.0
327960,327961,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-26,6930.0,0.0
327961,327962,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-27,6930.0,0.0
327962,327963,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-29,6930.0,0.0
327963,327964,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-30,6940.0,0.0
327964,327965,Arhar (Tur/Red Gram),Jharkhand,Palamu,Daltenganj,2014-12-31,6950.0,0.0
355637,355638,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-01-10,4700.0,0.0
355638,355639,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-04-10,4600.0,0.0
355639,355640,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-07-10,4800.0,0.0
355640,355641,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-08-10,4800.0,0.0
355641,355642,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-09-10,4800.0,0.0
355642,355643,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-10,4850.0,0.0
355643,355644,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-10,4840.0,0.0
355644,355645,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-13,4850.0,0.0
355645,355646,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-14,4840.0,0.0
355646,355647,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-15,4820.0,0.0
355647,355648,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-16,4800.0,0.0
355648,355649,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-17,4850.0,0.0
355649,355650,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-18,4870.0,0.0
355650,355651,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-20,4870.0,0.0
355651,355652,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-21,4860.0,0.0
355652,355653,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-22,4870.0,0.0
355653,355654,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-23,4800.0,0.0
355654,355655,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-24,4800.0,0.0
355655,355656,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-25,4860.0,0.0
355656,355657,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-27,4820.0,0.0
355657,355658,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-28,4880.0,0.0
355658,355659,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-29,4860.0,0.0
355659,355660,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-30,4860.0,0.0
355660,355661,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-31,4860.0,0.0
355661,355662,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-01-11,4850.0,0.0
355662,355663,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-03-11,4850.0,0.0
355663,355664,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-04-11,4830.0,0.0
355664,355665,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-05-11,4820.0,0.0
355665,355666,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-06-11,4830.0,0.0
355666,355667,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-07-11,4840.0,0.0
355667,355668,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-08-11,4850.0,0.0
355668,355669,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-10-11,4870.0,0.0
355669,355670,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-11,4880.0,0.0
355670,355671,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-12-11,4890.0,0.0
355671,355672,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-13,4810.0,0.0
355672,355673,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-14,4870.0,0.0
355673,355674,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-15,4860.0,0.0
355674,355675,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-17,4830.0,0.0
355675,355676,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-18,4880.0,0.0
355676,355677,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-19,4820.0,0.0
355677,355678,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-20,4850.0,0.0
355678,355679,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-21,4880.0,0.0
355679,355680,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-22,4890.0,0.0
355680,355681,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-24,4810.0,0.0
355681,355682,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-25,4820.0,0.0
355682,355683,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-26,4830.0,0.0
355683,355684,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-27,4830.0,0.0
355684,355685,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-28,4840.0,0.0
355685,355686,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-11-29,4820.0,0.0
355686,355687,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-01-12,4850.0,0.0
355687,355688,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-02-12,4860.0,0.0
355688,355689,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-03-12,4870.0,0.0
355689,355690,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-04-12,4880.0,0.0
355690,355691,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-05-12,4890.0,0.0
355691,355692,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-06-12,4810.0,0.0
355692,355693,Bengal Gram(Gram),Jharkhand,Palamu,Daltenganj,2014-08-12,4860.0,0.0
