,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
7680,7681,Arhar (Tur/Red Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-02,5300.0,0.0
7681,7682,Arhar (Tur/Red Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-03-22,5500.0,0.0
7682,7683,Arhar (Tur/Red Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-03-05,5800.0,0.0
7683,7684,Arhar (Tur/Red Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-04-05,6875.0,0.0
7684,7685,Arhar (Tur/Red Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-01-08,5500.0,0.0
7685,7686,Arhar (Tur/Red Gram),Karnataka,Chamrajnagar,Gundlupet,2012-03-17,2000.0,4.0
48051,48052,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-02-01,2250.0,0.0
48052,48053,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-02-02,4900.0,0.0
48053,48054,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-02,4240.0,0.0
48054,48055,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-11-02,2800.0,4.0
48055,48056,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-02-04,4000.0,0.0
48056,48057,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-04-16,5000.0,0.0
48057,48058,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-03-05,6250.0,0.0
48058,48059,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-04-05,5135.0,0.0
48059,48060,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-12-24,5250.0,0.0
48060,48061,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2012-02-17,3800.0,3.0
48061,48062,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2012-03-03,3000.0,5.0
97719,97720,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-07,4000.0,4.0
97720,97721,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-10-07,4000.0,4.0
97721,97722,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-11-07,3500.0,6.0
97722,97723,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-17,3900.0,4.0
97723,97724,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-18,3800.0,3.0
97724,97725,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-19,3900.0,3.0
97725,97726,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-21,3200.0,4.0
97726,97727,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-25,3200.0,5.0
97727,97728,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-26,3700.0,2.0
97728,97729,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-31,3500.0,7.0
97729,97730,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-08-16,3700.0,1.0
97730,97731,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Kollegal,2012-07-16,4000.0,6.0
131258,131259,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-02-04,6000.0,0.0
131259,131260,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-04-16,5000.0,0.0
131260,131261,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-03-05,6200.0,0.0
131261,131262,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-06-23,6700.0,0.0
131262,131263,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-06-29,4000.0,6.0
131263,131264,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-06-30,3636.0,5.0
131264,131265,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-02-07,3250.0,8.0
131265,131266,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-05-07,2000.0,5.0
131266,131267,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-06-07,3250.0,1.0
131267,131268,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-10-07,2500.0,5.0
131268,131269,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-11-07,3000.0,1.0
131269,131270,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-12-07,3500.0,1.0
131270,131271,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-14,3600.0,3.0
131271,131272,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-24,2950.0,1.0
131272,131273,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-07-25,3900.0,3.0
131273,131274,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2012-12-24,5800.0,0.0
172616,172617,Arhar (Tur/Red Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-01-21,5800.0,0.0
207320,207321,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-01-21,6750.0,0.0
207321,207322,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-01-18,4400.0,1.0
207322,207323,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-01-28,3500.0,0.0
207323,207324,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-06-02,4250.0,1.0
207324,207325,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-10-02,4500.0,0.0
207325,207326,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-02-15,3604.0,1.0
207326,207327,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-02-03,3095.0,3.0
207327,207328,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-09-03,4200.0,1.0
207328,207329,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-12-03,2900.0,2.0
207329,207330,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-03-23,4200.0,6.0
207330,207331,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-05-31,4300.0,0.0
207331,207332,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-11-07,4100.0,0.0
207332,207333,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2013-08-31,4500.0,1.0
260559,260560,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-07-20,3600.0,6.0
260560,260561,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-07-24,3800.0,1.0
260561,260562,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-07-31,3500.0,8.0
260562,260563,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-01-08,3500.0,4.0
260563,260564,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-08-19,4000.0,5.0
260564,260565,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-08-21,3000.0,19.0
260565,260566,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Kollegal,2013-07-20,2500.0,9.0
260566,260567,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Kollegal,2013-07-26,3000.0,9.0
260567,260568,Black Gram (Urd Beans),Karnataka,Chamrajnagar,Kollegal,2013-12-08,3000.0,1.0
289888,289889,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-07-15,4000.0,10.0
289889,289890,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-07-18,4000.0,5.0
289890,289891,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-07-24,3500.0,1.0
289891,289892,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-07-31,4000.0,2.0
289892,289893,Green Gram (Moong),Karnataka,Chamrajnagar,Chamaraj Nagar,2013-08-21,3500.0,1.0
289893,289894,Green Gram (Moong),Karnataka,Chamrajnagar,Gundlupet,2013-03-01,3800.0,0.0
289894,289895,Green Gram (Moong),Karnataka,Chamrajnagar,Gundlupet,2013-08-07,4100.0,0.0
289895,289896,Green Gram (Moong),Karnataka,Chamrajnagar,Gundlupet,2013-08-19,6000.0,0.0
289896,289897,Green Gram (Moong),Karnataka,Chamrajnagar,Gundlupet,2013-08-31,6500.0,1.0
289897,289898,Green Gram (Moong),Karnataka,Chamrajnagar,Kollegal,2013-07-22,3200.0,16.0
289898,289899,Green Gram (Moong),Karnataka,Chamrajnagar,Kollegal,2013-12-08,2800.0,9.0
329828,329829,Arhar (Tur/Red Gram),Karnataka,Chamrajnagar,Gundlupet,2014-01-18,3400.0,16.0
329829,329830,Arhar (Tur/Red Gram),Karnataka,Chamrajnagar,Gundlupet,2014-03-17,2700.0,2.0
357685,357686,Bengal Gram(Gram),Karnataka,Chamrajnagar,Chamaraj Nagar,2014-12-16,3400.0,35.0
357686,357687,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2014-07-01,3883.0,1.0
357687,357688,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2014-09-01,3800.0,0.0
357688,357689,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2014-10-01,3850.0,2.0
357689,357690,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2014-01-17,3800.0,1.0
357690,357691,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2014-01-24,3000.0,1.0
357691,357692,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2014-01-31,3600.0,0.0
357692,357693,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2014-02-13,3500.0,0.0
357693,357694,Bengal Gram(Gram),Karnataka,Chamrajnagar,Gundlupet,2014-02-21,3400.0,0.0
