,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
7717,7718,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-02-01,2600.0,1.0
7718,7719,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-03-01,2690.0,0.0
7719,7720,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-04-01,2626.0,0.0
7720,7721,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-05-01,2633.0,0.0
7721,7722,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-06-01,2640.0,0.0
7722,7723,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-07-01,2670.0,0.0
7723,7724,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-09-01,2626.0,0.0
7724,7725,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-10-01,2630.0,0.0
7725,7726,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-11-01,2500.0,0.0
7726,7727,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-01-13,2701.0,0.0
7727,7728,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-01-16,2666.0,1.0
7728,7729,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-01-17,2670.0,0.0
7729,7730,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-01-19,2656.0,0.0
7730,7731,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-01-21,2450.0,0.0
7731,7732,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-01-24,2670.0,0.0
7732,7733,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-01-25,2426.0,0.0
7733,7734,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-01-27,2700.0,0.0
7734,7735,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-01-28,2551.0,0.0
7735,7736,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-01-31,2706.0,1.0
7736,7737,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-03-02,2666.0,0.0
7737,7738,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-04-02,2150.0,0.0
7738,7739,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-08-02,2530.0,0.0
7739,7740,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2012-02-14,2300.0,0.0
7740,7741,Arhar (Tur/Red Gram),Karnataka,Davangere,Harappana Halli,2012-01-21,2900.0,4.0
7741,7742,Arhar (Tur/Red Gram),Karnataka,Davangere,Harappana Halli,2012-09-02,2400.0,16.0
48112,48113,Bengal Gram(Gram),Karnataka,Davangere,Davangere,2012-12-03,5000.0,2.0
48113,48114,Bengal Gram(Gram),Karnataka,Davangere,Davangere,2012-04-13,3600.0,5.0
48114,48115,Bengal Gram(Gram),Karnataka,Davangere,Davangere,2012-04-20,4700.0,10.0
48115,48116,Bengal Gram(Gram),Karnataka,Davangere,Davangere,2012-04-27,4500.0,35.0
48116,48117,Bengal Gram(Gram),Karnataka,Davangere,Davangere,2012-04-05,4900.0,17.0
48117,48118,Bengal Gram(Gram),Karnataka,Davangere,Davangere,2012-11-05,5300.0,3.0
48118,48119,Bengal Gram(Gram),Karnataka,Davangere,Davangere,2012-05-18,5300.0,22.0
97732,97733,Black Gram (Urd Beans),Karnataka,Davangere,Davangere,2012-12-03,6100.0,40.0
97733,97734,Black Gram (Urd Beans),Karnataka,Davangere,Davangere,2012-05-04,5800.0,2.0
97734,97735,Black Gram (Urd Beans),Karnataka,Davangere,Davangere,2012-04-13,5300.0,8.0
97735,97736,Black Gram (Urd Beans),Karnataka,Davangere,Davangere,2012-04-20,5300.0,14.0
97736,97737,Black Gram (Urd Beans),Karnataka,Davangere,Davangere,2012-04-27,5900.0,6.0
97737,97738,Black Gram (Urd Beans),Karnataka,Davangere,Davangere,2012-04-05,6900.0,45.0
97738,97739,Black Gram (Urd Beans),Karnataka,Davangere,Davangere,2012-11-05,6900.0,8.0
97739,97740,Black Gram (Urd Beans),Karnataka,Davangere,Davangere,2012-05-18,6900.0,23.0
97740,97741,Black Gram (Urd Beans),Karnataka,Davangere,Davangere,2012-05-25,6900.0,15.0
131318,131319,Green Gram (Moong),Karnataka,Davangere,Davangere,2012-12-03,5100.0,6.0
131319,131320,Green Gram (Moong),Karnataka,Davangere,Davangere,2012-05-04,5200.0,1.0
131320,131321,Green Gram (Moong),Karnataka,Davangere,Davangere,2012-04-13,5300.0,0.0
131321,131322,Green Gram (Moong),Karnataka,Davangere,Davangere,2012-05-25,5300.0,1.0
131322,131323,Green Gram (Moong),Karnataka,Davangere,Harappana Halli,2012-07-14,4500.0,10.0
172621,172622,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-07-01,2202.0,0.0
172622,172623,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-10-01,2585.0,0.0
172623,172624,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-15,2350.0,0.0
172624,172625,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-16,2765.0,0.0
172625,172626,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-21,3045.0,0.0
172626,172627,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-22,3050.0,0.0
172627,172628,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-23,3050.0,2.0
172628,172629,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-24,2685.0,1.0
172629,172630,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-28,2920.0,1.0
172630,172631,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-29,3006.0,0.0
172631,172632,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-30,3206.0,0.0
172632,172633,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-31,2200.0,0.0
172633,172634,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-01-02,2253.0,0.0
172634,172635,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-04-02,2959.0,1.0
172635,172636,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-06-02,3100.0,0.0
172636,172637,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-08-02,3060.0,1.0
172637,172638,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-02-14,2647.0,0.0
172638,172639,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-08-03,2401.0,0.0
172639,172640,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2013-03-23,3426.0,0.0
289935,289936,Green Gram (Moong),Karnataka,Davangere,Harappana Halli,2013-12-08,4000.0,2.0
289936,289937,Green Gram (Moong),Karnataka,Davangere,Harappana Halli,2013-08-19,4892.0,2.0
289937,289938,Green Gram (Moong),Karnataka,Davangere,Harappana Halli,2013-08-21,4000.0,1.0
289938,289939,Green Gram (Moong),Karnataka,Davangere,Harappana Halli,2013-08-22,5000.0,5.0
289939,289940,Green Gram (Moong),Karnataka,Davangere,Harappana Halli,2013-08-23,4000.0,2.0
289940,289941,Green Gram (Moong),Karnataka,Davangere,Harappana Halli,2013-08-29,4705.0,5.0
289941,289942,Green Gram (Moong),Karnataka,Davangere,Harappana Halli,2013-08-30,4800.0,2.0
289942,289943,Green Gram (Moong),Karnataka,Davangere,Harappana Halli,2013-08-31,5600.0,24.0
289943,289944,Green Gram (Moong),Karnataka,Davangere,Harappana Halli,2013-05-10,5600.0,6.0
329831,329832,Arhar (Tur/Red Gram),Karnataka,Davangere,Davangere,2014-03-01,3089.0,0.0
