,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
8989,8990,Arhar (Tur/Red Gram),Karnataka,Haveri,Haveri,2012-06-20,1600.0,16.0
8990,8991,Arhar (Tur/Red Gram),Karnataka,Haveri,Hirekerur,2012-08-27,3000.0,10.0
8991,8992,Arhar (Tur/Red Gram),Karnataka,Haveri,Ranebennur,2012-10-19,2275.0,26.0
8992,8993,Arhar (Tur/Red Gram),Karnataka,Haveri,Ranebennur,2012-11-23,2600.0,14.0
8993,8994,Arhar (Tur/Red Gram),Karnataka,Haveri,Ranebennur,2012-11-30,1470.0,20.0
8994,8995,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-03-01,2065.0,0.0
8995,8996,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-07-01,1924.0,0.0
8996,8997,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-09-01,2364.0,0.0
8997,8998,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-01-24,2417.0,0.0
8998,8999,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-01-28,2418.0,1.0
8999,9000,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-01-30,2482.0,1.0
9000,9001,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-02-02,2547.0,1.0
9001,9002,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-04-02,2510.0,0.0
9002,9003,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-02-13,2373.0,0.0
9003,9004,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-02-16,2360.0,0.0
9004,9005,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-05-03,2177.0,0.0
9005,9006,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-03-15,1750.0,0.0
9006,9007,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-05-22,1980.0,0.0
9007,9008,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2012-02-07,2289.0,0.0
49414,49415,Bengal Gram(Gram),Karnataka,Haveri,Haveri,2012-08-23,4560.0,75.0
98173,98174,Black Gram (Urd Beans),Karnataka,Haveri,Hanagal,2012-05-24,2000.0,11.0
98174,98175,Black Gram (Urd Beans),Karnataka,Haveri,Ranebennur,2012-07-12,5260.0,26.0
132454,132455,Green Gram (Moong),Karnataka,Haveri,Hanagal,2012-09-18,3000.0,2.0
132455,132456,Green Gram (Moong),Karnataka,Haveri,Haveri,2012-04-26,2000.0,1.0
132456,132457,Green Gram (Moong),Karnataka,Haveri,Savanur,2012-03-05,3167.0,0.0
132457,132458,Green Gram (Moong),Karnataka,Haveri,Savanur,2012-06-14,2811.0,0.0
132458,132459,Green Gram (Moong),Karnataka,Haveri,Savanur,2012-11-09,4421.0,0.0
132459,132460,Green Gram (Moong),Karnataka,Haveri,Savanur,2012-09-15,4640.0,0.0
132460,132461,Green Gram (Moong),Karnataka,Haveri,Savanur,2012-09-16,4230.0,0.0
132461,132462,Green Gram (Moong),Karnataka,Haveri,Savanur,2012-09-17,4230.0,0.0
132462,132463,Green Gram (Moong),Karnataka,Haveri,Savanur,2012-09-24,4270.0,0.0
132463,132464,Green Gram (Moong),Karnataka,Haveri,Savanur,2012-10-25,3437.0,0.0
173323,173324,Arhar (Tur/Red Gram),Karnataka,Haveri,Haveri,2013-01-02,3400.0,16.0
173324,173325,Arhar (Tur/Red Gram),Karnataka,Haveri,Haveri,2013-05-02,2500.0,2.0
173325,173326,Arhar (Tur/Red Gram),Karnataka,Haveri,Haveri,2013-02-28,2700.0,0.0
173326,173327,Arhar (Tur/Red Gram),Karnataka,Haveri,Haveri,2013-03-28,4200.0,72.0
173327,173328,Arhar (Tur/Red Gram),Karnataka,Haveri,Hirekerur,2013-05-10,2953.0,19.0
173328,173329,Arhar (Tur/Red Gram),Karnataka,Haveri,Ranebennur,2013-08-02,2925.0,0.0
173329,173330,Arhar (Tur/Red Gram),Karnataka,Haveri,Ranebennur,2013-01-03,3100.0,10.0
173330,173331,Arhar (Tur/Red Gram),Karnataka,Haveri,Ranebennur,2013-12-27,3500.0,4.0
173331,173332,Arhar (Tur/Red Gram),Karnataka,Haveri,Savanur,2013-04-04,2760.0,0.0
260828,260829,Black Gram (Urd Beans),Karnataka,Haveri,Ranebennur,2013-05-17,5900.0,1.0
290522,290523,Green Gram (Moong),Karnataka,Haveri,Haveri,2013-08-27,5650.0,86.0
290523,290524,Green Gram (Moong),Karnataka,Haveri,Haveri,2013-08-29,5680.0,15.0
290524,290525,Green Gram (Moong),Karnataka,Haveri,Haveri,2013-03-09,5980.0,5.0
290525,290526,Green Gram (Moong),Karnataka,Haveri,Haveri,2013-06-09,5975.0,4.0
290526,290527,Green Gram (Moong),Karnataka,Haveri,Haveri,2013-07-09,5975.0,4.0
290527,290528,Green Gram (Moong),Karnataka,Haveri,Ranebennur,2013-08-02,7000.0,6.0
290528,290529,Green Gram (Moong),Karnataka,Haveri,Ranebennur,2013-05-04,4500.0,57.0
290529,290530,Green Gram (Moong),Karnataka,Haveri,Ranebennur,2013-06-21,3200.0,2.0
290530,290531,Green Gram (Moong),Karnataka,Haveri,Ranebennur,2013-02-08,6000.0,0.0
290531,290532,Green Gram (Moong),Karnataka,Haveri,Ranebennur,2013-12-13,3301.0,4.0
290532,290533,Green Gram (Moong),Karnataka,Haveri,Savanur,2013-03-09,4179.0,0.0
290533,290534,Green Gram (Moong),Karnataka,Haveri,Savanur,2013-09-16,4408.0,0.0
