,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
9008,9009,Arhar (Tur/Red Gram),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-03-14,4480.0,0.1
9009,9010,Arhar (Tur/Red Gram),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-03-22,3515.0,0.2
9010,9011,Arhar (Tur/Red Gram),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-09-21,4500.0,0.1
98175,98176,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-02-01,3315.0,34.0
98176,98177,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-03-01,3660.0,47.0
98177,98178,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-04-01,3550.0,23.0
98178,98179,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-05-01,3550.0,8.0
98179,98180,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-06-01,3410.0,25.0
98180,98181,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-01,3500.0,7.0
98181,98182,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-09-01,3680.0,4.0
98182,98183,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-10-01,3255.0,2.0
98183,98184,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-11-01,3425.0,3.0
98184,98185,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-12-01,3395.0,6.0
98185,98186,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-16,3285.0,0.7
98186,98187,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-17,3170.0,1.1
98187,98188,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-18,3375.0,0.2
98188,98189,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-19,3410.0,0.2
98189,98190,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-20,3225.0,0.6
98190,98191,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-21,3150.0,0.8
98191,98192,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-23,3300.0,0.4
98192,98193,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-24,3095.0,0.6
98193,98194,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-25,3375.0,0.2
98194,98195,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-27,3305.0,0.6
98195,98196,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-30,3300.0,0.3
98196,98197,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-31,3325.0,0.2
98197,98198,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-02,3380.0,0.1
98198,98199,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-04-02,3055.0,0.1
98199,98200,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-06-02,3300.0,0.3
98200,98201,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-10-02,3250.0,0.3
98201,98202,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-11-02,2750.0,0.2
98202,98203,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-02-15,3050.0,0.2
98203,98204,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-02-16,2810.0,0.9
98204,98205,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-02-18,2865.0,0.2
98205,98206,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-02-23,3010.0,0.1
98206,98207,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-02-25,3370.0,0.2
98207,98208,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-02-27,2925.0,0.2
98208,98209,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-02-03,3255.0,0.2
98209,98210,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-03-03,3310.0,0.2
98210,98211,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-03-21,2250.0,0.3
98211,98212,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-03-04,2000.0,0.1
98212,98213,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-06-04,2330.0,0.1
98213,98214,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-06-15,3510.0,0.3
98214,98215,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-06-23,3210.0,0.3
98215,98216,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-05-07,3500.0,0.1
98216,98217,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-14,3650.0,0.1
98217,98218,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-16,3185.0,0.8
98218,98219,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-17,3275.0,0.7
98219,98220,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-18,2400.0,0.3
98220,98221,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-20,3740.0,0.4
98221,98222,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-21,3735.0,0.1
98222,98223,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-24,3735.0,0.5
98223,98224,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-25,3460.0,0.2
98224,98225,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-26,3385.0,0.4
98225,98226,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-07-30,4005.0,0.2
98226,98227,Black Gram (Urd Beans),Karnataka,Karwar(Uttar Kannad),Siddapur,2012-01-08,3075.0,0.3
