,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
9054,9055,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-03-01,5898.0,0.0
9055,9056,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-02-14,5612.0,0.0
9056,9057,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-02-23,4400.0,1.0
9057,9058,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-06-28,6091.0,0.0
9058,9059,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-07-16,5168.0,1.0
9059,9060,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-07-18,3050.0,0.0
9060,9061,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-07-28,6200.0,0.0
9061,9062,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-07-31,6600.0,0.0
9062,9063,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-08-30,2345.0,1.0
9063,9064,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-09-18,5440.0,1.0
9064,9065,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-09-28,5800.0,0.0
9065,9066,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-12-10,5600.0,0.0
9066,9067,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-02-11,5100.0,0.0
9067,9068,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-11-19,4600.0,0.0
9068,9069,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-11-22,6300.0,0.0
9069,9070,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-11-30,2569.0,1.0
9070,9071,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-12-13,5000.0,0.0
9071,9072,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-12-20,6000.0,0.0
9072,9073,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2012-12-24,5000.0,0.0
173372,173373,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2013-09-01,7000.0,0.0
173373,173374,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2013-01-24,5600.0,6.0
173374,173375,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2013-01-02,12400.0,1.0
173375,173376,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2013-02-16,5600.0,0.0
173376,173377,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2013-07-03,5700.0,0.0
173377,173378,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2013-03-21,5820.0,0.0
173378,173379,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2013-08-04,5500.0,0.0
173379,173380,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2013-04-15,6000.0,0.0
173380,173381,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2013-05-16,5905.0,1.0
485392,485393,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2015-09-10,8825.0,1.0
485393,485394,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2015-06-11,12432.0,1.0
485394,485395,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2015-08-12,12500.0,1.0
698817,698818,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2016-01-01,12744.0,1.0
698818,698819,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2016-03-15,8768.0,1.0
698819,698820,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2016-04-30,7675.0,1.0
698820,698821,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2016-04-06,9200.0,2.0
698821,698822,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2016-12-07,9433.0,1.0
698822,698823,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2016-08-20,10415.0,1.0
698823,698824,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2016-04-10,9560.0,1.0
698824,698825,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2016-11-15,7063.0,0.0
952083,952084,Arhar (Tur/Red Gram),Karnataka,Madikeri(Kodagu),Madikeri,2017-06-27,7517.0,6.0
