,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
9850,9851,Arhar (Tur/Red Gram),Karnataka,Tumkur,Huliyar,2012-02-24,6200.0,0.0
9851,9852,Arhar (Tur/Red Gram),Karnataka,Tumkur,Madhugiri,2012-07-21,6000.0,1.0
9852,9853,Arhar (Tur/Red Gram),Karnataka,Tumkur,Madhugiri,2012-10-22,2400.0,10.0
9853,9854,Arhar (Tur/Red Gram),Karnataka,Tumkur,Pavagada,2012-02-21,3000.0,8.0
9854,9855,Arhar (Tur/Red Gram),Karnataka,Tumkur,Pavagada,2012-03-19,3200.0,2.0
9855,9856,Arhar (Tur/Red Gram),Karnataka,Tumkur,Pavagada,2012-04-06,4625.0,10.0
9856,9857,Arhar (Tur/Red Gram),Karnataka,Tumkur,Pavagada,2012-06-30,2800.0,1.0
9857,9858,Arhar (Tur/Red Gram),Karnataka,Tumkur,Pavagada,2012-07-20,5000.0,10.0
9858,9859,Arhar (Tur/Red Gram),Karnataka,Tumkur,Pavagada,2012-03-09,5850.0,12.0
9859,9860,Arhar (Tur/Red Gram),Karnataka,Tumkur,Pavagada,2012-11-30,2500.0,13.0
9860,9861,Arhar (Tur/Red Gram),Karnataka,Tumkur,Pavagada,2012-03-12,2500.0,3.0
9861,9862,Arhar (Tur/Red Gram),Karnataka,Tumkur,Sira,2012-04-01,2667.0,35.0
9862,9863,Arhar (Tur/Red Gram),Karnataka,Tumkur,Sira,2012-10-01,2600.0,0.0
9863,9864,Arhar (Tur/Red Gram),Karnataka,Tumkur,Sira,2012-01-17,2713.0,9.0
9864,9865,Arhar (Tur/Red Gram),Karnataka,Tumkur,Sira,2012-01-18,2820.0,18.0
9865,9866,Arhar (Tur/Red Gram),Karnataka,Tumkur,Sira,2012-01-19,2661.0,20.0
9866,9867,Arhar (Tur/Red Gram),Karnataka,Tumkur,Sira,2012-01-24,2871.0,11.0
9867,9868,Arhar (Tur/Red Gram),Karnataka,Tumkur,Sira,2012-01-27,2768.0,18.0
9868,9869,Arhar (Tur/Red Gram),Karnataka,Tumkur,Sira,2012-01-31,2541.0,6.0
9869,9870,Arhar (Tur/Red Gram),Karnataka,Tumkur,Sira,2012-09-02,2610.0,9.0
9870,9871,Arhar (Tur/Red Gram),Karnataka,Tumkur,Sira,2012-09-04,2550.0,4.0
9871,9872,Arhar (Tur/Red Gram),Karnataka,Tumkur,Tumkur,2012-11-10,2800.0,19.0
50214,50215,Bengal Gram(Gram),Karnataka,Tumkur,Pavagada,2012-01-17,2000.0,9.0
50215,50216,Bengal Gram(Gram),Karnataka,Tumkur,Pavagada,2012-06-07,3000.0,16.0
50216,50217,Bengal Gram(Gram),Karnataka,Tumkur,Pavagada,2012-12-09,2950.0,10.0
50217,50218,Bengal Gram(Gram),Karnataka,Tumkur,Sira,2012-10-01,3250.0,8.0
50218,50219,Bengal Gram(Gram),Karnataka,Tumkur,Sira,2012-01-28,3128.0,6.0
132985,132986,Green Gram (Moong),Karnataka,Tumkur,Huliyar,2012-03-26,4850.0,5.0
132986,132987,Green Gram (Moong),Karnataka,Tumkur,Huliyar,2012-03-07,3950.0,50.0
132987,132988,Green Gram (Moong),Karnataka,Tumkur,Huliyar,2012-09-07,3950.0,0.0
