,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
51509,51510,Bengal Gram(Gram),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-03-01,5200.0,2.0
51510,51511,Bengal Gram(Gram),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-06-01,4800.0,2.0
51511,51512,Bengal Gram(Gram),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-10-01,4800.0,3.0
51512,51513,Bengal Gram(Gram),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-13,5000.0,2.0
51513,51514,Bengal Gram(Gram),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-17,5000.0,3.0
51514,51515,Bengal Gram(Gram),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-20,5000.0,2.0
51515,51516,Bengal Gram(Gram),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-24,5700.0,2.0
99941,99942,Black Gram (Urd Beans),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-03-01,5900.0,5.0
99942,99943,Black Gram (Urd Beans),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-06-01,5700.0,8.0
99943,99944,Black Gram (Urd Beans),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-10-01,5700.0,10.0
99944,99945,Black Gram (Urd Beans),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-13,5950.0,5.0
99945,99946,Black Gram (Urd Beans),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-17,5950.0,7.0
99946,99947,Black Gram (Urd Beans),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-20,5700.0,5.0
99947,99948,Black Gram (Urd Beans),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-24,5700.0,5.0
134242,134243,Green Gram (Moong),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-03-01,6000.0,10.0
134243,134244,Green Gram (Moong),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-06-01,6200.0,15.0
134244,134245,Green Gram (Moong),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-10-01,6200.0,10.0
134245,134246,Green Gram (Moong),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-13,6400.0,10.0
134246,134247,Green Gram (Moong),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-17,6400.0,10.0
134247,134248,Green Gram (Moong),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-20,6500.0,10.0
134248,134249,Green Gram (Moong),Kerala,Thiruvananthapuram,Thiruvananthapuram,2012-01-24,6500.0,10.0
210232,210233,Bengal Gram(Gram),Kerala,Thiruvananthapuram,Chala,2013-02-15,4850.0,3.0
