,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
462003,462004,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2014-08-21,4000.0,10.0
462004,462005,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2014-11-17,5000.0,4.75
462005,462006,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2014-11-19,5000.0,4.29
462006,462007,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2014-11-21,5000.0,4.3
462007,462008,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2014-11-26,4500.0,3.7
462008,462009,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2014-12-16,3000.0,3.3
462009,462010,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2014-12-20,4000.0,0.8
529060,529061,Bengal Gram(Gram),Madhya Pradesh,Anupur,Jaithari,2015-10-04,3175.0,1.0
663089,663090,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-02-26,3000.0,5.0
663090,663091,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-11-03,3500.0,3.0
663091,663092,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-04-22,3900.0,3.5
663092,663093,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-04-23,3900.0,4.2
663093,663094,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-04-29,3500.0,1.0
663094,663095,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-07-16,5500.0,10.0
663095,663096,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-07-22,5500.0,15.1
663096,663097,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-09-17,5500.0,10.0
663097,663098,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-10-20,4500.0,7.5
663098,663099,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-10-27,3100.0,0.5
663099,663100,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-10-29,3100.0,0.5
663100,663101,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-03-11,3100.0,1.2
663101,663102,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-07-11,3100.0,1.2
663102,663103,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-11-22,3100.0,1.2
663103,663104,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-01-12,3100.0,1.1
663104,663105,Lentil(Masur),Madhya Pradesh,Anupur,Anuppur,2015-12-30,5000.0,4.8
663105,663106,Lentil(Masur),Madhya Pradesh,Anupur,Jaithari,2015-09-04,3800.0,3.5
663106,663107,Lentil(Masur),Madhya Pradesh,Anupur,Jaithari,2015-04-15,3800.0,4.1
663107,663108,Lentil(Masur),Madhya Pradesh,Anupur,Jaithari,2015-01-05,4000.0,1.5
663108,663109,Lentil(Masur),Madhya Pradesh,Anupur,Jaithari,2015-07-15,4200.0,3.0
663109,663110,Lentil(Masur),Madhya Pradesh,Anupur,Jaithari,2015-07-16,4500.0,2.5
753781,753782,Bengal Gram(Gram),Madhya Pradesh,Anupur,Kotma,2016-01-17,3500.0,0.2
753782,753783,Bengal Gram(Gram),Madhya Pradesh,Anupur,Kotma,2016-01-04,3000.0,2.0
753783,753784,Bengal Gram(Gram),Madhya Pradesh,Anupur,Kotma,2016-06-20,5000.0,0.25
753784,753785,Bengal Gram(Gram),Madhya Pradesh,Anupur,Kotma,2016-07-19,5000.0,0.05
753785,753786,Bengal Gram(Gram),Madhya Pradesh,Anupur,Kotma,2016-11-09,5000.0,0.05
753786,753787,Bengal Gram(Gram),Madhya Pradesh,Anupur,Kotma,2016-11-22,8000.0,0.2
