,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
11437,11438,Arhar (Tur/Red Gram),Madhya Pradesh,Dhar,Dhamnod,2012-06-08,3000.0,1.0
101985,101986,Black Gram (Urd Beans),Madhya Pradesh,Dhar,Dhamnod,2012-10-12,3000.0,8.0
101986,101987,Black Gram (Urd Beans),Madhya Pradesh,Dhar,Dhamnod,2012-12-21,2500.0,2.3
101987,101988,Black Gram (Urd Beans),Madhya Pradesh,Dhar,Gandhwani,2012-09-24,3500.0,16.8
101988,101989,Black Gram (Urd Beans),Madhya Pradesh,Dhar,Gandhwani,2012-11-19,3100.0,2.0
134531,134532,Green Gram (Moong),Madhya Pradesh,Dhar,Gandhwani,2012-10-26,4200.0,24.7
134532,134533,Green Gram (Moong),Madhya Pradesh,Dhar,Gandhwani,2012-11-19,4100.0,2.7
134533,134534,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-01-31,3600.0,5.0
134534,134535,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-09-14,4000.0,3.0
134535,134536,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-09-15,3900.0,4.0
134536,134537,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-09-20,3800.0,11.0
134537,134538,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-09-23,3500.0,16.1
134538,134539,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-09-27,3000.0,8.0
134539,134540,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-09-28,3400.0,5.0
134540,134541,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-09-29,3000.0,2.3
134541,134542,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-09-30,3000.0,1.9
134542,134543,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-04-10,3500.0,5.0
134543,134544,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-05-10,3450.0,6.8
134544,134545,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-06-10,3450.0,11.7
134545,134546,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-08-10,3450.0,6.0
134546,134547,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-09-10,3500.0,4.0
134547,134548,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-12-10,4000.0,10.2
134548,134549,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-10-18,3800.0,4.4
134549,134550,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-10-19,3800.0,5.8
134550,134551,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-01-11,3500.0,4.0
134551,134552,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-09-11,4401.0,0.3
134552,134553,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-11-16,4100.0,8.0
134553,134554,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-11-17,3500.0,2.7
134554,134555,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-08-12,4000.0,4.5
134555,134556,Green Gram (Moong),Madhya Pradesh,Dhar,Manawar,2012-12-15,3500.0,1.7
174942,174943,Arhar (Tur/Red Gram),Madhya Pradesh,Dhar,Dhamnod,2013-03-25,3500.0,1.4
174943,174944,Arhar (Tur/Red Gram),Madhya Pradesh,Dhar,Dhamnod,2013-05-15,3500.0,1.1
174944,174945,Arhar (Tur/Red Gram),Madhya Pradesh,Dhar,Dhamnod,2013-06-15,3500.0,2.5
174945,174946,Arhar (Tur/Red Gram),Madhya Pradesh,Dhar,Dhamnod,2013-10-19,3000.0,1.6
174946,174947,Arhar (Tur/Red Gram),Madhya Pradesh,Dhar,Manawar,2013-05-26,3300.0,0.8
263900,263901,Black Gram (Urd Beans),Madhya Pradesh,Dhar,Dhamnod,2013-02-21,4200.0,6.0
263901,263902,Black Gram (Urd Beans),Madhya Pradesh,Dhar,Dhamnod,2013-03-25,4300.0,0.6
