,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
11438,11439,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Aron,2012-06-01,0.0,1.08
11439,11440,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Aron,2012-01-17,2750.0,1.03
11440,11441,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Aron,2012-01-18,0.0,1.01
11441,11442,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Binaganj,2012-05-15,2750.0,1.7
11442,11443,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-02-01,3004.0,3.7
11443,11444,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-07-01,3150.0,16.0
11444,11445,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-09-01,3151.0,6.2
11445,11446,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-10-01,3100.0,3.8
11446,11447,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-11-01,2850.0,12.7
11447,11448,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-12-01,3230.0,10.8
11448,11449,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-13,3276.0,8.5
11449,11450,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-16,3200.0,12.8
11450,11451,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-17,3215.0,5.8
11451,11452,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-18,2726.0,10.2
11452,11453,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-19,2805.0,6.2
11453,11454,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-20,3163.0,15.9
11454,11455,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-21,2941.0,10.5
11455,11456,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-23,3080.0,6.0
11456,11457,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-24,2908.0,2.6
11457,11458,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-25,3050.0,15.0
11458,11459,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-27,2975.0,13.0
11459,11460,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-28,2951.0,4.0
11460,11461,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-30,2840.0,12.8
11461,11462,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-31,2750.0,1.7
11462,11463,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-01-02,2900.0,6.2
11463,11464,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-02-02,2400.0,3.5
11464,11465,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-03-02,2880.0,4.7
11465,11466,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-09-02,2745.0,1.2
11466,11467,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-10-02,2860.0,2.5
11467,11468,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-11-02,2650.0,4.8
11468,11469,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-02-13,2800.0,5.4
11469,11470,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-02-14,2792.0,1.8
11470,11471,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-02-15,2945.0,4.2
11471,11472,Arhar (Tur/Red Gram),Madhya Pradesh,Guna,Guna,2012-02-16,2914.0,2.3
