,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
14446,14447,Arhar (Tur/Red Gram),Madhya Pradesh,Panna,Panna,2012-05-24,2585.0,6.1
14447,14448,Arhar (Tur/Red Gram),Madhya Pradesh,Panna,Panna,2012-05-25,2601.0,2.6
14448,14449,Arhar (Tur/Red Gram),Madhya Pradesh,Panna,Panna,2012-05-26,2602.0,2.5
14449,14450,Arhar (Tur/Red Gram),Madhya Pradesh,Panna,Panna,2012-05-27,2600.0,0.9
14450,14451,Arhar (Tur/Red Gram),Madhya Pradesh,Panna,Panna,2012-12-06,2700.0,8.7
14451,14452,Arhar (Tur/Red Gram),Madhya Pradesh,Panna,Panna,2012-06-14,2810.0,3.0
14452,14453,Arhar (Tur/Red Gram),Madhya Pradesh,Panna,Panna,2012-06-15,2600.0,2.7
14453,14454,Arhar (Tur/Red Gram),Madhya Pradesh,Panna,Panna,2012-06-21,2680.0,10.0
14454,14455,Arhar (Tur/Red Gram),Madhya Pradesh,Panna,Panna,2012-06-23,2700.0,2.7
53299,53300,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-05-01,3146.0,2.5
53300,53301,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-06-01,3484.0,1.6
53301,53302,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-07-01,3181.0,0.7
53302,53303,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-08-01,3118.0,1.2
53303,53304,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-09-01,3225.0,1.5
53304,53305,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-11-01,3230.0,2.7
53305,53306,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-12-01,3205.0,1.3
53306,53307,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-13,3288.0,1.5
53307,53308,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-14,3229.0,1.5
53308,53309,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-16,3120.0,1.0
53309,53310,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-19,2907.0,7.0
53310,53311,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-20,2898.0,0.8
53311,53312,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-21,2928.0,10.0
53312,53313,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-23,2613.0,5.4
53313,53314,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-25,2871.0,1.5
53314,53315,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-28,2927.0,2.0
53315,53316,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-29,2905.0,20.0
53316,53317,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-31,2650.0,10.1
53317,53318,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-04-02,3092.0,0.3
53318,53319,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-05-02,3092.0,0.5
53319,53320,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-06-02,2361.0,1.0
53320,53321,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-08-02,2950.0,0.6
53321,53322,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-09-02,2800.0,0.5
53322,53323,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-10-02,3221.0,0.5
53323,53324,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-02-13,3193.0,2.0
53324,53325,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-02-15,2599.0,0.5
53325,53326,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-02-20,2973.0,15.0
53326,53327,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-02-24,2925.0,11.0
53327,53328,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-02-28,2775.0,10.0
53328,53329,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-02-29,3128.0,22.5
53329,53330,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-01-03,3008.0,25.0
53330,53331,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-02-03,2850.0,1.8
53331,53332,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-05-03,2948.0,5.0
53332,53333,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-06-03,2850.0,4.0
53333,53334,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-07-03,3158.0,3.0
53334,53335,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-10-03,3155.0,12.0
53335,53336,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-11-03,3120.0,21.7
53336,53337,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-12-03,3066.0,22.0
53337,53338,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-13,2951.0,23.8
53338,53339,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-14,3155.0,61.7
53339,53340,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-15,3111.0,57.9
53340,53341,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-16,3227.0,54.8
53341,53342,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-17,3213.0,51.1
53342,53343,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-18,3111.0,81.4
53343,53344,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-19,3026.0,102.7
53344,53345,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-20,3058.0,26.8
53345,53346,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-21,3018.0,90.3
53346,53347,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-22,3168.0,208.3
53347,53348,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-23,3083.0,233.9
53348,53349,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-24,3048.0,278.8
53349,53350,Bengal Gram(Gram),Madhya Pradesh,Panna,Panna,2012-03-25,2858.0,56.2
