,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
14872,14873,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-01-13,2651.0,0.1
14873,14874,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-01-30,3400.0,0.6
14874,14875,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-10-02,3800.0,0.1
14875,14876,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-02-13,3700.0,0.4
14876,14877,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-02-17,3470.0,0.1
14877,14878,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-02-29,3080.0,0.2
14878,14879,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-04-19,3721.0,0.1
14879,14880,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-04-20,3401.0,0.2
14880,14881,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-08-05,2401.0,0.2
14881,14882,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-09-05,3133.0,0.2
14882,14883,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-10-05,2202.0,0.1
14883,14884,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-05-24,1700.0,0.1
14884,14885,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-05-25,2280.0,0.1
14885,14886,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-06-18,3267.0,0.3
14886,14887,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-06-30,3500.0,0.1
14887,14888,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-07-14,2502.0,0.1
14888,14889,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-07-31,3200.0,0.1
14889,14890,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-03-08,3001.0,0.1
14890,14891,Arhar (Tur/Red Gram),Madhya Pradesh,Ratlam,Ratlam,2012-10-16,3035.0,672.8
54100,54101,Bengal Gram(Gram),Madhya Pradesh,Ratlam,Ratlam,2012-02-01,3301.0,2.3
54101,54102,Bengal Gram(Gram),Madhya Pradesh,Ratlam,Ratlam,2012-07-01,3170.0,6.5
54102,54103,Bengal Gram(Gram),Madhya Pradesh,Ratlam,Ratlam,2012-09-01,3040.0,8.6
54103,54104,Bengal Gram(Gram),Madhya Pradesh,Ratlam,Ratlam,2012-10-01,2800.0,0.5
54104,54105,Bengal Gram(Gram),Madhya Pradesh,Ratlam,Ratlam,2012-11-01,3131.0,2.9
54105,54106,Bengal Gram(Gram),Madhya Pradesh,Ratlam,Ratlam,2012-12-01,3132.0,12.4
54106,54107,Bengal Gram(Gram),Madhya Pradesh,Ratlam,Ratlam,2012-01-13,3132.0,9.7
