,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
15019,15020,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Bina,2012-07-16,2800.0,0.6
15020,15021,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Bina,2012-08-16,3055.0,0.1
15021,15022,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Deori,2012-01-06,3100.0,0.6
15022,15023,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Deori,2012-08-06,3300.0,0.32
15023,15024,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Deori,2012-06-17,2700.0,25.0
15024,15025,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-02-13,2200.0,15.94
15025,15026,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-09-03,2755.0,6.87
15026,15027,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-06-15,2550.0,16.5
15027,15028,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-06-17,2323.0,9.9
15028,15029,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-06-26,2841.0,31.68
15029,15030,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-06-30,2896.0,14.85
15030,15031,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-04-07,2742.0,23.76
15031,15032,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-11-07,3944.0,20.79
15032,15033,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-07-15,2789.0,22.77
15033,15034,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-07-17,3000.0,20.0
15034,15035,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-07-18,3000.0,20.0
15035,15036,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-07-19,2982.0,17.13
15036,15037,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-07-20,4294.0,17.0
15037,15038,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-07-23,2964.0,22.77
15038,15039,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-07-25,3296.0,23.36
15039,15040,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-07-28,3493.0,23.76
15040,15041,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-07-29,2986.0,22.77
15041,15042,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-04-08,3336.0,46.23
15042,15043,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-05-08,3788.0,23.76
15043,15044,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-12-08,2986.0,9.21
15044,15045,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-08-15,2999.0,22.18
15045,15046,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-08-16,3472.0,15.84
15046,15047,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-08-17,3496.0,21.88
15047,15048,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-08-19,3611.0,16.35
15048,15049,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-08-20,3608.0,15.8
15049,15050,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-08-22,2999.0,15.84
15050,15051,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-08-30,3267.0,21.78
15051,15052,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-08-31,3598.0,31.68
15052,15053,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-03-09,3598.0,15.84
15053,15054,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-06-09,2750.0,17.82
15054,15055,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-07-09,3269.0,33.66
15055,15056,Arhar (Tur/Red Gram),Madhya Pradesh,Sagar,Garhakota,2012-09-09,3593.0,27.14
