,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
20297,20298,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-01-18,3000.0,4.0
20298,20299,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-01-20,3150.0,1.5
20299,20300,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-01-22,3000.0,2.0
20300,20301,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-02-15,3010.0,1.0
20301,20302,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-02-19,3000.0,2.0
20302,20303,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-02-22,3100.0,1.5
20303,20304,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-02-26,3075.0,3.0
20304,20305,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-03-14,2300.0,2.0
20305,20306,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-03-16,2680.0,1.0
20306,20307,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-03-21,2650.0,2.0
20307,20308,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-03-28,2300.0,2.0
20308,20309,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-04-13,2750.0,2.0
20309,20310,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-04-15,2710.0,1.5
20310,20311,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-04-18,2700.0,1.0
20311,20312,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Buldhana(Dhad),2012-04-29,2700.0,1.5
20312,20313,Arhar (Tur/Red Gram),Maharashtra,Buldhana,Deoulgaon Raja,2012-02-01,3551.0,4.9
