,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
21515,21516,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-02-01,3100.0,0.5
21516,21517,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-04-01,2935.0,2.0
21517,21518,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-05-01,3200.0,0.7
21518,21519,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-10-01,3405.0,3.6
21519,21520,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-11-01,3425.0,1.8
21520,21521,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-12-01,3530.0,1.8
21521,21522,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-01-14,3250.0,1.2
21522,21523,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-01-17,3200.0,0.5
21523,21524,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-01-24,2855.0,1.9
21524,21525,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-01-31,2820.0,5.9
21525,21526,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-01-02,2760.0,3.5
21526,21527,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-02-02,2800.0,2.3
21527,21528,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-03-02,2860.0,1.0
21528,21529,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-06-02,2700.0,0.9
21529,21530,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-07-02,2710.0,2.3
21530,21531,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-08-02,2600.0,2.9
21531,21532,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-09-02,2750.0,0.2
21532,21533,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-02-18,2770.0,1.4
21533,21534,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-02-21,2700.0,0.5
21534,21535,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-06-03,2550.0,3.7
21535,21536,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-12-03,2530.0,0.6
21536,21537,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-03-17,2540.0,0.4
21537,21538,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-03-19,2490.0,0.8
21538,21539,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-03-20,2580.0,0.7
21539,21540,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-03-22,2530.0,1.4
21540,21541,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-03-26,2620.0,0.4
21541,21542,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-03-27,2600.0,0.8
21542,21543,Arhar (Tur/Red Gram),Maharashtra,Dhule,Dhule,2012-03-28,2630.0,0.8
