,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
21718,21719,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-06-01,2200.0,12.0
21719,21720,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-01-29,3025.0,20.0
21720,21721,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-01-02,3000.0,24.5
21721,21722,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-04-02,3050.0,46.0
21722,21723,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-09-02,3050.0,36.0
21723,21724,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-02-13,3050.0,63.0
21724,21725,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-02-16,3050.0,23.4
21725,21726,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-02-21,3050.0,22.0
21726,21727,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-02-23,3050.0,46.5
21727,21728,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-02-24,3050.0,23.0
21728,21729,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-02-28,3050.0,23.0
21729,21730,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-01-03,3050.0,25.0
21730,21731,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-09-04,3050.0,32.0
21731,21732,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2012-03-07,3600.0,21.7
139035,139036,Green Gram (Moong),Maharashtra,Gadchiroli,Aheri,2012-02-04,3000.0,0.3
139036,139037,Green Gram (Moong),Maharashtra,Gadchiroli,Aheri,2012-04-19,3500.0,0.5
183038,183039,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2013-11-02,3510.0,2.2
183039,183040,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2013-02-13,3390.0,4.5
183040,183041,Arhar (Tur/Red Gram),Maharashtra,Gadchiroli,Aheri,2013-02-16,3440.0,4.5
