,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
22220,22221,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-03-01,3010.0,0.7
22221,22222,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-04-01,4251.0,54.4
22222,22223,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-05-01,4295.0,41.7
22223,22224,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-06-01,3150.0,0.9
22224,22225,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-07-01,4000.0,70.4
22225,22226,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-09-01,4050.0,82.0
22226,22227,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-10-01,3205.0,1.0
22227,22228,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-11-01,3350.0,0.4
22228,22229,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-12-01,3950.0,42.5
22229,22230,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-01-13,4050.0,40.2
22230,22231,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-01-14,4000.0,34.4
22231,22232,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-01-16,3950.0,41.1
22232,22233,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-01-17,3350.0,0.5
22233,22234,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-01-18,3890.0,58.0
22234,22235,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-01-19,3350.0,0.6
22235,22236,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-01-24,3900.0,70.0
22236,22237,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-01-28,3550.0,43.5
22237,22238,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-01-02,2986.0,43.0
22238,22239,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-09-02,3650.0,29.0
22239,22240,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-10-02,3700.0,19.0
22240,22241,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-02-14,3550.0,17.5
22241,22242,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-02-15,2900.0,2.0
22242,22243,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-03-17,3680.0,5.2
22243,22244,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-03-20,3550.0,6.2
22244,22245,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-11-05,3700.0,1.1
22245,22246,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-10-07,4070.0,1.0
22246,22247,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-11-07,4000.0,0.3
22247,22248,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-12-07,4002.0,0.9
22248,22249,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-07-17,4000.0,0.7
22249,22250,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ambad (Vadigodri),2012-12-15,4200.0,3.0
22250,22251,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ashti(Jalna),2012-01-24,3711.0,1.8
22251,22252,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ashti(Jalna),2012-01-25,3741.0,3.5
22252,22253,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ashti(Jalna),2012-02-02,3401.0,2.0
22253,22254,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ashti(Jalna),2012-03-02,3301.0,2.7
22254,22255,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ashti(Jalna),2012-04-02,3381.0,2.8
22255,22256,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ashti(Jalna),2012-08-02,3401.0,1.4
22256,22257,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ashti(Jalna),2012-09-02,3411.0,1.8
22257,22258,Arhar (Tur/Red Gram),Maharashtra,Jalana,Ashti(Jalna),2012-10-02,3421.0,2.1
