,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
25413,25414,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-01,3100.0,1.0
25414,25415,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-03-01,3185.0,0.2
25415,25416,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-06-01,3215.0,0.1
25416,25417,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-11-01,3076.0,0.1
25417,25418,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-12-01,2990.0,0.5
25418,25419,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-01-13,2955.0,0.2
25419,25420,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-01-16,3100.0,0.1
25420,25421,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-01-19,3051.0,0.1
25421,25422,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-01-20,3000.0,0.8
25422,25423,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-01-24,2961.0,0.1
25423,25424,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-01-25,2870.0,0.2
25424,25425,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-01-27,2940.0,0.2
25425,25426,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-01-31,2780.0,0.1
25426,25427,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-01-02,2605.0,0.2
25427,25428,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-02,2525.0,0.1
25428,25429,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-03-02,2766.0,0.2
25429,25430,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-09-02,2600.0,0.2
25430,25431,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-10-02,2875.0,0.2
25431,25432,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-13,2791.0,0.3
25432,25433,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-14,2700.0,0.4
25433,25434,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-15,2500.0,1.0
25434,25435,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-17,2610.0,0.1
25435,25436,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-22,2660.0,0.2
25436,25437,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-23,2660.0,0.2
25437,25438,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-24,2524.0,0.1
25438,25439,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-27,2500.0,0.1
25439,25440,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-28,2691.0,0.1
25440,25441,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-29,2585.0,0.1
25441,25442,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-01-03,2666.0,0.1
25442,25443,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-03,2500.0,0.1
25443,25444,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-05-03,2530.0,0.1
25444,25445,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-06-03,2200.0,0.3
25445,25446,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-09-03,2561.0,0.1
25446,25447,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-03-14,2475.0,0.1
25447,25448,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-03-16,2300.0,0.1
25448,25449,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-03-19,2200.0,0.1
25449,25450,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-03-26,2526.0,0.2
25450,25451,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-10-04,2600.0,0.1
25451,25452,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-11-04,2323.0,0.1
25452,25453,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-04-13,2200.0,0.1
25453,25454,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-04-18,2385.0,0.1
25454,25455,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-04-27,2460.0,0.1
25455,25456,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-02-05,2400.0,0.1
25456,25457,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-03-05,2105.0,0.1
25457,25458,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-08-05,2385.0,0.1
25458,25459,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-09-05,2324.0,0.1
25459,25460,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-05-14,2305.0,0.1
25460,25461,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-05-15,2065.0,0.1
25461,25462,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-05-17,2362.0,0.1
25462,25463,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-05-21,2590.0,0.1
25463,25464,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-05-24,2855.0,0.1
25464,25465,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-05-25,2921.0,0.2
25465,25466,Arhar (Tur/Red Gram),Maharashtra,Nashik,Devala,2012-05-30,2950.0,0.1
